WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,VaporPressure,AirTemperature,LandVisibility,RelativeHumidity,StationPressure,Rainfall24Hr,DewPoint,MinimumTemperature,WindDirection,Rainfall,MeanSeaLevelPressure
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1.9,07-31-2019,07:00:00,30.38,24.6,8.00,98,984.46,4.60,24.3,24.1,160,0.20,1003.43
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,07-31-2019,07:00:00,25.37,22.1,7.00,95,957.30,7.00,21.3,21.3,000,0.00,1009.24
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,07-31-2019,07:00:00,28.83,25.2,6.00,90,1001.09,0.80,23.4,24.0,000,0.00,1005.07
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,18.5,07-31-2019,07:00:00,23.42,20.2,.50,99,911.54,4.10,20.0,19.4,230,2.30,1007.03
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,07-31-2019,07:00:00,29.49,24.4,5.00,97,988.52,14.70,23.8,24.0,000,2.20,1004.60
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1.9,07-31-2019,07:00:00,30.78,26.4,10.00,89,1001.66,0.00,24.5,25.6,160,0.00,1005.70
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,07-31-2019,07:00:00,27.21,25.6,9.00,83,996.16,0.20,22.5,25.0,000,0.00,1006.89
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,3.7,07-31-2019,07:00:00,26.81,26.4,9.00,78,1003.86,0.00,22.2,25.5,150,0.00,1005.79
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,3.7,07-31-2019,07:00:00,27.44,24.7,10.00,88,984.10,5.80,22.6,24.0,230,0.00,1005.07
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,7.4,07-31-2019,07:00:00,28.45,24.4,10.00,93,986.47,20.90,23.2,23.3,270,3.40,1004.24
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,9.3,07-31-2019,07:00:00,29.15,24.5,10.00,95,987.86,15.60,23.6,23.7,210,3.20,1004.11
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.0,07-31-2019,07:00:00,29.41,24.5,8.00,96,990.58,35.20,23.8,24.2,000,7.30,1004.70
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,07-31-2019,07:00:00,29.67,24.5,5.00,97,990.32,31.70,23.9,23.6,000,8.00,1005.25
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,3.7,07-31-2019,07:00:00,31.49,25.2,6.00,98,990.60,2.50,24.9,24.8,270,1.70,1005.33
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,07-31-2019,07:00:00,29.19,26.7,10.00,83,1002.15,0.00,23.6,25.7,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,1005.17
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,07-31-2019,07:00:00,30.42,25.2,10.00,95,997.66,8.00,24.3,24.6,000,0.00,1005.65
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,11.1,07-31-2019,07:00:00,25.89,26.9,7.00,73,1005.29,0.00,21.7,25.8,210,0.00,1006.40
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,07-31-2019,07:00:00,29.00,25.0,8.00,92,997.51,13.30,23.5,24.2,000,0.40,1012.37
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,9.3,07-31-2019,07:00:00,20.11,18.1,7.00,97,872.39,0.00,17.6,17.3,290,0.00,1008.12
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,07-31-2019,07:00:00,31.25,25.5,10.00,96,1000.10,0.20,24.8,24.5,000,0.00,1006.01
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,9.3,07-31-2019,07:00:00,25.24,28.0,9.00,67,1005.42,0.00,21.3,27.0,310,0.00,1006.22
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,7.4,07-31-2019,07:00:00,30.67,28.2,10.00,80,1005.68,0.00,24.5,28.2,240,0.00,1006.12
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,07-31-2019,07:00:00,26.92,23.8,7.00,91,996.72,0.50,22.3,23.4,000,0.00,1008.16
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,07-31-2019,07:00:00,26.41,27.2,10.00,73,1005.17,0.00,22.0,26.4,000,0.00,1006.18
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.7,07-31-2019,07:00:00,26.21,26.2,8.00,77,1004.35,0.00,21.9,26.0,180,0.00,1006.18
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,07-31-2019,07:00:00,24.21,27.4,8.00,66,1005.30,0.00,20.6,26.9,000,0.00,1006.06
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,13.0,07-31-2019,07:00:00,26.09,27.6,10.00,71,1006.39,0.00,21.8,27.2,260,0.00,1007.09
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,07-31-2019,07:00:00,28.04,26.8,7.00,80,1005.52,0.00,23.0,26.1,000,0.00,1006.22
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1.9,07-31-2019,07:00:00,27.10,27.0,11.00,76,984.37,0.00,22.4,26.2,270,0.00,1005.48
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,07-31-2019,07:00:00,30.90,25.6,7.00,94,988.31,2.00,24.6,24.2,000,1.30,1005.07
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1.9,07-31-2019,07:00:00,30.15,25.2,5.00,94,989.07,2.00,24.2,24.2,240,0.60,1005.57
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,07-31-2019,07:00:00,25.21,26.8,10.00,72,983.82,4.00,21.2,26.2,000,0.00,1005.66
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,14.8,07-31-2019,07:00:00,22.12,25.2,10.00,69,962.50,0.00,19.1,24.6,230,0.00,1005.94
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,7.4,07-31-2019,07:00:00,27.25,26.5,10.00,79,984.65,0.00,22.5,26.0,220,0.00,1005.21
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.3,07-31-2019,07:00:00,30.00,24.1,8.00,100,985.58,3.20,24.1,23.6,260,0.01,1006.58
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,3.7,07-31-2019,07:00:00,26.54,28.0,10.00,70,1006.03,0.00,22.1,27.1,270,0.00,1006.47
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,07-31-2019,07:00:00,28.51,25.6,10.00,87,1004.20,0.00,23.2,25.5,000,0.00,1005.62
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,07-31-2019,07:00:00,30.86,26.3,7.00,90,1001.28,0.00,24.6,26.3,000,0.00,1006.22
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,3.7,07-31-2019,07:00:00,24.79,27.0,10.00,70,1003.45,0.00,21.0,25.1,290,0.00,1006.74
