WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,VaporPressure,WindDirection,MeanSeaLevelPressure,LandVisibility,StationPressure,AirTemperature,Rainfall,DewPoint,RelativeHumidity,WindSpeed
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,10-03-2019,13:00:00,31.53,220,1010.75,10.00,1009.97,32.7,0.00,24.9,64,5.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-03-2019,13:00:00,31.44,090,1009.88,12.00,1009.26,32.8,0.00,24.9,63,7.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,10-03-2019,13:00:00,32.73,090,1010.10,10.00,1009.70,33.4,0.00,25.6,64,7.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.90,10-03-2019,13:00:00,31.02,000,1012.14,7.00,1007.98,32.6,0.00,24.7,63,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.80,10-03-2019,13:00:00,27.11,000,1010.22,12.00,1008.63,33.2,0.00,22.4,53,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.30,10-03-2019,13:00:00,31.68,000,1010.53,8.00,1007.10,31.8,0.00,25.0,67,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,10-03-2019,13:00:00,29.99,120,1010.30,10.00,1008.96,32.8,0.00,24.1,60,5.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,2.40,10-03-2019,13:00:00,32.67,270,1011.16,10.00,1010.28,30.6,0.00,25.5,74,11.1
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,5.90,10-03-2019,13:00:00,29.15,000,1010.81,10.00,1007.29,31.4,0.00,23.6,63,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,10-03-2019,13:00:00,30.38,320,1011.12,10.00,1010.68,30.6,0.00,24.3,69,7.4
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,9.90,10-03-2019,13:00:00,32.43,140,1011.24,6.00,1010.25,28.1,1.50,25.4,85,3.7
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,10-03-2019,13:00:00,33.39,220,1011.21,12.00,1010.41,30.8,0.00,25.9,75,14.8
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,3.60,10-03-2019,13:00:00,32.30,310,1010.90,2.00,1009.10,30.0,0.90,25.3,76,7.4
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,10-03-2019,13:00:00,28.33,060,1010.24,12.00,1009.50,32.4,0.00,23.1,58,9.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,5.60,10-03-2019,13:00:00,28.87,030,1010.49,10.00,1006.54,31.4,0.00,23.5,63,7.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,23.80,10-03-2019,13:00:00,31.22,000,1011.68,7.00,1010.99,26.2,23.40,24.8,92,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,73.20,10-03-2019,13:00:00,28.00,160,1010.34,10.00,1009.24,32.8,0.00,23.0,56,5.6
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.80,10-03-2019,13:00:00,31.31,260,1010.79,12.00,1007.91,31.9,0.00,24.8,66,5.6
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,10-03-2019,13:00:00,29.50,000,1009.59,11.00,1008.91,32.7,0.00,23.8,60,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,38.70,10-03-2019,13:00:00,27.23,000,1010.37,10.00,1006.32,33.4,0.00,22.5,53,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,10-03-2019,13:00:00,27.52,010,1010.24,10.00,1009.66,31.7,0.00,22.7,59,11.1
