WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,VaporPressure,Rainfall24Hr,DewPoint,WindSpeed,StationPressure,MaximumTemperature,Rainfall,WindDirection,MeanSeaLevelPressure,AirTemperature,LandVisibility
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,64,08-07-2019,19:00:00,30.04,0.70,24.1,5.6,981.51,34.8,0.00,290,1000.56,31.7,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,66,08-07-2019,19:00:00,30.49,0.00,24.4,0.0,984.53,34.2,0.00,000,1000.92,31.5,13.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,68,08-07-2019,19:00:00,31.02,0.00,24.7,0.0,983.74,34.0,0.00,000,1000.79,31.2,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,68,08-07-2019,19:00:00,29.89,0.00,24.0,3.7,975.96,34.4,0.00,280,1001.28,30.5,12.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,86,08-07-2019,19:00:00,31.52,2.60,24.9,0.0,997.51,31.2,0.00,000,1003.27,27.5,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,83,08-07-2019,19:00:00,30.42,1.40,24.3,0.0,997.42,31.0,0.00,000,1003.58,27.5,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,78,08-07-2019,19:00:00,30.15,2.20,24.2,0.0,987.22,32.3,0.00,000,1003.52,28.5,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,90,08-07-2019,19:00:00,28.83,35.30,23.4,0.0,981.52,27.5,1.00,000,1003.90,25.2,8.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,84,08-07-2019,19:00:00,28.18,22.20,23.1,7.4,990.23,30.4,2.40,270,1004.63,26.0,6.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,89,08-07-2019,19:00:00,29.66,18.00,23.9,0.0,987.64,29.0,0.00,000,1004.04,25.8,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,78,08-07-2019,19:00:00,31.33,1.40,24.8,0.0,998.76,32.0,0.20,000,1003.93,29.1,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,77,08-07-2019,19:00:00,31.45,0.20,24.9,0.0,988.91,32.2,0.00,000,1001.94,29.3,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,90,08-07-2019,19:00:00,34.99,3.50,26.7,0.0,994.57,30.3,0.50,000,1003.82,28.5,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,56,08-07-2019,19:00:00,25.59,0.00,21.5,9.3,980.55,35.4,0.00,270,1001.81,31.4,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,66,08-07-2019,19:00:00,29.48,0.00,23.8,22.2,984.50,35.8,0.00,210,1001.68,31.0,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,71,08-07-2019,19:00:00,31.76,0.00,25.0,3.7,985.17,35.0,0.00,210,1000.69,31.0,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,57,08-07-2019,19:00:00,26.32,0.00,21.9,0.0,982.10,35.8,0.00,000,1000.58,31.5,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,91,08-07-2019,19:00:00,27.60,18.30,22.7,0.0,953.83,26.6,1.30,000,1005.21,24.2,7.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,79,08-07-2019,19:00:00,32.83,0.01,25.6,3.7,999.52,33.2,0.01,320,1003.43,29.7,8.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,96,08-07-2019,19:00:00,23.77,16.20,20.3,11.1,910.42,22.2,0.80,250,1005.56,20.9,.50
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,84,08-07-2019,19:00:00,35.97,3.30,27.1,0.0,985.73,36.6,0.00,000,1001.46,30.2,10.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,79,08-07-2019,19:00:00,32.63,4.10,25.5,0.0,999.79,32.7,0.01,000,1003.78,29.6,9.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,75,08-07-2019,19:00:00,31.32,0.30,24.8,0.0,994.25,32.7,0.00,000,1004.80,29.8,9.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,65,08-07-2019,19:00:00,27.55,0.01,22.7,0.0,1002.37,32.8,0.00,000,1004.28,30.0,9.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,62,08-07-2019,19:00:00,27.14,0.00,22.4,5.6,982.20,35.0,0.00,250,1002.73,30.5,12.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,60,08-07-2019,19:00:00,28.66,1.20,23.3,0.0,983.19,34.7,0.00,000,1000.45,32.0,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,65,08-07-2019,19:00:00,31.15,3.80,24.7,5.6,985.05,35.6,0.00,200,1000.85,32.1,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,65,08-07-2019,19:00:00,30.61,1.00,24.4,0.0,987.74,34.3,0.00,000,1001.48,31.7,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,76,08-07-2019,19:00:00,32.21,0.00,25.3,0.0,987.47,34.5,0.00,000,1002.07,30.1,9.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,71,08-07-2019,19:00:00,32.26,2.60,25.3,0.0,988.24,33.6,0.00,000,1002.65,31.1,8.00
