WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,Rainfall24Hr,VaporPressure,AirTemperature,Rainfall,DewPoint,WindDirection,WindSpeed
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,955.46,08-27-2019,04:00:00,5.00,94,1007.17,21.10,26.01,22.8,1.80,21.7,000,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1000.47,08-27-2019,04:00:00,4.00,97,1004.44,11.60,31.22,25.2,0.00,24.8,090,7.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,910.49,08-27-2019,04:00:00,.40,97,1005.73,2.50,23.55,20.6,0.50,20.1,250,7.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,988.65,08-27-2019,04:00:00,5.00,96,1004.67,11.70,31.44,25.6,0.00,24.9,160,5.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1000.46,08-27-2019,04:00:00,9.00,90,1004.50,0.01,30.48,26.1,0.00,24.4,160,3.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,995.19,08-27-2019,04:00:00,7.00,96,1005.94,39.00,29.41,24.5,0.00,23.8,000,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1003.13,08-27-2019,04:00:00,5.00,88,1005.07,9.70,28.59,25.5,0.00,23.3,150,3.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,983.68,08-27-2019,04:00:00,6.00,93,1004.64,2.40,29.16,24.8,1.00,23.6,260,3.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,986.60,08-27-2019,04:00:00,10.00,92,1004.30,3.60,29.91,25.5,0.00,24.0,180,7.4
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,988.20,08-27-2019,04:00:00,10.00,94,1004.40,3.50,30.71,25.5,0.00,24.5,200,7.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,991.37,08-27-2019,04:00:00,10.00,95,1005.46,8.10,30.79,25.4,0.00,24.5,000,0.0
