WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall,Rainfall24Hr,WindDirection,StationPressure,MeanSeaLevelPressure,VaporPressure,DewPoint,WindSpeed,RelativeHumidity,AirTemperature
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,07-11-2019,10:00:00,0.00,6.40,000,1010.56,1011.55,31.80,25.1,0.0,75,29.9
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,07-11-2019,10:00:00,0.00,0.00,000,1011.33,1012.14,32.55,25.5,0.0,75,30.4
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,07-11-2019,10:00:00,0.00,0.00,070,1011.03,1012.83,31.88,25.1,3.7,73,30.5
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,07-11-2019,10:00:00,0.01,32.20,180,1012.48,1013.24,30.70,24.5,11.1,89,26.5
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,8.00,07-11-2019,10:00:00,0.20,5.20,070,1009.60,1013.62,34.73,26.6,3.7,95,27.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,07-11-2019,10:00:00,0.00,0.00,000,1012.64,1013.33,29.64,23.9,0.0,84,26.8
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,9.00,07-11-2019,10:00:00,0.00,5.40,000,1012.31,1013.43,31.25,24.8,0.0,85,27.5
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,07-11-2019,10:00:00,0.00,0.00,000,1010.53,1013.45,34.24,26.3,0.0,87,28.7
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,10.00,07-11-2019,10:00:00,0.00,0.00,000,1011.78,1012.47,32.79,25.6,0.0,80,29.4
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,6.00,07-11-2019,10:00:00,1.70,4.80,230,1009.62,1013.79,31.63,25.0,11.1,96,25.7
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,07-11-2019,10:00:00,21.10,23.20,000,1012.99,1013.57,29.57,23.9,0.0,73,29.2
