WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,DewPoint,WindDirection,RelativeHumidity,Rainfall,WindSpeed,LandVisibility,VaporPressure,StationPressure
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,31.1,07-13-2019,10:00:00,0.00,1010.72,23.0,250,62,0.00,5.6,12.00,28.01,1003.85
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,31.7,07-13-2019,10:00:00,0.00,1010.26,24.3,300,65,0.00,14.8,8.00,30.32,1004.73
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,32.2,07-13-2019,10:00:00,0.00,1011.14,24.0,000,62,0.00,0.0,10.00,29.91,1001.94
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,31.1,07-13-2019,10:00:00,7.30,1011.01,23.8,300,65,0.00,3.7,15.00,29.40,1009.76
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,33.3,07-13-2019,10:00:00,0.00,1010.88,23.0,160,55,0.00,5.6,11.00,28.15,1010.45
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,29.9,07-13-2019,10:00:00,0.00,1011.00,21.9,220,62,0.00,3.7,10.00,26.29,998.81
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,31.4,07-13-2019,10:00:00,0.00,1010.90,22.8,000,60,0.00,0.0,10.00,27.76,1010.20
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,33.5,07-13-2019,10:00:00,0.00,1010.86,22.1,300,51,0.00,11.1,10.00,26.59,1008.47
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,31.2,07-13-2019,10:00:00,0.00,1010.74,23.7,270,65,0.00,13.0,10.00,29.32,1010.23
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,33.0,07-13-2019,10:00:00,0.00,1010.47,22.9,190,55,0.00,5.6,16.00,27.84,1005.40
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,30.8,07-13-2019,10:00:00,67.90,1011.55,25.3,000,73,0.50,0.0,8.00,32.22,1011.14
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,29.8,07-13-2019,10:00:00,78.50,1011.10,25.9,000,79,6.30,0.0,8.00,33.33,1008.34
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,31.7,07-13-2019,10:00:00,0.00,1011.92,19.7,000,49,0.00,0.0,10.00,22.98,1011.14
48501,TRAD,ตราด,ตราด,11.76667,102.88333,28.2,07-13-2019,10:00:00,10.90,1011.12,23.4,000,75,10.90,0.0,10.00,28.76,1010.66
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,31.5,07-13-2019,10:00:00,0.00,1011.96,24.0,310,65,0.00,5.6,8.00,29.92,1011.28
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,31.2,07-13-2019,10:00:00,0.00,1011.59,24.3,270,67,0.00,5.6,9.00,30.45,1010.08
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,30.3,07-13-2019,10:00:00,0.00,1012.51,24.4,260,71,0.00,5.6,10.00,30.62,1011.60
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,31.0,07-13-2019,10:00:00,12.00,1012.08,25.0,300,71,0.00,7.4,10.00,31.76,1011.40
