WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,DewPoint,Rainfall,WindDirection,StationPressure,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,VaporPressure,AirTemperature
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,6.00,08-24-2019,01:00:00,24.4,0.30,000,1006.26,13.10,90,1008.20,0.0,30.48,26.1
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,08-24-2019,01:00:00,23.3,0.00,250,986.80,2.20,88,1007.78,5.6,28.59,25.5
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,08-24-2019,01:00:00,23.9,0.00,240,989.45,3.50,89,1007.18,7.4,29.66,25.8
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,8.00,08-24-2019,01:00:00,24.7,0.30,200,990.77,8.30,94,1007.00,7.4,31.08,25.7
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,8.00,08-24-2019,01:00:00,23.8,6.30,000,994.23,23.50,96,1008.39,0.0,29.41,24.5
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,9.00,08-24-2019,01:00:00,23.6,2.50,190,993.82,11.40,96,1008.81,3.7,29.05,24.3
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,6.00,08-24-2019,01:00:00,24.8,4.30,210,993.84,21.90,99,1008.63,5.6,31.39,25.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,08-24-2019,01:00:00,25.9,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1004.74,7.30,96,1007.76,0.0,33.38,26.6
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.00,08-24-2019,01:00:00,25.0,1.80,000,1000.42,11.10,96,1008.42,0.0,31.63,25.7
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,08-24-2019,01:00:00,25.7,0.00,210,1007.60,0.00,89,1008.71,5.6,33.05,27.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,7.00,08-24-2019,01:00:00,24.5,4.60,000,991.41,11.80,90,1006.12,0.0,30.67,26.2
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.05,08-24-2019,01:00:00,19.7,2.60,270,875.02,16.00,99,1010.27,5.6,22.99,19.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,8.00,08-24-2019,01:00:00,26.3,3.10,200,1002.52,3.90,97,1008.41,3.7,34.27,26.9
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,08-24-2019,01:00:00,24.4,0.00,230,1008.49,0.10,82,1009.29,5.6,30.64,27.9
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,08-24-2019,01:00:00,23.3,0.00,240,1008.62,0.00,72,1009.06,14.8,28.64,29.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,3.00,08-24-2019,01:00:00,23.8,1.30,000,998.58,14.50,96,1010.01,0.0,29.41,24.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,08-24-2019,01:00:00,23.8,0.00,210,1007.86,0.10,78,1008.87,3.7,29.46,28.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,08-24-2019,01:00:00,24.8,0.00,000,1006.76,1.20,87,1008.58,0.0,31.30,27.1
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,4.00,08-24-2019,01:00:00,23.5,0.00,000,1008.18,0.01,81,1008.94,0.0,28.94,27.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,08-24-2019,01:00:00,22.7,0.01,220,1008.46,0.01,70,1009.16,7.4,27.54,28.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,08-24-2019,01:00:00,26.1,1.30,000,1008.21,1.80,94,1008.92,0.0,33.82,27.1
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,8.00,08-24-2019,01:00:00,24.6,0.01,230,987.28,0.90,86,1008.45,5.6,30.94,27.2
