WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,MeanSeaLevelPressure,VaporPressure,Rainfall24Hr,RelativeHumidity,Rainfall,AirTemperature,LandVisibility,WindSpeed,WindDirection
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1007.12,07-09-2019,10:00:00,23.2,1010.36,28.48,0.01,57,0.00,32.9,12.00,9.3,300
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1009.51,07-09-2019,10:00:00,24.7,1010.60,31.10,0.00,66,0.00,31.8,10.00,3.7,250
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1010.10,07-09-2019,10:00:00,24.3,1010.40,30.32,0.00,65,0.00,31.7,10.00,11.1,210
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1009.72,07-09-2019,10:00:00,24.4,1010.40,30.49,0.00,69,0.00,30.8,10.00,0.0,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1010.05,07-09-2019,10:00:00,24.0,1010.54,29.92,0.00,65,0.00,31.5,10.00,3.7,120
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1009.14,07-09-2019,10:00:00,23.4,1010.53,28.86,0.00,60,0.00,32.1,10.00,13.0,250
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1008.84,07-09-2019,10:00:00,24.4,1010.51,30.52,0.00,74,0.00,29.4,10.00,16.7,210
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1003.93,07-09-2019,10:00:00,23.9,1011.87,29.65,0.00,67,0.00,30.8,12.00,14.8,230
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1009.93,07-09-2019,10:00:00,25.1,1010.21,31.94,0.00,66,0.00,32.2,12.00,11.1,240
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1007.17,07-09-2019,10:00:00,26.7,1010.27,34.98,0.00,76,0.00,31.4,12.00,5.6,280
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1003.49,07-09-2019,10:00:00,24.0,1010.38,29.89,0.00,68,0.00,30.5,12.00,11.1,230
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1005.06,07-09-2019,10:00:00,24.4,1010.58,30.53,0.00,62,0.00,32.5,7.00,7.4,270
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1001.32,07-09-2019,10:00:00,26.0,1010.54,33.65,0.00,74,0.00,31.2,10.00,13.0,250
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.61,07-09-2019,10:00:00,24.5,1010.86,30.77,0.00,67,0.00,31.5,15.00,3.7,360
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1010.03,07-09-2019,10:00:00,25.4,1010.45,32.34,0.00,72,0.00,31.0,11.00,5.6,170
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,998.18,07-09-2019,10:00:00,24.5,1010.28,30.81,0.00,66,0.00,31.8,10.00,7.4,130
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1009.60,07-09-2019,10:00:00,24.8,1010.30,31.23,6.10,63,0.00,32.7,10.00,5.6,240
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1008.01,07-09-2019,10:00:00,24.9,1010.41,31.40,0.00,64,0.00,32.5,10.00,14.8,210
