WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MaximumTemperature,StationPressure,AirTemperature,LandVisibility,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,VaporPressure,Rainfall24Hr,DewPoint,WindDirection
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-22-2019,19:00:00,33.8,981.43,31.8,10.00,0.0,1003.78,64,29.96,3.70,24.1,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-22-2019,19:00:00,33.0,974.36,29.8,12.00,0.0,1003.81,69,29.08,1.00,23.6,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-22-2019,19:00:00,34.8,969.07,32.0,6.00,0.0,1003.80,54,25.91,1.40,21.7,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-22-2019,19:00:00,34.5,974.70,29.3,13.00,0.0,1004.04,77,31.45,0.00,24.9,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-22-2019,19:00:00,34.5,997.97,31.2,10.00,0.0,1005.16,54,24.69,0.50,20.9,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-22-2019,19:00:00,33.7,983.96,31.0,12.00,0.0,1003.52,74,33.22,0.00,25.8,000
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-22-2019,19:00:00,34.2,976.05,30.8,15.00,5.6,1004.23,61,26.89,0.00,22.3,270
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-22-2019,19:00:00,32.7,984.44,29.5,12.00,3.7,1004.38,79,32.42,0.00,25.4,110
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,3.20,07-22-2019,19:00:00,33.0,984.59,24.0,8.00,3.7,1006.50,93,27.76,19.20,22.8,150
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,12.70,07-22-2019,19:00:00,31.5,985.90,23.7,9.00,9.3,1005.56,97,28.52,20.90,23.3,190
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,22.30,07-22-2019,19:00:00,31.1,989.33,24.2,9.00,0.0,1006.21,95,28.62,43.60,23.3,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,13.20,07-22-2019,19:00:00,29.4,989.08,24.2,8.00,0.0,1006.64,96,28.88,41.50,23.5,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-22-2019,19:00:00,33.4,978.08,30.0,12.00,7.4,1003.49,68,28.91,0.00,23.5,260
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-22-2019,19:00:00,33.8,998.72,30.5,10.00,0.0,1004.42,72,31.31,0.00,24.8,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-22-2019,19:00:00,33.0,998.50,30.4,12.00,0.0,1004.60,72,31.39,0.40,24.9,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-22-2019,19:00:00,32.5,988.83,30.0,10.00,0.0,1005.07,65,27.55,0.00,22.7,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,07-22-2019,19:00:00,33.8,982.38,27.0,10.00,0.0,1004.64,83,29.48,6.30,23.8,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-22-2019,19:00:00,32.7,991.22,30.0,10.00,11.1,1005.44,66,28.09,0.01,23.0,280
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-22-2019,19:00:00,34.8,989.05,29.8,10.00,7.4,1005.25,59,24.80,0.20,21.0,240
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-22-2019,19:00:00,32.5,999.55,29.9,10.00,0.0,1004.72,76,32.09,0.10,25.2,000
