WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,VaporPressure,Rainfall24Hr,MeanSeaLevelPressure,RelativeHumidity,AirTemperature,WindSpeed,DewPoint,StationPressure,LandVisibility,Rainfall
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,10-03-2019,16:00:00,27.27,2.80,1009.68,57,32.0,0.0,22.5,1008.09,8.00,2.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,10-03-2019,16:00:00,30.97,2.00,1009.60,89,26.5,0.0,24.6,1006.11,8.00,1.70
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,250,10-03-2019,16:00:00,27.09,0.00,1008.38,69,28.6,3.7,22.4,1007.03,10.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,10-03-2019,16:00:00,32.88,2.40,1009.28,84,28.6,0.0,25.6,1008.39,8.00,0.01
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,340,10-03-2019,16:00:00,29.39,4.70,1009.60,69,30.1,5.6,23.7,1006.07,10.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,240,10-03-2019,16:00:00,28.33,0.00,1008.95,58,32.4,11.1,23.1,1008.52,10.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,310,10-03-2019,16:00:00,29.65,10.00,1008.88,67,30.8,5.6,23.9,1007.90,10.00,0.10
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,260,10-03-2019,16:00:00,32.42,0.00,1009.23,73,30.9,14.8,25.4,1008.42,12.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,120,10-03-2019,16:00:00,30.44,33.40,1009.33,93,25.5,7.4,24.3,1007.51,7.00,32.50
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,240,10-03-2019,16:00:00,28.90,0.01,1008.92,84,26.4,11.1,23.5,1008.17,12.00,0.01
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,240,10-03-2019,16:00:00,28.84,13.40,1008.98,76,28.1,9.3,23.4,1004.99,10.00,13.40
48570,SATUN,สตูล,สตูล,6.65000,100.08333,260,10-03-2019,16:00:00,31.08,25.30,1009.13,76,29.4,5.6,24.7,1008.45,10.00,1.90
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,240,10-03-2019,16:00:00,29.33,0.00,1008.76,75,28.5,9.3,23.7,1007.65,10.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,270,10-03-2019,16:00:00,32.50,5.10,1009.04,76,30.1,13.0,25.4,1006.15,12.00,5.10
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,270,10-03-2019,16:00:00,29.36,0.00,1008.24,79,27.8,9.3,23.7,1007.55,10.00,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,000,10-03-2019,16:00:00,29.19,38.70,1008.92,73,29.0,0.0,23.6,1004.82,7.00,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,000,10-03-2019,16:00:00,29.47,0.00,1008.97,69,30.0,0.0,23.8,1008.39,10.00,0.00
