WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,LandVisibility,Rainfall,MeanSeaLevelPressure,DewPoint,WindSpeed,WindDirection,AirTemperature,RelativeHumidity,VaporPressure
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,985.32,08-01-2019,22:00:00,0.01,10.00,0.00,1007.15,22.1,9.3,270,27.3,73,26.59
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,964.45,08-01-2019,22:00:00,0.01,12.00,0.01,1008.06,19.4,14.8,230,24.7,72,22.53
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,985.92,08-01-2019,22:00:00,0.01,10.00,0.00,1006.45,21.3,11.1,230,27.3,70,25.31
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,986.19,08-01-2019,22:00:00,0.20,9.00,0.00,1007.04,25.0,13.0,240,26.4,92,31.60
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1007.85,08-01-2019,22:00:00,0.01,10.00,0.00,1008.28,21.0,5.6,270,28.5,64,24.83
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1006.41,08-01-2019,22:00:00,12.10,6.00,0.00,1007.84,23.4,0.0,000,25.0,91,28.74
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1003.07,08-01-2019,22:00:00,9.20,7.00,0.00,1008.04,24.3,0.0,000,25.0,96,30.32
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1005.27,08-01-2019,22:00:00,0.01,10.00,0.00,1008.56,21.8,5.6,260,27.0,73,26.06
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1007.32,08-01-2019,22:00:00,0.01,10.00,0.00,1008.43,22.8,0.0,000,26.5,80,27.77
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1008.15,08-01-2019,22:00:00,0.01,10.00,0.00,1008.45,20.8,7.4,250,28.8,62,24.59
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1007.50,08-01-2019,22:00:00,0.50,10.00,0.00,1007.99,21.1,3.7,280,28.2,66,25.08
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1007.16,08-01-2019,22:00:00,0.20,10.00,0.01,1008.57,21.1,9.3,260,28.2,66,25.08
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1002.24,08-01-2019,22:00:00,2.70,10.00,0.00,1010.30,23.2,0.0,000,25.7,86,28.42
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1007.36,08-01-2019,22:00:00,2.20,10.00,0.00,1007.65,25.4,9.3,290,29.4,79,32.50
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1004.96,08-01-2019,22:00:00,0.00,10.00,0.00,1008.08,22.7,9.3,200,28.4,71,27.52
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1001.55,08-01-2019,22:00:00,0.00,10.00,0.00,1008.45,20.9,5.6,230,29.2,61,24.77
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1002.49,08-01-2019,22:00:00,14.20,8.00,0.00,1008.13,24.3,0.0,000,25.5,93,30.44
