WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,MeanSeaLevelPressure,AirTemperature,DewPoint,RelativeHumidity,VaporPressure,LandVisibility,WindDirection,WindSpeed,Rainfall,Rainfall24Hr
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,07-06-2019,13:00:00,1006.57,1010.70,34.2,22.6,51,27.41,10.00,270,13.0,0.00,0.30
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,07-06-2019,13:00:00,1007.14,1008.71,34.5,23.8,54,29.46,10.00,220,7.4,0.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,07-06-2019,13:00:00,1006.08,1009.48,33.7,21.7,49,25.87,12.00,330,5.6,0.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,07-06-2019,13:00:00,1007.10,1008.42,34.5,24.3,55,30.34,10.00,120,16.7,0.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,07-06-2019,13:00:00,1008.64,1009.51,31.8,25.5,69,32.56,10.00,240,5.6,0.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,07-06-2019,13:00:00,1005.16,1008.65,33.0,24.0,59,29.83,10.00,280,7.4,0.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,07-06-2019,13:00:00,1008.77,1009.19,34.1,21.6,48,25.82,10.00,280,9.3,0.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,07-06-2019,13:00:00,1008.21,1009.19,32.5,22.8,57,27.69,10.00,270,13.0,0.00,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,07-06-2019,13:00:00,1008.94,1009.74,31.5,25.4,70,32.52,10.00,280,9.3,0.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,07-06-2019,13:00:00,1007.27,1009.04,34.4,23.0,52,28.10,10.00,260,7.4,0.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,07-06-2019,13:00:00,1008.05,1008.79,33.0,23.7,58,29.25,12.00,040,7.4,0.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,07-06-2019,13:00:00,1004.61,1008.52,34.5,21.9,48,26.32,10.00,240,11.1,1.20,1.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,07-06-2019,13:00:00,1008.39,1009.06,33.2,24.7,61,31.11,10.00,270,11.1,0.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,07-06-2019,13:00:00,1007.38,1008.46,35.3,22.4,47,27.07,12.00,200,11.1,0.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,07-06-2019,13:00:00,1005.82,1008.67,34.4,23.3,53,28.67,12.00,260,7.4,0.00,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,07-06-2019,13:00:00,1007.97,1008.65,33.7,24.2,58,30.12,9.00,340,13.0,0.00,12.50
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,07-06-2019,13:00:00,1004.99,1009.02,34.5,24.6,57,30.93,8.00,000,0.0,0.00,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,07-06-2019,13:00:00,1008.23,1008.81,32.6,24.3,62,30.44,12.00,000,0.0,0.00,0.00
