WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,WindSpeed,DewPoint,RelativeHumidity,MeanSeaLevelPressure,Rainfall,Rainfall24Hr,StationPressure,VaporPressure,LandVisibility,AirTemperature
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,280,07-16-2019,22:00:00,14.8,22.9,61,1002.20,0.00,0.00,976.92,27.85,11.00,31.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,270,07-16-2019,22:00:00,11.1,22.9,67,1003.35,0.00,0.00,997.64,27.98,10.00,29.8
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,07-16-2019,22:00:00,0.0,25.1,85,1003.48,1.00,1.00,997.34,31.95,10.00,28.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,07-16-2019,22:00:00,0.0,23.5,68,1003.48,0.00,0.00,987.26,28.91,10.00,30.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,290,07-16-2019,22:00:00,3.7,23.6,89,1004.76,0.00,7.50,982.38,29.11,10.00,25.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,260,07-16-2019,22:00:00,14.8,22.4,69,1004.96,0.00,1.00,990.68,27.09,8.00,28.6
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,230,07-16-2019,22:00:00,11.1,21.8,67,1003.99,0.00,0.00,987.74,26.13,7.00,28.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,250,07-16-2019,22:00:00,3.7,24.2,70,1003.65,0.00,0.00,998.50,30.26,10.00,30.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,07-16-2019,22:00:00,0.0,23.7,71,1002.47,0.00,0.00,989.44,29.24,10.00,29.6
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,320,07-16-2019,22:00:00,1.9,22.4,67,1004.08,0.00,0.00,994.85,27.13,11.00,29.2
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,150,07-16-2019,22:00:00,20.4,23.9,74,1003.96,3.50,3.50,982.50,29.65,6.00,29.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,240,07-16-2019,22:00:00,13.0,23.9,81,1004.92,3.60,3.60,987.49,29.60,8.00,27.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,000,07-16-2019,22:00:00,0.0,23.8,66,1003.37,0.00,0.00,987.81,29.48,10.00,31.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,210,07-16-2019,22:00:00,11.1,23.0,63,1002.50,0.01,0.01,983.95,28.09,10.00,31.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,07-16-2019,22:00:00,0.0,22.5,91,1008.14,0.00,0.00,956.58,27.25,6.00,24.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,230,07-16-2019,22:00:00,11.1,26.5,82,1003.52,0.00,0.00,999.62,34.64,8.00,30.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,230,07-16-2019,22:00:00,16.7,20.9,97,1006.28,0.01,5.60,911.23,24.76,.40,21.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,07-16-2019,22:00:00,0.0,25.8,70,1003.32,0.00,0.00,987.65,33.29,6.00,32.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,07-16-2019,22:00:00,0.0,26.1,97,1004.09,17.40,17.40,1000.06,33.87,9.00,26.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,07-16-2019,22:00:00,0.0,23.6,73,1005.29,0.00,0.00,994.70,29.19,7.00,29.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,190,07-16-2019,22:00:00,3.7,24.6,76,1004.79,0.00,0.00,1002.87,30.96,9.00,29.2
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,230,07-16-2019,22:00:00,5.6,22.2,59,1003.82,0.00,0.00,983.31,26.83,10.00,31.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,200,07-16-2019,22:00:00,11.1,22.4,62,1004.15,0.00,0.00,986.74,27.14,10.00,30.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,210,07-16-2019,22:00:00,7.4,24.0,65,1003.43,0.00,0.00,987.57,29.92,10.00,31.5
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,150,07-16-2019,22:00:00,3.7,25.1,73,1004.01,0.00,0.00,990.18,31.88,10.00,30.5
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,07-16-2019,22:00:00,0.0,25.1,78,1004.84,0.00,0.00,990.17,31.93,10.00,29.4
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,000,07-16-2019,22:00:00,0.0,24.0,73,1005.23,0.00,0.00,990.70,29.77,8.00,29.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",07-16-2019,22:00:00,0.0,26.2,91,1003.96,3.40,3.70,1000.96,34.03,10.00,27.9
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,07-16-2019,22:00:00,0.0,24.6,70,1003.70,0.00,0.00,995.87,30.94,8.00,30.6
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,220,07-16-2019,22:00:00,13.0,25.9,73,1005.21,0.00,0.00,1004.12,33.48,6.00,31.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,07-16-2019,22:00:00,0.0,20.9,62,1004.47,0.00,0.00,989.92,24.68,8.00,29.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,190,07-16-2019,22:00:00,9.3,21.0,98,1005.24,0.60,0.60,871.24,24.84,.05,21.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,07-16-2019,22:00:00,0.0,26.2,78,1004.23,0.00,0.00,998.43,34.01,10.00,30.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,210,07-16-2019,22:00:00,5.6,27.6,82,1004.99,0.00,0.00,1004.20,36.84,9.00,31.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,230,07-16-2019,22:00:00,14.8,24.9,74,1004.78,0.00,0.00,1004.34,31.56,10.00,30.2
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,07-16-2019,22:00:00,0.0,23.2,85,1006.20,0.00,0.00,994.86,28.34,5.00,25.8
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,210,07-16-2019,22:00:00,3.7,22.9,68,1005.10,0.00,0.00,1004.10,27.96,10.00,29.5
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,000,07-16-2019,22:00:00,0.0,23.8,67,1004.51,0.00,0.00,1002.72,29.53,8.00,30.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,230,07-16-2019,22:00:00,3.7,22.3,65,1005.10,0.00,0.00,1004.34,26.89,8.00,29.5
