WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,WindDirection,VaporPressure,RelativeHumidity,DewPoint,StationPressure,AirTemperature,Rainfall
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,07-16-2019,13:00:00,1003.05,0.00,12.00,000,29.17,58,23.6,973.93,33.1,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,07-16-2019,13:00:00,1002.62,0.00,8.00,000,24.64,43,20.9,968.29,35.2,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,7.4,07-16-2019,13:00:00,1001.75,0.00,16.00,140,29.21,53,23.7,973.00,34.8,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,9.3,07-16-2019,13:00:00,1004.97,1.00,11.00,180,29.38,53,23.7,997.86,34.6,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.6,07-16-2019,13:00:00,1003.14,0.00,17.00,110,33.72,62,26.1,983.81,34.4,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,3.7,07-16-2019,13:00:00,1001.88,0.00,17.00,220,26.05,43,21.8,974.25,36.2,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,3.7,07-16-2019,13:00:00,1003.51,0.00,15.00,030,31.94,60,25.1,983.88,34.0,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,3.7,07-16-2019,13:00:00,1003.75,0.00,16.00,140,31.16,55,24.7,982.68,35.3,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,5.6,07-16-2019,13:00:00,1002.92,0.00,15.00,100,31.00,59,24.6,983.95,33.7,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,5.6,07-16-2019,13:00:00,1003.81,0.00,12.00,110,28.68,55,23.3,987.48,33.7,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,3.7,07-16-2019,13:00:00,1003.89,0.00,12.00,120,28.84,54,23.4,986.94,34.2,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,11.1,07-16-2019,13:00:00,1001.37,0.00,15.00,080,25.49,47,21.4,976.37,34.5,0.00
