WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,StationPressure,Rainfall24Hr,WindDirection,DewPoint,MaximumTemperature,LandVisibility,WindSpeed,AirTemperature,MeanSeaLevelPressure,Rainfall,RelativeHumidity
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,31.72,09-18-2019,19:00:00,972.10,18.60,000,25.0,33.3,8.00,0.0,30.0,1007.17,0.00,75
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,31.95,09-18-2019,19:00:00,978.02,2.90,000,25.1,34.0,12.00,0.0,28.0,1007.59,0.00,85
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,33.99,09-18-2019,19:00:00,999.14,0.00,000,26.2,36.9,10.00,0.0,32.6,1006.30,0.00,69
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,33.81,09-18-2019,19:00:00,988.19,0.00,100,26.1,34.6,8.00,3.7,31.0,1007.83,0.00,75
48353,LOEI,เลย,เลย,17.45000,101.73333,32.26,09-18-2019,19:00:00,979.41,2.80,300,25.3,35.0,15.00,3.7,30.4,1007.73,0.00,74
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,31.35,09-18-2019,19:00:00,987.82,0.00,100,24.8,34.0,8.00,5.6,30.1,1007.79,0.00,73
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,32.07,09-18-2019,19:00:00,987.52,0.00,130,25.2,32.1,10.00,3.7,28.2,1009.19,0.00,84
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,32.96,09-18-2019,19:00:00,988.95,0.00,140,25.7,32.0,10.00,1.9,28.5,1008.36,0.00,85
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,27.69,09-18-2019,19:00:00,992.56,0.01,100,22.8,32.5,11.00,3.7,28.2,1009.27,0.01,72
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,29.99,09-18-2019,19:00:00,991.94,0.10,000,24.1,32.4,10.00,0.0,26.7,1009.39,0.00,86
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,30.83,09-18-2019,19:00:00,982.18,0.00,090,24.6,34.3,11.00,3.7,29.7,1007.73,0.00,74
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,36.49,09-18-2019,19:00:00,1000.78,0.00,000,27.4,36.4,10.00,0.0,31.8,1006.47,0.00,78
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,35.72,09-18-2019,19:00:00,1001.26,0.00,000,27.0,35.0,12.00,0.0,30.5,1007.38,0.00,82
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.07,09-18-2019,19:00:00,991.60,0.00,000,23.6,36.0,10.00,0.0,31.5,1007.80,0.00,63
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,29.73,09-18-2019,19:00:00,983.70,2.30,300,23.9,35.3,10.00,3.7,30.7,1005.72,0.00,67
48376,TAK,ตาก,ตาก,16.87833,99.14333,31.31,09-18-2019,19:00:00,993.32,0.00,000,24.8,35.8,6.00,0.0,34.4,1007.36,0.00,58
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,31.72,09-18-2019,19:00:00,991.12,3.40,000,25.0,36.0,10.00,0.0,31.4,1007.27,0.00,69
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,30.97,09-18-2019,19:00:00,1002.34,17.70,000,24.6,33.8,10.00,0.0,26.5,1007.58,1.90,89
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.90,09-18-2019,19:00:00,992.58,5.80,000,24.6,35.6,12.00,0.0,31.0,1005.59,0.00,69
