WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,Rainfall24Hr,VaporPressure,Rainfall,WindDirection,DewPoint,WindSpeed,LandVisibility,RelativeHumidity,AirTemperature
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1010.03,09-14-2019,10:00:00,1008.22,23.40,31.88,0.00,000,25.1,0.0,10.00,73,30.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1009.11,09-14-2019,10:00:00,1008.35,9.20,30.96,0.20,000,24.6,0.0,8.00,76,29.2
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.43,09-14-2019,10:00:00,1008.73,15.40,28.95,0.40,300,23.5,5.6,10.00,75,28.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.04,09-14-2019,10:00:00,1008.33,0.90,33.20,0.20,240,25.8,3.7,7.00,87,28.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1009.13,09-14-2019,10:00:00,988.14,2.10,30.22,0.00,070,24.2,7.4,10.00,71,30.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1009.01,09-14-2019,10:00:00,992.36,3.70,29.63,0.00,000,23.9,0.0,10.00,75,28.8
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1009.01,09-14-2019,10:00:00,992.64,11.00,31.94,0.00,030,25.1,5.6,9.00,81,28.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1009.18,09-14-2019,10:00:00,987.43,2.50,31.13,1.10,030,24.7,3.7,10.00,78,29.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1009.11,09-14-2019,10:00:00,965.93,0.00,29.19,0.00,260,23.6,7.4,10.00,77,28.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1008.83,09-14-2019,10:00:00,988.37,16.20,30.57,0.00,010,24.4,3.7,9.00,76,29.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1010.60,09-14-2019,10:00:00,989.81,0.00,33.12,0.00,040,25.8,14.8,9.00,86,28.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1008.73,09-14-2019,10:00:00,1008.30,0.01,27.54,0.00,320,22.7,5.6,10.00,61,31.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.42,09-14-2019,10:00:00,1007.00,2.40,32.77,0.20,000,25.6,0.0,9.00,92,27.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1009.56,09-14-2019,10:00:00,1004.59,14.50,31.46,3.70,000,24.9,0.0,8.00,94,25.9
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1009.10,09-14-2019,10:00:00,1005.85,0.00,28.09,0.00,250,23.0,7.4,12.00,63,31.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1009.38,09-14-2019,10:00:00,1008.28,0.30,30.57,0.00,290,24.4,3.7,10.00,76,29.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.26,09-14-2019,10:00:00,1008.96,2.00,29.60,0.20,290,23.9,5.6,10.00,76,28.5
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1009.13,09-14-2019,10:00:00,1008.44,2.00,30.72,0.00,260,24.5,7.4,10.00,75,29.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1008.47,09-14-2019,10:00:00,1007.98,2.40,32.23,1.20,270,25.3,1.9,10.00,85,28.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1009.48,09-14-2019,10:00:00,1008.07,0.60,29.65,0.00,270,23.9,11.1,10.00,74,29.1
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1009.14,09-14-2019,10:00:00,1007.47,0.00,34.58,0.00,210,26.5,14.8,10.00,86,29.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1011.37,09-14-2019,10:00:00,1003.33,3.90,32.21,0.50,000,25.3,0.0,10.00,90,27.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1009.25,09-14-2019,10:00:00,1008.97,0.60,30.54,0.00,320,24.4,9.3,10.00,78,28.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1008.96,09-14-2019,10:00:00,1005.85,0.00,29.71,0.00,270,23.9,5.6,10.00,71,29.7
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1009.29,09-14-2019,10:00:00,1002.37,0.00,31.46,0.00,000,24.9,0.0,12.00,80,28.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1009.60,09-14-2019,10:00:00,1003.95,19.90,30.69,10.10,000,24.5,0.0,6.00,96,25.2
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1011.29,09-14-2019,10:00:00,1002.01,0.00,28.86,0.00,330,23.4,5.6,10.00,70,29.4
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.94,09-14-2019,10:00:00,1008.69,0.01,28.91,0.00,350,23.5,11.1,14.00,68,30.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.26,09-14-2019,10:00:00,1008.84,2.10,31.15,0.00,170,24.7,5.6,11.00,71,30.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1009.44,09-14-2019,10:00:00,997.22,0.00,28.35,0.00,270,23.2,3.7,10.00,72,28.7
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1009.36,09-14-2019,10:00:00,1008.66,0.00,28.73,0.00,300,23.4,5.6,10.00,64,30.9
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1009.28,09-14-2019,10:00:00,1006.86,1.90,30.72,0.40,270,24.5,7.4,10.00,75,29.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.77,09-14-2019,10:00:00,1009.25,3.10,32.36,0.30,000,25.4,0.0,9.00,88,27.5
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1009.11,09-14-2019,10:00:00,1003.98,1.90,30.46,0.00,310,24.3,11.1,11.00,77,28.8
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.06,09-14-2019,10:00:00,1008.65,18.70,32.86,0.40,000,25.6,0.0,7.00,93,26.9
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1009.29,09-14-2019,10:00:00,1006.52,40.90,32.20,0.00,000,25.3,0.0,8.00,87,27.7
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.79,09-14-2019,10:00:00,1009.00,0.01,27.03,0.00,000,22.4,0.0,10.00,68,29.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.59,09-14-2019,10:00:00,1008.14,93.90,32.27,0.00,280,25.3,9.3,8.00,84,28.3
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.49,09-14-2019,10:00:00,1009.80,1.70,28.96,1.40,300,23.5,7.4,7.00,80,27.3
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1011.18,09-14-2019,10:00:00,1009.64,3.40,27.85,3.40,230,22.9,3.7,8.00,81,26.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1012.81,09-14-2019,10:00:00,1011.88,10.90,27.95,6.10,000,22.9,0.0,7.00,90,24.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.83,09-14-2019,10:00:00,1010.15,0.90,29.71,0.00,300,23.9,9.3,12.00,75,28.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.44,09-14-2019,10:00:00,1010.64,0.20,29.98,0.00,190,24.1,3.7,10.00,76,28.7
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.29,09-14-2019,10:00:00,1009.67,8.00,28.45,0.00,000,23.2,0.0,12.00,64,30.9
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.79,09-14-2019,10:00:00,1010.38,16.10,31.68,0.00,000,25.0,0.0,10.00,76,29.7
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1012.80,09-14-2019,10:00:00,1008.60,0.60,27.83,0.00,210,22.9,9.3,6.00,70,29.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1011.70,09-14-2019,10:00:00,1010.09,11.80,28.62,0.00,000,23.3,0.0,10.00,73,28.7
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1011.52,09-14-2019,10:00:00,1008.05,1.50,29.35,0.00,000,23.7,0.0,10.00,74,28.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.69,09-14-2019,10:00:00,1009.34,0.00,27.55,0.00,100,22.7,11.1,10.00,65,30.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1012.06,09-14-2019,10:00:00,1011.18,1.80,31.72,0.00,000,25.0,0.0,10.00,75,30.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1012.06,09-14-2019,10:00:00,1008.49,10.20,28.35,0.00,000,23.2,0.0,10.00,78,27.4
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1012.66,09-14-2019,10:00:00,1012.23,0.00,28.37,0.00,000,23.2,0.0,10.00,71,29.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1011.10,09-14-2019,10:00:00,1010.12,0.01,30.63,0.00,320,24.4,9.3,8.00,74,29.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1011.86,09-14-2019,10:00:00,1011.05,6.00,32.83,0.00,290,25.6,16.7,10.00,79,29.7
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1011.73,09-14-2019,10:00:00,1009.93,0.30,31.07,0.00,280,24.7,5.6,10.00,73,30.1
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.58,09-14-2019,10:00:00,1010.84,0.00,30.57,0.00,230,24.4,11.1,12.00,67,31.4
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1012.15,09-14-2019,10:00:00,1008.18,0.00,30.22,0.00,240,24.2,14.8,10.00,71,30.1
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1012.16,09-14-2019,10:00:00,1011.48,0.30,30.80,0.10,240,24.5,7.4,10.00,75,29.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1011.42,09-14-2019,10:00:00,1010.32,0.00,30.05,0.00,200,24.1,5.6,10.00,67,31.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1011.90,09-14-2019,10:00:00,1009.00,0.00,30.47,0.00,260,24.4,5.6,10.00,73,29.8
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1011.01,09-14-2019,10:00:00,1010.33,2.40,32.67,0.00,270,25.5,14.8,11.00,74,30.6
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1011.75,09-14-2019,10:00:00,1007.66,2.00,28.65,0.00,000,23.3,0.0,10.00,64,31.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.02,09-14-2019,10:00:00,1010.44,0.60,26.73,0.00,250,22.2,18.5,10.00,60,31.0
