WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,WindDirection,LandVisibility,AirTemperature,VaporPressure,StationPressure,WindSpeed,MeanSeaLevelPressure,DewPoint,Rainfall24Hr
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,97,09-02-2019,04:00:00,0.00,000,7.00,25.5,31.79,999.20,0.0,1005.41,25.1,5.90
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,96,09-02-2019,04:00:00,0.00,000,8.00,24.5,29.41,989.88,0.0,1006.44,23.8,2.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,93,09-02-2019,04:00:00,0.20,000,8.00,24.4,28.45,982.28,0.0,1004.74,23.2,8.60
48376,TAK,ตาก,ตาก,16.87833,99.14333,96,09-02-2019,04:00:00,1.10,000,6.00,25.0,30.32,992.02,0.0,1006.49,24.3,3.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,96,09-02-2019,04:00:00,0.00,000,7.00,24.0,28.53,989.37,0.0,1005.89,23.3,7.20
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,96,09-02-2019,04:00:00,0.00,000,10.00,25.0,30.32,1001.13,0.0,1006.38,24.3,14.60
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,94,09-02-2019,04:00:00,0.00,000,10.00,24.9,29.61,991.54,0.0,1004.80,23.9,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,97,09-02-2019,04:00:00,0.00,000,11.00,25.4,31.33,996.65,0.0,1006.02,24.8,21.80
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,100,09-02-2019,04:00:00,28.60,200,5.00,23.8,29.46,983.93,5.6,1005.81,23.8,126.80
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,96,09-02-2019,04:00:00,10.40,000,5.00,25.0,30.32,984.79,0.0,1002.32,24.3,24.40
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,92,09-02-2019,04:00:00,8.80,000,10.00,25.0,29.00,986.74,0.0,1002.61,23.5,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,97,09-02-2019,04:00:00,35.00,200,6.00,24.8,30.48,985.03,3.7,1003.99,24.4,82.20
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,93,09-02-2019,04:00:00,1.10,000,6.00,22.8,25.76,956.11,0.0,1007.86,21.6,21.20
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,97,09-02-2019,04:00:00,0.00,150,4.00,25.3,31.41,1002.17,3.7,1006.15,24.9,41.90
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,97,09-02-2019,04:00:00,0.50,200,2.00,20.6,23.55,911.38,7.4,1006.72,20.1,15.50
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,97,09-02-2019,04:00:00,5.20,000,3.00,24.5,29.93,988.70,0.0,1004.78,24.1,66.50
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,98,09-02-2019,04:00:00,0.01,160,9.00,25.7,32.45,1002.27,3.7,1006.31,25.4,19.40
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,97,09-02-2019,04:00:00,0.20,000,4.00,25.3,31.41,996.22,0.0,1006.96,24.9,10.60
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,96,09-02-2019,04:00:00,0.00,000,6.00,25.6,31.44,1004.59,0.0,1006.53,24.9,15.20
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,90,09-02-2019,04:00:00,0.20,000,7.00,24.9,28.30,984.56,0.0,1005.53,23.1,2.60
