WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,LandVisibility,StationPressure,VaporPressure,WindSpeed,WindDirection,RelativeHumidity,Rainfall,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,23.7,08-04-2019,16:00:00,10.00,981.13,29.30,9.3,200,68,0.00,0.50,30.2,999.68
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.4,08-04-2019,16:00:00,9.00,952.51,27.14,0.0,000,81,0.60,12.30,26.0,1003.50
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,23.5,08-04-2019,16:00:00,8.00,996.80,28.99,5.6,140,62,0.00,0.00,31.6,1000.67
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.5,08-04-2019,16:00:00,.25,907.36,24.15,20.4,240,97,5.30,12.10,21.0,1002.14
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.6,08-04-2019,16:00:00,8.00,985.04,30.98,0.0,000,80,0.20,0.20,28.5,1000.85
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.9,08-04-2019,16:00:00,10.00,997.04,31.52,0.0,000,66,0.10,0.10,32.0,1000.99
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,22.8,08-04-2019,16:00:00,8.00,991.63,27.82,7.4,210,62,0.00,0.00,31.0,1002.11
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,23.8,08-04-2019,16:00:00,8.00,1000.39,29.52,7.4,180,71,0.00,0.01,29.6,1002.30
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,19.8,08-04-2019,16:00:00,12.00,980.44,23.12,14.8,230,52,0.00,0.00,30.9,1000.91
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,23.1,08-04-2019,16:00:00,10.00,983.38,28.21,0.0,000,70,0.00,0.01,29.2,1000.81
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,22.8,08-04-2019,16:00:00,10.00,984.54,27.82,7.4,170,66,0.00,0.00,30.0,1000.44
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.0,08-04-2019,16:00:00,10.00,987.45,28.12,7.4,250,65,0.00,0.00,30.3,1001.25
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.2,08-04-2019,16:00:00,10.00,987.23,32.01,0.0,000,79,0.40,0.40,29.3,1001.87
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.5,08-04-2019,16:00:00,10.00,988.15,30.79,9.3,220,72,0.00,0.70,30.1,1002.61
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,23.5,08-04-2019,16:00:00,8.00,998.44,28.87,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",63,0.20,0.20,31.4,1001.39
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,21.4,08-04-2019,16:00:00,10.00,992.92,25.51,5.6,200,55,0.00,0.00,31.5,1000.70
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,23.3,08-04-2019,16:00:00,8.00,1002.56,28.56,14.8,230,67,0.00,0.40,30.1,1003.65
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.4,08-04-2019,16:00:00,9.00,989.64,30.62,0.0,000,71,0.00,0.00,30.3,1004.12
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.9,08-04-2019,16:00:00,.05,869.75,21.79,11.1,280,98,0.80,2.30,19.2,1004.53
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,22.9,08-04-2019,16:00:00,10.00,995.78,27.87,11.1,200,60,0.00,0.00,31.6,1001.54
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,23.0,08-04-2019,16:00:00,9.00,1001.36,28.09,14.8,240,63,0.00,1.20,31.0,1002.15
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,21.9,08-04-2019,16:00:00,10.00,1002.70,26.27,11.1,230,59,0.00,0.30,30.9,1003.14
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.4,08-04-2019,16:00:00,4.00,992.50,30.59,0.0,000,89,8.30,41.70,26.3,1003.79
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.6,08-04-2019,16:00:00,10.00,1001.29,29.07,14.8,270,63,0.00,1.00,31.5,1002.29
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.6,08-04-2019,16:00:00,9.00,1000.45,29.09,5.6,230,66,0.00,0.50,30.8,1002.25
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.2,08-04-2019,16:00:00,8.00,1001.30,28.42,0.0,000,65,0.00,4.00,30.6,1002.05
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,22.7,08-04-2019,16:00:00,10.00,1002.40,27.63,14.8,200,66,0.00,0.01,29.9,1003.10
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.0,08-04-2019,16:00:00,7.00,1001.80,29.75,3.7,240,61,0.00,0.00,32.4,1002.48
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,22.8,08-04-2019,16:00:00,10.00,980.80,27.79,11.1,250,59,0.00,0.10,31.7,1001.51
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,21.0,08-04-2019,16:00:00,12.00,985.13,24.89,9.3,260,54,0.00,0.00,31.6,1001.50
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,21.7,08-04-2019,16:00:00,9.00,986.03,25.92,11.1,240,58,0.00,0.10,31.0,1002.17
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,20.5,08-04-2019,16:00:00,10.00,980.03,24.07,3.7,290,54,0.00,0.01,31.0,1001.48
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,21.5,08-04-2019,16:00:00,14.00,959.62,25.65,11.1,240,70,0.00,0.30,27.5,1002.60
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,21.3,08-04-2019,16:00:00,10.00,981.47,25.39,9.3,120,57,0.00,0.00,31.0,1001.65
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,23.3,08-04-2019,16:00:00,10.00,982.28,28.54,7.4,240,72,0.00,0.00,28.8,1002.88
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,22.6,08-04-2019,16:00:00,10.00,1002.54,27.47,9.3,250,64,0.01,1.50,30.1,1002.97
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,23.9,08-04-2019,16:00:00,10.00,1001.50,29.70,5.6,270,68,0.00,0.10,30.4,1002.89
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,23.0,08-04-2019,16:00:00,10.00,998.04,28.09,7.4,270,63,0.00,0.00,31.0,1002.89
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.2,08-04-2019,16:00:00,12.00,999.26,28.42,9.3,220,65,0.00,6.10,30.6,1002.50
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.5,08-04-2019,16:00:00,10.00,1001.77,30.79,0.0,000,72,0.00,3.30,30.1,1002.86
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,22.9,08-04-2019,16:00:00,10.00,1003.07,27.95,5.6,100,64,0.01,0.50,30.5,1003.37
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,22.5,08-04-2019,16:00:00,10.00,1003.19,27.30,9.3,270,60,0.00,0.80,31.3,1003.87
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,23.3,08-04-2019,16:00:00,10.00,1002.43,28.65,5.6,300,64,0.00,0.50,31.0,1002.91
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,22.5,08-04-2019,16:00:00,10.00,1001.45,27.19,24.1,250,60,0.00,0.60,31.1,1002.84
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,23.2,08-04-2019,16:00:00,10.00,1001.83,28.51,16.7,200,62,0.00,0.00,31.5,1003.47
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,21.7,08-04-2019,16:00:00,12.00,996.81,25.98,14.8,230,59,0.00,0.00,30.6,1004.70
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.8,08-04-2019,16:00:00,10.00,1002.70,33.26,9.3,160,76,0.00,0.01,30.6,1002.98
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,23.9,08-04-2019,16:00:00,10.00,1000.26,29.74,5.6,240,74,0.00,1.30,29.0,1003.36
