WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,DewPoint,Rainfall,MaximumTemperature,LandVisibility,StationPressure,WindSpeed,AirTemperature,VaporPressure,WindDirection,MeanSeaLevelPressure
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,67,08-06-2019,19:00:00,0.00,23.2,0.00,36.2,10.00,1007.09,0.0,30.0,28.37,000,1007.49
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,59,08-06-2019,19:00:00,0.00,21.6,0.00,34.6,6.00,1004.66,5.6,30.6,25.72,240,1008.83
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,72,08-06-2019,19:00:00,0.00,23.3,0.00,33.8,10.00,1006.42,0.0,28.8,28.54,000,1008.02
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,71,08-06-2019,19:00:00,0.00,23.2,0.00,35.0,10.00,1004.89,0.0,29.0,28.37,000,1008.34
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,62,08-06-2019,19:00:00,0.00,22.3,0.00,35.8,10.00,1005.91,5.6,30.5,26.87,320,1007.25
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,70,08-06-2019,19:00:00,0.00,23.1,0.00,32.6,10.00,1007.08,9.3,29.2,28.21,240,1007.96
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,75,08-06-2019,19:00:00,0.00,23.5,0.00,33.2,10.00,1004.28,0.0,28.3,28.95,000,1007.83
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,68,08-06-2019,19:00:00,0.00,24.2,0.00,35.1,10.00,1007.32,0.0,30.8,30.21,000,1007.76
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,63,08-06-2019,19:00:00,0.00,22.6,0.00,33.3,10.00,1006.58,5.6,30.4,27.49,320,1007.57
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,72,08-06-2019,19:00:00,0.00,24.0,0.00,32.5,10.00,1007.14,0.0,29.5,29.88,000,1007.95
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,72,08-06-2019,19:00:00,0.00,24.7,0.00,34.6,10.00,1006.12,0.0,30.3,31.19,000,1007.91
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,55,08-06-2019,19:00:00,0.00,21.8,0.00,36.3,11.00,1007.20,5.6,32.0,26.18,290,1007.94
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,63,08-06-2019,19:00:00,0.00,22.9,0.00,35.9,10.00,1003.18,9.3,30.6,27.87,240,1007.12
48570,SATUN,สตูล,สตูล,6.65000,100.08333,71,08-06-2019,19:00:00,0.00,24.8,0.00,33.9,10.00,1007.00,0.0,30.6,31.23,000,1007.67
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,57,08-06-2019,19:00:00,0.00,22.5,0.00,36.0,10.00,1006.19,11.1,32.0,27.27,210,1007.29
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,67,08-06-2019,19:00:00,0.00,23.9,0.00,34.9,10.00,1004.80,0.0,30.8,29.65,000,1007.69
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,79,08-06-2019,19:00:00,0.00,26.6,0.00,35.0,8.00,1006.63,0.0,30.6,34.74,000,1007.31
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,71,08-06-2019,19:00:00,0.00,23.8,0.00,33.6,8.00,1003.51,0.0,29.6,29.52,000,1007.60
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,66,08-06-2019,19:00:00,0.00,23.2,0.00,33.5,10.00,1006.87,0.0,30.3,28.39,000,1007.45
