WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,MeanSeaLevelPressure,Rainfall,WindSpeed,WindDirection,Rainfall24Hr,DewPoint,VaporPressure,LandVisibility,StationPressure
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,30.2,07-19-2019,22:00:00,64,1004.80,0.00,7.4,240,0.00,22.6,27.39,7.00,988.63
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,31.0,07-19-2019,22:00:00,72,1003.85,0.00,0.0,000,0.00,25.4,32.34,10.00,998.71
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.0,07-19-2019,22:00:00,69,1002.88,0.00,0.0,000,0.00,23.8,29.47,10.00,989.87
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,31.6,07-19-2019,22:00:00,60,1004.03,0.00,5.6,270,0.00,22.9,27.87,10.00,994.87
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,32.5,07-19-2019,22:00:00,58,1003.89,0.00,14.8,170,0.00,23.3,28.53,9.00,982.66
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,32.5,07-19-2019,22:00:00,67,1004.65,0.00,0.0,000,0.00,25.5,32.58,10.00,987.50
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,30.7,07-19-2019,22:00:00,71,1003.83,0.00,0.0,000,0.80,24.7,31.15,10.00,988.24
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,32.0,07-19-2019,22:00:00,63,1002.92,0.00,9.3,200,0.00,24.1,30.08,10.00,984.42
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.8,07-19-2019,22:00:00,87,1007.81,0.00,0.0,000,0.00,22.4,27.10,7.00,956.40
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.0,07-19-2019,22:00:00,68,1003.97,0.00,11.1,190,0.00,24.4,30.61,8.00,1000.08
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,22.0,07-19-2019,22:00:00,87,1007.00,0.00,5.6,240,0.00,19.7,22.87,7.00,912.06
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,31.4,07-19-2019,22:00:00,72,1003.97,0.00,0.0,000,0.00,25.6,32.89,10.00,988.26
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,29.6,07-19-2019,22:00:00,81,1004.31,0.00,7.4,180,0.00,25.9,33.50,10.00,1000.33
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,28.5,07-19-2019,22:00:00,74,1006.57,0.00,5.6,180,0.00,23.4,28.78,8.00,995.95
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.0,07-19-2019,22:00:00,84,1005.85,0.00,3.7,150,0.00,24.1,30.02,7.00,1003.93
