WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,WindDirection,MeanSeaLevelPressure,Rainfall,VaporPressure,RelativeHumidity,StationPressure,AirTemperature,WindSpeed,LandVisibility
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.3,09-18-2019,10:00:00,18.60,000,1011.63,0.00,30.29,76,976.30,29.0,0.0,8.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.2,09-18-2019,10:00:00,2.90,300,1010.53,0.00,33.96,80,981.08,30.1,5.6,10.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.5,09-18-2019,10:00:00,0.00,000,1010.49,0.00,30.72,75,1003.22,29.5,0.0,10.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.4,09-18-2019,10:00:00,0.00,360,1010.76,0.00,32.49,66,991.17,32.6,7.4,9.00
48353,LOEI,เลย,เลย,17.45000,101.73333,25.1,09-18-2019,10:00:00,2.80,330,1010.67,0.00,31.88,73,982.28,30.5,5.6,10.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,23.4,09-18-2019,10:00:00,0.00,050,1010.77,0.00,28.81,59,990.90,32.5,5.6,10.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.9,09-18-2019,10:00:00,0.00,000,1011.70,0.00,29.74,79,989.97,28.0,0.0,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.6,09-18-2019,10:00:00,0.00,160,1010.64,0.00,30.88,76,991.24,29.3,3.7,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,22.0,09-18-2019,10:00:00,0.00,000,1010.88,0.00,26.45,56,994.35,32.0,0.0,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.1,09-18-2019,10:00:00,0.00,090,1011.00,0.00,26.53,56,993.81,31.9,3.7,12.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.0,09-18-2019,10:00:00,0.00,000,1010.14,0.00,28.07,60,984.69,31.7,0.0,11.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.4,09-18-2019,10:00:00,0.00,000,1010.33,0.00,36.49,78,1004.62,31.8,0.0,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.9,09-18-2019,10:00:00,0.00,000,1010.82,0.00,33.40,72,1004.70,31.5,0.0,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.4,09-18-2019,10:00:00,0.00,000,1011.18,0.00,30.49,69,994.88,30.8,0.0,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,26.5,09-18-2019,10:00:00,2.30,270,1009.37,2.30,34.67,84,987.19,29.6,3.7,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,25.4,09-18-2019,10:00:00,0.00,250,1011.32,0.00,32.34,72,997.06,31.0,5.6,7.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,25.4,09-18-2019,10:00:00,3.40,000,1010.76,0.00,32.43,70,994.57,31.6,0.0,12.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.7,09-18-2019,10:00:00,15.80,040,1011.08,0.00,31.15,71,1005.89,30.7,7.4,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.5,09-18-2019,10:00:00,5.20,000,1009.47,0.00,32.71,79,996.35,29.5,0.0,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.9,09-18-2019,10:00:00,7.20,030,1010.99,0.00,31.43,71,1001.75,30.7,3.7,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.0,09-18-2019,10:00:00,0.01,070,1010.53,0.00,28.13,58,989.14,32.3,7.4,9.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.6,09-18-2019,10:00:00,0.00,100,1010.71,0.00,30.94,63,993.47,32.7,14.8,12.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.2,09-18-2019,10:00:00,0.00,040,1010.14,0.00,30.15,78,994.34,28.5,5.6,11.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,25.9,09-18-2019,10:00:00,14.80,000,1009.57,0.00,33.32,72,990.93,31.6,0.0,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.1,09-18-2019,10:00:00,0.00,000,1009.70,0.00,28.24,73,958.80,28.5,0.0,11.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.2,09-18-2019,10:00:00,0.10,300,1010.52,0.00,34.01,78,1006.60,30.4,3.7,4.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.1,09-18-2019,10:00:00,0.00,060,1009.95,0.00,25.04,72,916.14,26.7,7.4,8.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.6,09-18-2019,10:00:00,0.00,080,1010.35,0.00,30.95,73,994.47,29.9,5.6,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,26.6,09-18-2019,10:00:00,6.50,350,1010.76,0.20,34.82,80,1006.75,30.5,3.7,7.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.1,09-18-2019,10:00:00,2.30,350,1011.40,0.00,31.88,73,1000.80,30.5,3.7,9.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.5,09-18-2019,10:00:00,0.70,000,1011.05,0.00,32.67,74,1009.14,30.6,0.0,10.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,24.0,09-18-2019,10:00:00,0.00,000,1009.03,0.00,29.81,68,988.38,30.6,0.0,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,23.9,09-18-2019,10:00:00,0.00,040,1010.03,0.00,29.65,67,992.53,30.8,9.3,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.1,09-18-2019,10:00:00,0.00,070,1008.74,0.00,30.08,63,992.82,32.0,5.6,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.4,09-18-2019,10:00:00,0.00,120,1010.48,0.00,30.63,74,996.52,29.6,7.4,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.7,09-18-2019,10:00:00,0.00,000,1010.62,0.00,31.20,75,995.87,29.6,0.0,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.6,09-18-2019,10:00:00,0.00,080,1011.16,0.00,32.75,81,996.53,29.1,14.8,9.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.7,09-18-2019,10:00:00,29.40,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1010.74,0.00,33.08,78,1007.74,30.1,0.0,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.4,09-18-2019,10:00:00,5.50,290,1010.99,0.00,32.47,84,1003.05,28.4,9.3,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.5,09-18-2019,10:00:00,0.80,000,1010.91,0.00,30.82,68,1009.81,31.1,0.0,9.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.6,09-18-2019,10:00:00,0.00,000,1010.35,0.00,34.90,76,995.83,31.5,0.0,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.8,09-18-2019,10:00:00,30.60,070,1009.67,0.00,23.04,80,875.99,23.5,5.6,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.3,09-18-2019,10:00:00,5.30,020,1010.51,0.00,34.16,83,1004.66,29.5,7.4,8.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.5,09-18-2019,10:00:00,2.70,310,1010.61,0.00,30.73,68,1009.82,31.2,3.7,9.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.8,09-18-2019,10:00:00,1.20,210,1010.30,0.00,31.23,68,1009.86,31.3,3.7,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.7,09-18-2019,10:00:00,4.40,000,1011.19,3.40,33.08,88,999.88,28.0,0.0,7.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,25.7,09-18-2019,10:00:00,0.00,350,1010.50,0.00,33.07,70,1009.50,31.9,3.7,12.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.7,09-18-2019,10:00:00,0.50,000,1010.54,0.00,31.10,66,1008.74,31.8,0.0,8.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.7,09-18-2019,10:00:00,0.00,000,1010.12,0.00,33.02,71,1009.36,31.6,0.0,9.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.1,09-18-2019,10:00:00,18.40,340,1010.53,0.00,30.03,71,1009.83,30.0,5.6,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.3,09-18-2019,10:00:00,0.30,270,1010.06,0.00,32.26,71,1009.36,31.1,5.6,8.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.5,09-18-2019,10:00:00,0.00,010,1010.04,0.00,30.73,68,989.11,31.2,5.6,12.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.4,09-18-2019,10:00:00,0.00,020,1010.00,0.00,30.49,69,993.45,30.8,9.3,10.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,22.9,09-18-2019,10:00:00,0.00,050,1010.63,0.00,27.93,61,994.37,31.2,13.0,12.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.6,09-18-2019,10:00:00,0.20,330,1009.64,0.00,30.90,69,988.02,31.0,14.8,10.00
