WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,RelativeHumidity,Rainfall,MeanSeaLevelPressure,StationPressure,DewPoint,Rainfall24Hr,AirTemperature,LandVisibility,VaporPressure,WindDirection,WindSpeed
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,23.8,09-11-2019,07:00:00,96,1.60,1011.32,993.47,24.3,22.30,25.0,7.00,30.32,210,3.7
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.6,09-11-2019,07:00:00,99,2.50,1012.59,996.24,24.8,8.80,25.0,7.00,31.39,140,5.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.5,09-11-2019,07:00:00,94,1.40,1013.41,999.19,24.0,5.20,25.0,10.00,29.79,120,5.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,23.6,09-11-2019,07:00:00,96,0.00,1013.72,998.67,23.8,6.40,24.5,6.00,29.41,000,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,23.5,09-11-2019,07:00:00,97,0.50,1013.05,998.22,25.1,8.00,25.5,6.00,31.79,000,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.1,09-11-2019,07:00:00,85,0.00,1011.37,1008.33,23.5,0.00,26.3,10.00,28.98,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.4,09-11-2019,07:00:00,94,0.00,1012.13,1004.08,24.0,36.60,25.0,7.00,29.79,000,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.6,09-11-2019,07:00:00,90,0.00,1012.19,1011.08,24.5,0.50,26.2,7.00,30.67,150,9.3
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.5,09-11-2019,07:00:00,83,0.00,1012.24,997.38,22.0,35.50,25.0,8.00,26.43,000,0.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.3,09-11-2019,07:00:00,97,0.10,1012.38,1006.44,24.8,6.70,25.4,8.00,31.33,000,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.5,09-11-2019,07:00:00,97,0.00,1012.26,1011.45,25.1,29.40,25.5,8.00,31.79,000,0.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,26.7,09-11-2019,07:00:00,90,0.00,1012.01,1011.56,25.4,0.00,27.1,10.00,32.41,120,5.6
