WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,RelativeHumidity,DewPoint,AirTemperature,Rainfall,MeanSeaLevelPressure,LandVisibility,StationPressure,WindSpeed,WindDirection,VaporPressure
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,20.20,10-08-2019,04:00:00,95,19.7,20.5,0.00,1011.78,8.00,993.92,0.0,000,22.95
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-08-2019,04:00:00,97,24.1,24.5,0.00,1010.30,9.00,984.24,0.0,000,29.93
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-08-2019,04:00:00,94,24.5,25.5,0.00,1010.10,7.00,1004.26,3.7,300,30.71
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-08-2019,04:00:00,97,25.1,25.5,0.00,1009.87,4.00,1003.63,0.0,000,31.79
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-08-2019,04:00:00,87,21.2,23.5,0.00,1012.29,10.00,995.57,0.0,000,25.19
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-08-2019,04:00:00,91,21.4,22.9,0.00,1009.26,8.00,986.59,0.0,000,25.44
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.60,10-08-2019,04:00:00,94,22.0,23.1,0.40,1011.31,7.00,996.68,0.0,000,26.50
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-08-2019,04:00:00,95,21.7,22.6,0.00,1011.22,7.00,994.53,0.0,000,25.93
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1.00,10-08-2019,04:00:00,92,22.6,23.9,0.00,1010.80,10.00,1005.50,3.7,050,27.34
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-08-2019,04:00:00,88,23.0,25.1,0.00,1009.11,10.00,995.81,0.0,000,28.14
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.20,10-08-2019,04:00:00,96,22.7,23.3,0.01,1010.45,10.00,1000.98,5.6,310,27.58
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-08-2019,04:00:00,94,23.2,24.2,0.00,1009.68,8.00,987.74,0.0,000,28.36
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-08-2019,04:00:00,88,22.8,25.0,0.00,1010.59,8.00,992.91,0.0,000,27.70
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.60,10-08-2019,04:00:00,88,23.3,25.5,0.00,1009.95,10.00,993.99,0.0,000,28.59
