WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,WindSpeed,VaporPressure,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,RelativeHumidity,LandVisibility,AirTemperature
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1002.09,10-09-2019,22:00:00,23.7,0.0,29.31,000,52.80,1012.93,0.00,97,7.00,24.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1010.29,10-09-2019,22:00:00,23.8,0.0,29.50,000,0.00,1012.24,0.00,88,9.00,26.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,990.96,10-09-2019,22:00:00,24.0,0.0,29.85,000,0.00,1011.90,0.00,83,10.00,27.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,993.76,10-09-2019,22:00:00,23.9,5.6,29.74,120,0.00,1011.44,0.00,79,10.00,28.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,995.20,10-09-2019,22:00:00,23.9,0.0,29.74,000,0.00,1011.32,0.00,74,10.00,29.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,997.58,10-09-2019,22:00:00,22.6,5.6,27.40,220,0.00,1011.72,0.00,82,10.00,26.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,997.30,10-09-2019,22:00:00,23.5,0.0,28.90,000,2.80,1012.31,0.00,92,9.00,24.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,998.07,10-09-2019,22:00:00,24.2,0.0,30.23,000,0.60,1012.92,0.60,95,6.00,25.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1008.30,10-09-2019,22:00:00,24.3,0.0,30.32,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.70,1011.35,0.00,96,8.00,25.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1003.79,10-09-2019,22:00:00,23.6,0.0,29.08,000,14.40,1011.84,0.20,92,7.00,24.9
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1010.31,10-09-2019,22:00:00,24.0,0.0,29.76,000,0.00,1011.42,0.00,89,8.00,26.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,996.37,10-09-2019,22:00:00,25.0,3.7,31.59,090,0.00,1011.06,0.00,83,8.00,28.1
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,876.92,10-09-2019,22:00:00,17.8,5.6,20.43,160,38.80,1012.52,0.00,89,8.00,19.8
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1005.93,10-09-2019,22:00:00,24.6,0.0,30.96,000,18.90,1011.87,0.00,97,8.00,25.2
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1011.20,10-09-2019,22:00:00,25.4,3.7,32.36,010,0.00,1012.00,0.00,88,7.00,27.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1012.05,10-09-2019,22:00:00,25.8,0.0,33.20,000,0.70,1012.49,0.00,83,10.00,28.9
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1000.90,10-09-2019,22:00:00,25.1,0.0,31.96,000,2.70,1012.29,0.00,93,5.00,26.3
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1010.87,10-09-2019,22:00:00,24.1,0.0,29.96,000,0.00,1011.88,0.00,82,6.00,27.4
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1009.91,10-09-2019,22:00:00,24.6,0.0,30.87,000,20.60,1011.75,0.00,96,7.00,25.3
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1010.87,10-09-2019,22:00:00,23.2,0.0,28.34,000,0.00,1011.64,0.00,85,8.00,25.8
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1010.29,10-09-2019,22:00:00,24.9,3.7,31.47,230,0.60,1010.99,0.00,84,10.00,27.9
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1010.32,10-09-2019,22:00:00,25.5,0.0,32.64,000,10.30,1011.02,0.00,89,8.00,27.5
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,990.67,10-09-2019,22:00:00,23.3,0.0,28.69,000,0.00,1012.02,0.00,87,8.00,25.7
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,995.11,10-09-2019,22:00:00,24.6,0.0,30.84,000,0.00,1011.96,0.00,92,7.00,26.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,995.98,10-09-2019,22:00:00,24.4,0.0,30.58,000,5.60,1012.61,0.00,97,7.00,25.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,989.93,10-09-2019,22:00:00,22.8,0.0,27.68,000,8.50,1012.11,0.00,92,8.00,24.1
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,968.54,10-09-2019,22:00:00,22.6,0.0,27.42,000,0.40,1012.47,0.00,93,7.00,23.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,991.23,10-09-2019,22:00:00,22.4,0.0,27.09,000,50.30,1012.08,0.00,90,10.00,24.2
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,992.46,10-09-2019,22:00:00,25.3,9.3,32.23,220,0.00,1013.53,0.00,100,8.00,25.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1010.84,10-09-2019,22:00:00,25.8,0.0,33.25,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,1011.27,0.00,79,10.00,29.9
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1009.55,10-09-2019,22:00:00,24.5,0.0,30.71,000,5.20,1010.98,0.00,94,8.00,25.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1006.27,10-09-2019,22:00:00,25.4,0.0,32.35,000,0.00,1011.23,0.00,93,7.00,26.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1008.45,10-09-2019,22:00:00,23.5,0.0,29.00,000,63.80,1011.78,63.80,92,10.00,25.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1010.71,10-09-2019,22:00:00,25.5,3.7,32.66,300,0.00,1011.82,0.00,93,10.00,26.8
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1010.93,10-09-2019,22:00:00,25.4,0.0,32.45,000,13.20,1011.23,0.00,89,10.00,27.4
