WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,DewPoint,VaporPressure,AirTemperature,Rainfall,LandVisibility,Rainfall24Hr,RelativeHumidity,StationPressure,WindSpeed
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.85,08-04-2019,10:00:00,230,22.5,27.28,30.0,0.01,9.00,0.30,64,1005.41,20.4
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1006.25,08-04-2019,10:00:00,000,24.6,30.84,26.0,0.40,4.00,25.00,92,994.92,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1005.48,08-04-2019,10:00:00,210,23.2,28.39,28.0,0.00,12.00,1.00,75,1004.47,7.4
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.24,08-04-2019,10:00:00,220,22.3,26.86,27.6,0.00,8.00,0.50,73,1003.42,7.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.19,08-04-2019,10:00:00,000,22.5,27.18,28.5,0.00,8.00,4.00,70,1004.43,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1006.18,08-04-2019,10:00:00,260,21.6,25.85,28.2,0.00,10.00,0.01,68,1005.48,14.8
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.65,08-04-2019,10:00:00,240,22.5,27.33,30.6,0.00,7.00,0.00,62,1004.96,11.1
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1003.89,08-04-2019,10:00:00,250,22.0,26.40,28.8,0.00,10.00,0.10,67,982.93,7.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1003.84,08-04-2019,10:00:00,220,22.8,27.67,29.2,0.00,11.00,0.00,68,987.30,9.3
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1004.30,08-04-2019,10:00:00,210,22.8,27.67,29.2,0.00,9.00,0.10,68,988.04,5.6
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1003.64,08-04-2019,10:00:00,280,20.3,23.76,29.5,0.00,10.00,0.01,58,982.04,9.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1004.74,08-04-2019,10:00:00,240,20.2,23.63,26.9,0.00,15.00,0.30,67,961.59,24.1
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1003.58,08-04-2019,10:00:00,210,20.8,24.48,30.5,0.00,10.00,0.00,56,983.33,13.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1005.00,08-04-2019,10:00:00,250,23.0,28.15,29.6,0.00,9.00,0.00,68,984.40,20.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.65,08-04-2019,10:00:00,250,23.5,28.94,27.0,0.20,9.00,1.50,81,1005.22,9.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.24,08-04-2019,10:00:00,240,23.2,28.37,29.0,0.00,10.00,0.10,71,1003.83,5.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1005.14,08-04-2019,10:00:00,240,22.6,27.47,30.1,0.00,10.00,0.00,64,1000.27,14.8
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1005.50,08-04-2019,10:00:00,290,23.4,28.69,27.3,0.01,12.00,6.10,79,1002.21,5.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.73,08-04-2019,10:00:00,250,24.2,30.26,26.7,0.20,6.00,3.30,86,1004.62,3.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.05,08-04-2019,10:00:00,300,22.9,27.95,28.2,0.10,8.00,0.50,73,1005.76,7.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1006.32,08-04-2019,10:00:00,000,23.5,29.02,29.2,0.00,10.00,0.80,72,1005.64,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.11,08-04-2019,10:00:00,300,23.4,28.78,28.5,0.00,10.00,0.50,74,1005.63,7.4
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.13,08-04-2019,10:00:00,250,23.1,28.22,28.2,0.00,10.00,0.60,74,1004.72,20.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1006.20,08-04-2019,10:00:00,260,23.0,28.04,30.4,0.00,10.00,0.00,65,1004.54,16.7
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1007.23,08-04-2019,10:00:00,230,22.6,27.39,30.2,0.00,10.00,0.00,64,999.31,14.8
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.93,08-04-2019,10:00:00,270,25.0,31.72,30.0,0.01,10.00,0.01,75,1005.65,7.4
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.08,08-04-2019,10:00:00,250,23.2,28.37,29.0,0.20,10.00,1.30,71,1002.98,7.4
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1006.50,08-04-2019,10:00:00,270,22.6,27.44,28.5,0.00,10.00,0.40,71,999.59,11.1
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1005.14,08-04-2019,10:00:00,330,21.8,26.17,30.7,0.00,7.00,0.00,59,999.62,9.3
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1007.15,08-04-2019,10:00:00,290,22.9,27.83,29.0,0.10,12.00,0.20,70,997.90,24.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1006.47,08-04-2019,10:00:00,000,24.6,30.86,26.3,0.01,8.00,2.90,90,1005.20,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.01,08-04-2019,10:00:00,270,22.8,27.73,27.5,0.00,11.00,2.70,76,1005.58,16.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1006.52,08-04-2019,10:00:00,000,23.2,28.36,26.1,0.20,8.00,4.40,84,994.24,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1006.33,08-04-2019,10:00:00,260,24.2,30.26,27.7,0.10,10.00,1.40,81,1005.61,5.6
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.44,08-04-2019,10:00:00,270,23.2,28.51,28.5,0.01,10.00,0.01,73,1004.02,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.63,08-04-2019,10:00:00,280,24.4,30.59,30.0,0.01,9.00,0.01,72,1006.12,7.4
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1006.37,08-04-2019,10:00:00,250,23.0,28.04,29.4,0.01,10.00,0.01,68,1001.26,13.0
