WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,StationPressure,VaporPressure,DewPoint,MeanSeaLevelPressure,Rainfall,WindDirection,WindSpeed,RelativeHumidity,AirTemperature,Rainfall24Hr
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10.00,08-27-2019,10:00:00,1009.91,28.42,23.2,1011.28,4.40,320,3.7,86,25.7,8.40
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,08-27-2019,10:00:00,1010.38,32.36,25.4,1011.27,0.40,270,9.3,88,27.5,60.40
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,08-27-2019,10:00:00,1007.99,30.23,24.2,1011.56,0.00,000,0.0,83,27.4,7.30
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,08-27-2019,10:00:00,1010.89,29.74,23.9,1011.33,0.00,270,9.3,74,29.0,9.40
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,9.00,08-27-2019,10:00:00,1009.90,30.13,24.2,1010.89,0.01,250,5.6,74,29.2,0.01
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,08-27-2019,10:00:00,1010.71,31.64,25.0,1011.52,1.00,270,24.1,85,27.7,1.40
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,12.00,08-27-2019,10:00:00,1009.75,28.78,23.4,1011.57,2.90,000,0.0,80,27.2,9.90
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,08-27-2019,10:00:00,1010.21,27.60,22.7,1010.96,2.20,240,7.4,79,26.7,2.20
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,08-27-2019,10:00:00,1007.48,30.48,24.4,1011.49,5.00,250,5.6,85,27.1,17.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,08-27-2019,10:00:00,1011.29,30.01,24.1,1011.98,0.60,000,0.0,91,25.7,0.60
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,08-27-2019,10:00:00,1010.06,28.94,23.5,1011.18,30.00,300,5.6,81,27.0,30.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,9.00,08-27-2019,10:00:00,1008.71,31.82,25.1,1011.65,3.70,310,3.7,90,26.8,9.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,9.00,08-27-2019,10:00:00,1010.41,28.73,23.4,1011.10,0.30,300,20.4,86,26.0,15.80
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,10.00,08-27-2019,10:00:00,1007.23,31.93,25.1,1011.34,0.00,220,5.6,78,29.4,7.20
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,08-27-2019,10:00:00,1010.51,27.55,22.7,1011.10,0.00,250,9.3,65,30.0,13.80
