WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindDirection,Rainfall24Hr,DewPoint,AirTemperature,RelativeHumidity,Rainfall,VaporPressure,WindSpeed,LandVisibility,MeanSeaLevelPressure
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1001.85,09-21-2019,04:00:00,000,14.00,24.8,25.5,96,0.00,31.25,0.0,10.00,1008.07
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,992.30,09-21-2019,04:00:00,000,6.30,24.2,24.8,97,0.00,30.22,0.0,8.00,1008.89
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,984.10,09-21-2019,04:00:00,000,8.30,23.8,24.5,96,0.00,29.41,0.0,10.00,1006.59
48376,TAK,ตาก,ตาก,16.87833,99.14333,994.54,09-21-2019,04:00:00,000,8.20,24.4,25.0,97,0.00,30.58,0.0,7.00,1009.05
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,990.90,09-21-2019,04:00:00,000,35.50,22.8,23.5,96,0.00,27.66,0.0,7.00,1007.48
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1003.11,09-21-2019,04:00:00,110,13.90,24.9,25.9,94,0.00,31.46,5.6,10.00,1008.37
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,993.88,09-21-2019,04:00:00,000,22.50,24.3,25.0,96,0.00,30.32,0.0,10.00,1007.17
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,999.17,09-21-2019,04:00:00,000,24.00,25.3,25.7,97,0.00,32.18,0.0,10.00,1008.54
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,987.11,09-21-2019,04:00:00,000,2.50,23.8,24.5,96,0.90,29.41,0.0,8.00,1009.01
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,991.45,09-21-2019,04:00:00,000,9.50,24.5,24.5,100,1.10,30.73,0.0,8.00,1009.13
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,992.26,09-21-2019,04:00:00,000,7.20,23.5,25.0,92,0.00,29.00,0.0,10.00,1008.22
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,988.92,09-21-2019,04:00:00,000,30.70,23.9,24.5,97,1.90,29.67,0.0,8.00,1007.97
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,957.05,09-21-2019,04:00:00,000,13.60,21.3,22.8,91,0.00,25.28,0.0,5.00,1008.84
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1004.02,09-21-2019,04:00:00,000,4.30,25.8,26.5,96,0.50,33.19,0.0,5.00,1007.99
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,913.43,09-21-2019,04:00:00,070,3.70,20.3,21.1,95,0.00,23.83,7.4,6.00,1008.82
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,992.61,09-21-2019,04:00:00,000,18.80,22.9,23.6,96,8.50,27.83,0.0,5.00,1008.81
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1004.12,09-21-2019,04:00:00,350,1.00,25.4,25.8,97,0.60,32.37,1.9,9.00,1008.18
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,997.73,09-21-2019,04:00:00,000,18.90,24.5,25.2,96,2.20,30.69,0.0,4.00,1008.48
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1006.35,09-21-2019,04:00:00,300,6.60,24.1,25.4,92,6.20,29.99,3.7,6.00,1008.30
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,987.46,09-21-2019,04:00:00,000,23.40,23.3,24.2,95,1.50,28.62,0.0,10.00,1008.55
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,990.46,09-21-2019,04:00:00,000,62.70,24.3,25.0,96,3.60,30.32,0.0,10.00,1008.26
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,991.64,09-21-2019,04:00:00,000,51.80,24.7,24.9,99,2.40,31.20,0.0,10.00,1007.93
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,993.91,09-21-2019,04:00:00,070,53.10,24.1,24.7,97,6.40,30.03,7.4,10.00,1008.06
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,994.16,09-21-2019,04:00:00,000,73.50,24.0,24.3,98,3.00,29.84,0.0,9.00,1009.15
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,993.15,09-21-2019,04:00:00,040,37.40,24.7,25.0,98,22.80,31.12,7.4,4.00,1007.93
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1005.02,09-21-2019,04:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",3.40,24.9,25.8,95,3.20,31.55,0.0,7.00,1008.06
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,999.64,09-21-2019,04:00:00,000,8.90,24.3,25.2,95,0.40,30.42,0.0,7.00,1007.64
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.61,09-21-2019,04:00:00,110,0.10,24.8,27.0,88,0.00,31.38,5.6,6.00,1007.72
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,992.26,09-21-2019,04:00:00,000,14.70,23.5,25.0,92,0.00,29.00,0.0,8.00,1007.04
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,874.15,09-21-2019,04:00:00,000,18.20,19.0,19.0,100,0.00,21.95,0.0,.10,1009.71
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1002.39,09-21-2019,04:00:00,080,5.20,23.6,24.9,92,3.80,29.08,3.7,7.00,1008.32
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.95,09-21-2019,04:00:00,000,18.10,25.2,25.8,97,0.40,32.09,0.0,7.00,1007.76
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1006.63,09-21-2019,04:00:00,000,36.70,24.1,25.4,92,35.30,29.99,0.0,8.00,1007.08
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,996.55,09-21-2019,04:00:00,000,49.20,23.8,24.2,97,0.00,29.39,0.0,3.00,1007.97
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1007.00,09-21-2019,04:00:00,000,11.70,25.4,25.7,98,0.20,32.45,0.0,7.00,1008.02
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.93,09-21-2019,04:00:00,000,2.50,24.9,25.6,96,0.90,31.44,0.0,7.00,1007.77
