WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,AirTemperature,VaporPressure,WindDirection,MeanSeaLevelPressure,LandVisibility,Rainfall24Hr,Rainfall,WindSpeed,MaximumTemperature,StationPressure
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,72,07-12-2019,19:00:00,24.7,30.3,31.19,000,1009.52,10.00,0.00,0.00,0.0,35.4,1009.08
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,82,07-12-2019,19:00:00,24.7,28.1,31.03,000,1009.40,10.00,0.00,0.00,0.0,33.8,1008.41
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,86,07-12-2019,19:00:00,24.2,26.7,30.26,000,1009.72,10.00,0.01,0.01,0.0,33.0,1008.90
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,89,07-12-2019,19:00:00,24.1,26.0,30.03,000,1010.25,10.00,9.50,0.50,0.0,33.8,1008.43
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,80,07-12-2019,19:00:00,22.8,26.5,27.77,000,1010.72,10.00,0.00,0.00,0.0,32.3,1009.96
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,95,07-12-2019,19:00:00,23.6,24.5,29.15,260,1010.83,9.00,1.40,0.00,3.7,33.2,1006.79
48570,SATUN,สตูล,สตูล,6.65000,100.08333,92,07-12-2019,19:00:00,23.4,24.7,28.72,000,1010.22,10.00,9.50,0.40,0.0,32.2,1009.53
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,97,07-12-2019,19:00:00,23.6,24.2,29.13,000,1011.19,10.00,22.80,0.00,0.0,32.7,1010.06
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,95,07-12-2019,19:00:00,24.1,25.0,30.05,000,1011.18,10.00,19.50,0.01,0.0,31.7,1008.23
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,85,07-12-2019,19:00:00,23.4,26.0,28.70,000,1010.98,7.00,0.00,0.00,0.0,34.2,1010.28
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,91,07-12-2019,19:00:00,22.6,24.2,27.34,000,1011.66,8.00,3.80,0.00,0.0,33.8,1007.48
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,77,07-12-2019,19:00:00,22.0,26.5,26.47,000,1011.68,10.00,0.70,0.00,0.0,33.5,1011.09
