WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,VaporPressure,WindSpeed,StationPressure,AirTemperature,DewPoint,RelativeHumidity,WindDirection,MeanSeaLevelPressure,MaximumTemperature,LandVisibility
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.01,07-25-2019,19:00:00,0.00,30.56,0.0,1007.70,28.0,24.4,81,000,1008.80,34.3,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1.20,07-25-2019,19:00:00,1.00,29.23,3.7,1008.98,26.0,23.7,87,290,1009.28,33.0,7.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,15.30,07-25-2019,19:00:00,15.30,30.07,0.0,1008.45,25.3,24.1,93,000,1009.14,34.1,8.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,11.50,07-25-2019,19:00:00,11.50,30.17,0.0,1008.61,25.5,24.2,93,000,1009.10,34.3,8.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.01,07-25-2019,19:00:00,0.01,28.90,11.1,1008.30,26.4,23.5,84,200,1009.71,33.1,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.40,07-25-2019,19:00:00,0.00,34.07,3.7,1007.23,28.9,26.2,86,310,1008.91,30.3,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,14.00,07-25-2019,19:00:00,0.00,31.08,0.0,1002.27,25.7,24.7,94,000,1010.34,30.5,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,4.10,07-25-2019,19:00:00,0.00,32.13,3.7,1008.52,29.5,25.2,78,340,1008.80,31.0,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,2.00,07-25-2019,19:00:00,0.00,29.71,0.0,1005.85,29.7,23.9,71,000,1008.96,31.0,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.40,07-25-2019,19:00:00,0.01,27.30,7.4,1002.40,29.0,22.5,68,210,1009.31,32.5,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10.80,07-25-2019,19:00:00,0.01,30.43,0.0,1003.84,26.5,24.3,88,000,1009.46,32.5,7.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1.00,07-25-2019,19:00:00,0.00,28.56,20.4,1000.72,29.1,23.3,71,240,1009.99,33.7,8.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,5.90,07-25-2019,19:00:00,0.00,32.53,0.0,1008.62,27.3,25.4,90,000,1009.88,32.2,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.30,07-25-2019,19:00:00,0.00,23.93,5.6,1008.42,29.6,20.4,58,220,1008.85,33.1,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.50,07-25-2019,19:00:00,0.00,23.81,0.0,997.08,28.2,20.3,62,000,1009.32,32.1,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,12.20,07-25-2019,19:00:00,0.00,26.32,0.0,1008.42,28.9,21.9,66,000,1009.13,33.0,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.40,07-25-2019,19:00:00,0.01,29.49,11.1,1007.65,29.3,23.8,72,190,1010.07,33.7,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,11.20,07-25-2019,19:00:00,0.01,31.69,9.3,1008.72,29.0,25.0,79,240,1009.23,31.5,7.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.30,07-25-2019,19:00:00,0.01,30.42,0.0,1004.22,28.5,24.3,78,000,1009.36,33.4,10.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,58.30,07-25-2019,19:00:00,9.90,32.01,0.0,1009.58,25.9,25.2,96,000,1010.00,31.5,5.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,104.60,07-25-2019,19:00:00,42.50,30.58,0.0,1007.60,25.0,24.4,97,000,1010.39,29.8,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-25-2019,19:00:00,0.00,26.13,3.7,1008.79,28.5,21.8,67,350,1009.57,33.0,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.30,07-25-2019,19:00:00,3.20,27.70,5.6,1010.68,25.0,22.8,88,080,1011.14,30.5,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,3.90,07-25-2019,19:00:00,0.70,28.11,3.7,1008.85,24.5,23.0,91,310,1009.54,30.1,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,4.20,07-25-2019,19:00:00,0.00,32.30,0.0,1008.03,26.9,25.3,91,000,1009.56,31.8,6.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,07-25-2019,19:00:00,0.00,32.55,0.0,1009.38,29.0,25.5,81,000,1010.30,32.5,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-25-2019,19:00:00,0.00,31.93,0.0,1009.48,29.4,25.1,78,000,1010.17,33.4,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-25-2019,19:00:00,0.00,31.09,0.0,1009.22,28.7,24.7,79,000,1010.01,34.8,9.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-25-2019,19:00:00,0.00,32.55,0.0,1009.29,29.0,25.5,81,000,1009.93,31.5,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-25-2019,19:00:00,0.00,32.83,0.0,1009.76,29.0,25.6,82,000,1010.17,31.9,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-25-2019,19:00:00,0.00,28.10,0.0,1007.51,27.7,23.0,76,000,1011.73,33.0,7.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-25-2019,19:00:00,0.00,33.25,0.0,1008.53,27.8,25.8,89,000,1010.14,31.4,12.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-25-2019,19:00:00,0.00,32.93,0.0,1006.84,27.5,25.7,90,000,1010.32,34.0,10.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-25-2019,19:00:00,0.00,31.18,0.0,1008.38,28.6,24.7,80,000,1009.73,32.3,7.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,07-25-2019,19:00:00,0.00,32.14,0.0,1009.07,28.8,25.2,81,000,1009.95,32.4,10.00
