WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,WindDirection,DewPoint,LandVisibility,Rainfall,VaporPressure,WindSpeed,RelativeHumidity,StationPressure,MeanSeaLevelPressure
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,34.4,10-02-2019,13:00:00,0.00,120,23.3,8.00,0.00,28.67,9.3,53,987.72,1008.93
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,34.7,10-02-2019,13:00:00,0.00,030,23.4,10.00,0.00,28.71,1.9,52,992.33,1009.44
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,33.8,10-02-2019,13:00:00,0.00,090,21.9,12.00,0.00,26.34,3.7,50,993.16,1008.67
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,35.0,10-02-2019,13:00:00,0.00,020,26.3,8.00,0.00,34.15,9.3,61,989.63,1008.05
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,30.3,10-02-2019,13:00:00,16.70,000,21.2,11.00,0.00,25.17,0.0,58,958.98,1009.58
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,33.8,10-02-2019,13:00:00,0.00,080,25.7,4.00,0.00,33.00,3.7,63,1005.40,1009.28
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,28.4,10-02-2019,13:00:00,0.00,210,21.2,8.00,0.00,25.17,7.4,65,915.91,1009.15
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,33.0,10-02-2019,13:00:00,0.00,000,25.3,10.00,0.00,32.16,0.0,64,993.57,1009.28
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,33.8,10-02-2019,13:00:00,0.00,240,26.5,7.00,0.00,34.53,3.7,66,1005.36,1009.31
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,33.7,10-02-2019,13:00:00,0.30,230,25.3,8.00,0.00,32.18,3.7,62,999.36,1009.83
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,33.5,10-02-2019,13:00:00,0.40,000,25.5,14.00,0.00,32.65,0.0,63,1007.81,1009.70
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,33.8,10-02-2019,13:00:00,0.00,130,23.5,8.00,0.00,28.88,3.7,55,988.38,1008.81
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,33.0,10-02-2019,13:00:00,0.00,000,24.2,10.00,0.00,30.11,0.0,60,992.06,1009.42
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,33.5,10-02-2019,13:00:00,0.00,180,23.4,10.00,0.00,28.84,5.6,56,993.33,1009.18
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,32.0,10-02-2019,13:00:00,0.00,000,22.0,9.00,0.00,26.45,0.0,56,995.72,1009.56
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,33.4,10-02-2019,13:00:00,0.00,000,22.7,10.00,0.00,27.51,0.0,53,995.83,1010.39
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,34.5,10-02-2019,13:00:00,0.00,240,25.9,10.00,0.00,33.34,7.4,61,995.12,1009.46
