WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,WindDirection,StationPressure,LandVisibility,AirTemperature,Rainfall,Rainfall24Hr,VaporPressure,DewPoint,RelativeHumidity,WindSpeed
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,08-24-2019,16:00:00,1008.85,270,1008.41,10.00,28.6,0.20,4.20,28.16,23.0,72,14.8
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,08-24-2019,16:00:00,1008.76,320,1007.77,8.00,28.0,1.30,25.80,30.56,24.4,81,3.7
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,08-24-2019,16:00:00,1009.21,100,1008.40,10.00,28.5,0.00,13.40,31.82,25.1,82,14.8
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,08-24-2019,16:00:00,1009.58,000,1007.75,9.00,25.5,2.60,2.80,29.91,24.0,92,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,08-24-2019,16:00:00,1008.15,220,1007.41,12.00,30.7,0.00,0.00,26.97,22.3,61,14.8
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,08-24-2019,16:00:00,1008.89,240,1004.91,10.00,28.7,0.01,2.60,28.62,23.3,73,9.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,08-24-2019,16:00:00,1009.70,000,1009.02,10.00,29.0,0.00,7.70,31.13,24.7,78,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,08-24-2019,16:00:00,1008.41,270,1007.30,10.00,29.2,1.20,3.00,28.21,23.1,70,14.8
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,08-24-2019,16:00:00,1009.07,310,1006.18,10.00,30.0,0.01,7.90,30.87,24.6,73,5.6
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,08-24-2019,16:00:00,1007.66,240,1006.98,12.00,29.3,0.00,3.10,32.30,25.3,79,9.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,08-24-2019,16:00:00,1008.62,000,1004.51,10.00,28.5,0.00,6.00,28.51,23.2,73,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,08-24-2019,16:00:00,1008.46,290,1007.88,6.00,30.3,2.00,2.00,30.06,24.1,70,9.3
