WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,DewPoint,Rainfall,StationPressure,WindDirection,VaporPressure,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,LandVisibility
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,07-14-2019,13:00:00,34.5,22.1,0.00,974.08,000,26.60,0.00,49,1003.07,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,07-14-2019,13:00:00,33.6,22.6,0.00,969.48,000,27.34,0.00,53,1004.03,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,9.3,07-14-2019,13:00:00,38.0,23.8,0.00,973.45,260,29.54,0.00,45,1001.92,17.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,7.4,07-14-2019,13:00:00,35.1,22.7,0.00,998.25,240,27.52,4.40,49,1005.35,12.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,11.1,07-14-2019,13:00:00,35.0,24.5,0.00,983.76,210,30.81,0.00,55,1003.06,18.00
48353,LOEI,เลย,เลย,17.45000,101.73333,11.1,07-14-2019,13:00:00,37.0,20.4,0.00,975.34,280,23.99,0.00,38,1002.93,17.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,9.3,07-14-2019,13:00:00,34.0,23.5,0.00,983.90,220,29.00,0.00,55,1003.53,18.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,7.4,07-14-2019,13:00:00,34.0,24.0,0.00,983.19,250,29.87,0.00,56,1004.35,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,11.1,07-14-2019,13:00:00,34.0,23.5,0.00,984.41,280,29.00,0.00,55,1003.38,15.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,3.7,07-14-2019,13:00:00,32.7,25.4,0.00,987.98,240,32.41,0.00,66,1004.37,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,07-14-2019,13:00:00,31.5,25.1,0.00,987.45,000,31.93,0.30,69,1004.55,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,3.7,07-14-2019,13:00:00,34.5,23.0,0.00,977.45,050,28.02,0.00,51,1002.47,13.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,5.6,07-14-2019,13:00:00,33.0,23.7,0.00,1000.37,260,29.25,0.00,58,1006.04,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,16.7,07-14-2019,13:00:00,35.0,23.2,0.00,999.38,240,28.47,0.00,51,1005.40,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,9.3,07-14-2019,13:00:00,34.0,21.3,0.00,989.31,240,25.35,0.00,48,1005.35,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,3.7,07-14-2019,13:00:00,27.5,24.3,3.00,984.37,220,30.42,40.70,83,1006.64,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,14.8,07-14-2019,13:00:00,31.5,22.8,0.00,992.79,280,27.68,0.00,60,1006.96,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,11.1,07-14-2019,13:00:00,30.8,22.9,0.00,990.03,280,27.98,0.00,63,1006.20,12.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,9.3,07-14-2019,13:00:00,33.6,22.6,0.00,1000.25,260,27.34,0.00,53,1005.36,12.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,3.7,07-14-2019,13:00:00,34.0,24.8,0.00,991.25,190,31.34,0.00,59,1004.11,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,5.6,07-14-2019,13:00:00,33.6,22.2,0.00,996.51,280,26.78,0.00,51,1005.62,12.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,9.3,07-14-2019,13:00:00,34.0,21.3,0.00,982.81,240,25.35,0.00,48,1003.94,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,11.1,07-14-2019,13:00:00,36.0,22.2,0.00,987.33,280,26.78,0.00,45,1004.28,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,3.7,07-14-2019,13:00:00,34.0,24.8,0.00,987.95,110,31.34,0.00,59,1003.37,12.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,5.6,07-14-2019,13:00:00,36.0,23.1,0.00,984.57,270,28.22,0.00,48,1002.83,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,07-14-2019,13:00:00,26.5,22.8,1.20,956.95,000,27.77,11.90,80,1008.09,11.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,07-14-2019,13:00:00,32.6,24.2,0.00,1002.10,000,30.16,0.70,61,1005.98,10.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,25.9,07-14-2019,13:00:00,23.0,21.5,0.40,912.96,230,25.60,4.90,91,1007.66,6.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,07-14-2019,13:00:00,36.7,22.7,0.00,988.28,000,27.65,0.00,45,1003.71,10.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,07-14-2019,13:00:00,34.2,24.7,0.00,1002.21,000,31.17,0.01,58,1006.15,12.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.4,07-14-2019,13:00:00,33.6,23.2,0.00,996.78,280,28.47,0.00,55,1007.22,10.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,3.7,07-14-2019,13:00:00,32.5,23.1,0.00,1005.03,150,28.25,0.00,58,1006.93,10.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,9.3,07-14-2019,13:00:00,35.0,21.0,0.00,984.21,230,24.80,0.00,44,1004.49,12.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,9.3,07-14-2019,13:00:00,35.5,22.6,0.00,986.39,300,27.48,7.50,48,1003.51,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.0,07-14-2019,13:00:00,36.1,23.9,0.00,987.57,000,29.61,7.50,50,1003.19,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,3.7,07-14-2019,13:00:00,34.5,23.3,0.00,990.56,200,28.59,0.00,52,1004.22,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,5.6,07-14-2019,13:00:00,33.8,23.6,0.00,990.62,200,29.17,0.00,55,1005.10,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,11.1,07-14-2019,13:00:00,34.5,24.6,0.00,989.76,240,30.93,1.60,57,1004.03,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,07-14-2019,13:00:00,35.8,20.5,0.00,1003.02,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.14,0.00,41,1005.95,10.00
