WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,WindSpeed,WindDirection,RelativeHumidity,Rainfall,StationPressure,AirTemperature,VaporPressure,LandVisibility,MeanSeaLevelPressure,MinimumTemperature
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.2,09-01-2019,07:00:00,2.60,5.6,190,91,0.40,1007.01,25.8,30.19,10.00,1007.71,25.1
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.3,09-01-2019,07:00:00,6.30,0.0,000,93,0.90,1007.25,25.6,30.36,7.00,1007.95,24.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.3,09-01-2019,07:00:00,0.10,0.0,000,89,0.00,985.94,25.2,28.57,10.00,1007.23,23.8
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,23.9,09-01-2019,07:00:00,25.30,3.7,220,92,0.00,990.30,25.4,29.72,7.00,1007.11,23.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.7,09-01-2019,07:00:00,11.40,5.6,210,92,0.00,991.00,25.0,29.26,9.00,1007.54,23.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.2,09-01-2019,07:00:00,1.60,0.0,000,94,0.00,985.06,24.2,28.36,10.00,1007.12,23.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.3,09-01-2019,07:00:00,0.00,3.7,230,88,0.00,963.91,24.4,26.93,14.00,1007.53,22.6
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.4,09-01-2019,07:00:00,2.00,7.4,180,97,0.00,986.10,24.0,28.78,10.00,1006.86,23.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.3,09-01-2019,07:00:00,2.20,11.1,210,95,0.00,987.40,25.2,30.42,8.00,1008.36,23.8
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.8,09-01-2019,07:00:00,0.50,18.5,210,87,0.00,1007.08,26.1,29.41,10.00,1007.51,25.5
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.6,09-01-2019,07:00:00,1.50,0.0,000,97,0.00,1006.23,25.0,30.85,6.00,1007.65,24.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.7,09-01-2019,07:00:00,0.00,0.0,000,95,0.00,1002.71,25.6,31.17,7.00,1007.67,25.2
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.8,09-01-2019,07:00:00,0.20,0.0,000,87,0.00,1003.50,26.1,29.41,11.00,1006.81,23.9
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.3,09-01-2019,07:00:00,0.20,0.0,000,96,0.00,1006.29,25.0,30.32,10.00,1007.41,24.5
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.4,09-01-2019,07:00:00,0.01,11.1,220,87,0.01,1007.52,26.7,30.53,10.00,1007.82,25.6
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,24.3,09-01-2019,07:00:00,1.50,0.0,000,84,0.00,1006.95,27.2,30.39,10.00,1007.64,26.8
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.1,09-01-2019,07:00:00,1.70,3.7,270,84,0.00,1006.52,27.0,30.02,10.00,1007.01,24.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.6,09-01-2019,07:00:00,6.60,9.3,190,90,0.01,1006.17,26.3,30.86,10.00,1007.59,25.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,26.9,09-01-2019,07:00:00,0.40,37.0,210,98,0.40,1005.59,27.3,35.39,9.00,1007.27,26.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.4,09-01-2019,07:00:00,1.00,0.0,000,97,1.00,1002.01,24.8,30.48,3.00,1010.10,24.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,24.6,09-01-2019,07:00:00,5.10,3.7,120,92,5.10,1007.81,26.0,30.84,10.00,1008.09,25.0
