WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall,WindSpeed,StationPressure,RelativeHumidity,DewPoint,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,AirTemperature,WindDirection
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,8.00,07-25-2019,22:00:00,0.10,0.0,1010.12,87,24.5,1.30,30.83,1010.42,27.0,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,07-25-2019,22:00:00,0.20,0.0,1009.88,92,24.1,11.70,30.09,1010.38,25.6,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,07-25-2019,22:00:00,0.00,5.6,1009.15,81,23.7,0.01,29.31,1010.56,27.2,210
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,07-25-2019,22:00:00,0.00,0.0,1004.56,97,25.1,12.80,31.79,1012.65,25.5,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,6.00,07-25-2019,22:00:00,2.30,0.0,1010.14,96,26.3,5.90,34.19,1010.43,27.0,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,07-25-2019,22:00:00,0.00,5.6,1007.04,68,22.9,2.00,27.96,1010.16,29.5,230
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,07-25-2019,22:00:00,0.00,5.6,1003.68,61,21.1,0.01,24.95,1010.59,29.3,260
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.00,07-25-2019,22:00:00,0.00,0.0,1005.15,92,24.6,10.40,30.84,1010.78,26.0,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.00,07-25-2019,22:00:00,0.00,0.0,1009.77,91,24.5,5.90,30.76,1011.04,26.1,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,07-25-2019,22:00:00,0.00,5.6,1009.89,67,21.6,0.00,25.77,1010.32,28.3,330
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10.00,07-25-2019,22:00:00,0.00,0.0,998.38,79,21.6,0.50,25.77,1010.74,25.5,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,07-25-2019,22:00:00,0.00,0.0,1009.90,76,23.3,12.20,28.55,1010.62,27.8,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,07-25-2019,22:00:00,0.01,0.0,1008.32,71,23.2,0.40,28.37,1010.74,29.0,000
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,7.00,07-25-2019,22:00:00,0.00,5.6,1010.31,75,24.5,11.20,30.72,1010.82,29.5,310
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10.00,07-25-2019,22:00:00,0.00,0.0,1005.38,82,24.3,0.30,30.45,1010.54,27.8,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,07-25-2019,22:00:00,0.10,0.0,1010.23,95,24.9,57.60,31.55,1010.65,25.8,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,07-25-2019,22:00:00,4.20,7.4,1007.98,97,24.4,108.80,30.48,1010.78,24.8,030
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,07-25-2019,22:00:00,0.00,3.7,1010.43,71,21.9,0.00,26.26,1011.22,27.7,330
48501,TRAD,ตราด,ตราด,11.76667,102.88333,6.00,07-25-2019,22:00:00,0.30,7.4,1010.45,96,23.3,26.60,28.53,1010.92,24.0,080
