WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,DewPoint,MeanSeaLevelPressure,Rainfall,VaporPressure,WindDirection,WindSpeed,RelativeHumidity,StationPressure,LandVisibility
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1.10,08-19-2019,04:00:00,25.6,24.1,1008.00,0.60,30.09,000,0.0,92,991.47,7.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1.40,08-19-2019,04:00:00,24.5,23.8,1007.08,1.20,29.41,000,0.0,96,984.58,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.60,08-19-2019,04:00:00,25.3,24.0,1008.31,0.20,29.80,080,3.7,92,993.83,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-19-2019,04:00:00,26.0,23.8,1006.57,0.00,29.50,000,0.0,88,990.14,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.80,08-19-2019,04:00:00,26.2,24.9,1007.68,0.01,31.49,000,0.0,93,1002.43,8.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.20,08-19-2019,04:00:00,25.7,23.9,1006.18,0.00,29.74,000,0.0,90,992.94,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,3.10,08-19-2019,04:00:00,26.2,25.6,1007.24,0.00,32.87,000,0.0,97,997.89,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.01,08-19-2019,04:00:00,27.2,24.5,1006.58,0.00,30.67,000,0.0,85,984.92,8.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-19-2019,04:00:00,27.0,24.1,1006.77,0.00,30.02,000,0.0,84,989.28,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,08-19-2019,04:00:00,27.5,25.4,1006.27,0.00,32.36,000,0.0,88,990.47,10.00
