WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,Rainfall,AirTemperature,WindSpeed,DewPoint,MeanSeaLevelPressure,RelativeHumidity,WindDirection,VaporPressure,Rainfall24Hr
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.49,09-03-2019,13:00:00,8.00,0.00,28.5,9.3,24.9,1007.01,81,240,31.54,9.80
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1001.30,09-03-2019,13:00:00,10.00,0.00,29.2,5.6,24.6,1006.41,76,230,30.96,12.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.16,09-03-2019,13:00:00,7.00,1.20,27.0,0.0,25.6,1006.57,92,000,32.77,13.30
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1004.14,09-03-2019,13:00:00,8.00,2.30,26.5,0.0,25.1,1006.91,92,000,31.79,30.70
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1005.93,09-03-2019,13:00:00,10.00,0.00,29.7,25.9,23.3,1006.71,69,270,28.61,4.10
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.16,09-03-2019,13:00:00,5.00,25.10,25.0,7.4,23.7,1007.62,92,320,29.26,56.90
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.18,09-03-2019,13:00:00,10.00,0.00,30.7,13.0,23.6,1007.85,66,270,29.17,0.10
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1006.61,09-03-2019,13:00:00,8.00,0.00,30.2,7.4,23.4,1008.12,67,270,28.75,0.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.25,09-03-2019,13:00:00,10.00,0.00,29.7,9.3,24.2,1009.16,73,230,30.27,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.38,09-03-2019,13:00:00,10.00,0.00,29.7,9.3,23.9,1008.06,71,270,29.71,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1007.93,09-03-2019,13:00:00,10.00,0.00,30.0,1.9,27.2,1008.72,85,250,36.14,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.30,09-03-2019,13:00:00,10.00,0.00,32.5,5.6,23.1,1007.92,58,220,28.25,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.02,09-03-2019,13:00:00,10.00,0.00,32.0,11.1,24.5,1008.42,64,250,30.65,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1006.28,09-03-2019,13:00:00,6.00,0.00,29.6,5.6,23.7,1010.47,71,230,29.24,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.73,09-03-2019,13:00:00,10.00,0.00,32.0,0.0,22.7,1009.32,58,000,27.55,8.40
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.48,09-03-2019,13:00:00,8.00,0.00,31.3,5.6,25.2,1008.91,70,270,32.10,0.50
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.26,09-03-2019,13:00:00,10.00,0.00,32.2,5.6,24.0,1008.59,62,240,29.91,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.30,09-03-2019,13:00:00,10.00,0.00,31.2,9.3,26.3,1009.17,75,240,34.24,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.63,09-03-2019,13:00:00,10.00,0.00,29.5,0.0,25.2,1009.16,78,000,32.13,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.43,09-03-2019,13:00:00,10.00,0.00,31.1,5.6,25.0,1008.86,70,300,31.68,0.00
