WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,RelativeHumidity,WindSpeed,MeanSeaLevelPressure,LandVisibility,AirTemperature,VaporPressure,DewPoint,Rainfall24Hr,StationPressure,Rainfall
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,07-20-2019,04:00:00,100,90,5.6,1004.09,7.00,26.6,31.44,24.9,0.00,1000.14,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,07-20-2019,04:00:00,230,94,13.0,1006.04,4.00,21.6,24.36,20.7,0.00,911.07,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,07-20-2019,04:00:00,000,80,0.0,1003.26,5.00,29.2,32.38,25.4,0.00,987.45,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,07-20-2019,04:00:00,000,94,0.0,1003.77,10.00,26.2,32.04,25.2,0.00,999.74,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,07-20-2019,04:00:00,000,87,0.0,1005.37,7.00,25.6,28.51,23.2,0.00,994.66,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,07-20-2019,04:00:00,150,95,3.7,1004.53,7.00,25.6,31.17,24.7,0.00,1002.60,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,07-20-2019,04:00:00,240,74,3.7,1004.52,10.00,27.9,27.67,22.8,0.01,983.78,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,07-20-2019,04:00:00,200,83,13.0,1003.88,10.00,27.3,30.04,24.1,0.00,986.29,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,07-20-2019,04:00:00,150,88,9.3,1003.98,10.00,27.5,32.36,25.4,0.00,987.90,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,07-20-2019,04:00:00,000,83,0.0,1004.69,10.00,26.8,29.37,23.7,0.00,990.68,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,07-20-2019,04:00:00,000,85,0.0,1005.64,10.00,26.4,29.17,23.6,0.00,990.81,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,07-20-2019,04:00:00,200,87,3.7,1004.92,6.00,26.6,30.34,24.3,0.00,990.26,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,07-20-2019,04:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",93,0.0,1003.88,10.00,26.2,31.49,24.9,0.00,1000.86,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,07-20-2019,04:00:00,000,84,0.0,1004.51,7.00,26.8,29.64,23.9,0.00,996.58,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,07-20-2019,04:00:00,110,86,9.3,1005.43,6.00,26.3,29.52,23.8,0.00,1004.32,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,07-20-2019,04:00:00,000,84,0.0,1004.77,8.00,26.0,28.18,23.1,0.00,990.07,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,07-20-2019,04:00:00,190,99,11.1,1005.29,.05,19.8,22.85,19.6,76.80,870.66,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,07-20-2019,04:00:00,000,84,0.0,1004.75,10.00,26.5,29.08,23.6,0.00,998.87,0.00
