WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,RelativeHumidity,AirTemperature,DewPoint,WindDirection,Rainfall,LandVisibility,WindSpeed,MeanSeaLevelPressure,VaporPressure
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,999.64,07-28-2019,10:00:00,0.01,68,30.0,23.5,120,0.00,12.00,3.7,1008.89,28.91
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,986.58,07-28-2019,10:00:00,0.00,61,31.0,22.5,240,0.00,10.00,3.7,1008.00,27.27
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,991.11,07-28-2019,10:00:00,0.00,61,32.0,23.7,000,0.00,10.00,0.0,1008.34,29.22
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,992.01,07-28-2019,10:00:00,0.00,78,29.0,24.7,200,0.00,12.00,7.4,1007.75,31.13
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,988.50,07-28-2019,10:00:00,0.00,66,31.0,23.8,350,0.00,10.00,3.7,1007.13,29.48
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,958.97,07-28-2019,10:00:00,3.80,71,27.8,22.2,000,0.00,12.00,0.0,1009.99,26.70
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1004.37,07-28-2019,10:00:00,0.01,69,31.0,24.6,000,0.00,7.00,0.0,1008.28,30.90
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,914.15,07-28-2019,10:00:00,1.50,73,25.4,20.2,240,0.00,9.00,5.6,1008.18,23.63
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,992.10,07-28-2019,10:00:00,3.80,71,30.0,24.1,220,0.00,10.00,7.4,1007.95,30.03
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1004.58,07-28-2019,10:00:00,0.00,69,31.0,24.6,000,0.00,10.00,0.0,1008.56,30.90
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,998.97,07-28-2019,10:00:00,0.00,57,32.0,22.5,180,0.00,10.00,3.7,1009.50,27.27
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1007.31,07-28-2019,10:00:00,0.00,59,31.6,22.7,000,0.00,14.00,0.0,1009.22,27.60
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,987.43,07-28-2019,10:00:00,0.00,51,32.3,20.8,270,0.00,12.00,14.8,1007.95,24.59
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,990.22,07-28-2019,10:00:00,0.00,68,30.0,23.5,000,0.00,10.00,0.0,1007.72,28.91
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,991.87,07-28-2019,10:00:00,0.00,63,30.2,22.3,000,0.00,10.00,0.0,1007.87,26.85
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,994.72,07-28-2019,10:00:00,2.30,65,30.0,22.7,240,0.00,10.00,11.1,1008.63,27.55
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,994.65,07-28-2019,10:00:00,0.80,69,29.4,23.1,000,0.00,10.00,0.0,1009.39,28.31
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,995.03,07-28-2019,10:00:00,0.00,63,31.0,23.0,290,0.00,10.00,18.5,1009.54,28.09
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1005.40,07-28-2019,10:00:00,0.00,52,32.3,21.2,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,10.00,0.0,1008.37,25.12
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1001.05,07-28-2019,10:00:00,0.00,66,30.8,23.6,000,0.00,10.00,0.0,1008.92,29.09
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1008.52,07-28-2019,10:00:00,0.00,64,31.0,23.3,230,0.00,9.00,7.4,1009.62,28.65
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,994.95,07-28-2019,10:00:00,0.00,58,31.0,21.7,000,0.00,8.00,0.0,1009.48,25.92
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,874.39,07-28-2019,10:00:00,0.00,93,21.5,20.3,290,0.00,7.00,5.6,1008.78,23.74
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1003.15,07-28-2019,10:00:00,0.00,62,31.7,23.5,000,0.00,10.00,0.0,1008.95,28.91
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1008.49,07-28-2019,10:00:00,0.00,63,31.3,23.3,230,0.00,12.00,5.6,1009.28,28.68
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.87,07-28-2019,10:00:00,0.00,68,30.5,24.0,140,0.00,10.00,7.4,1009.32,29.89
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,998.50,07-28-2019,10:00:00,0.00,70,29.2,23.1,000,0.00,10.00,0.0,1009.75,28.21
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.42,07-28-2019,10:00:00,0.00,64,31.0,23.3,000,0.00,12.00,0.0,1009.43,28.65
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1007.38,07-28-2019,10:00:00,0.00,60,31.4,22.8,200,0.00,9.00,3.7,1009.18,27.76
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.57,07-28-2019,10:00:00,0.00,63,30.6,22.7,000,0.00,9.00,0.0,1009.32,27.60
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1008.99,07-28-2019,10:00:00,7.20,75,29.0,24.1,130,0.00,10.00,5.6,1009.69,30.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1008.87,07-28-2019,10:00:00,23.00,89,27.3,25.3,000,0.30,7.00,0.0,1009.57,32.25
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,987.72,07-28-2019,10:00:00,0.00,54,32.0,21.7,270,0.00,11.00,13.0,1008.56,25.91
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,992.37,07-28-2019,10:00:00,7.20,62,31.5,23.2,220,0.00,10.00,7.4,1008.87,28.51
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,992.86,07-28-2019,10:00:00,8.90,41,36.2,20.7,240,0.00,10.00,7.4,1008.83,24.37
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,987.29,07-28-2019,10:00:00,0.10,58,30.6,21.4,290,0.00,10.00,14.8,1008.93,25.45
