WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindDirection,StationPressure,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,RelativeHumidity,VaporPressure,DewPoint,Rainfall,MaximumTemperature,WindSpeed
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,10-04-2019,19:00:00,000,1007.59,1010.38,26.0,4.40,96,32.20,25.3,4.40,32.0,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,10-04-2019,19:00:00,000,1008.10,1008.88,28.5,0.00,81,31.54,24.9,0.00,35.0,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,6.00,10-04-2019,19:00:00,060,1009.35,1009.82,24.5,19.50,89,27.35,22.6,19.50,33.6,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,10-04-2019,19:00:00,000,1008.42,1009.10,26.5,0.00,85,29.35,23.7,0.00,33.3,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10.00,10-04-2019,19:00:00,000,1008.94,1010.47,26.6,0.00,92,31.99,25.2,0.00,33.8,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,10-04-2019,19:00:00,030,1008.50,1009.42,26.8,0.00,84,29.64,23.9,0.00,33.6,3.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,10-04-2019,19:00:00,040,1008.35,1009.04,29.0,0.00,81,32.26,25.3,0.00,31.3,9.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,8.00,10-04-2019,19:00:00,350,1008.08,1008.87,29.4,0.00,78,31.93,25.1,0.00,34.5,7.4
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,10-04-2019,19:00:00,000,1008.60,1009.23,26.2,0.00,86,29.33,23.7,0.00,33.8,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,10-04-2019,19:00:00,000,1009.10,1009.50,27.7,0.00,87,32.20,25.3,0.00,34.0,0.0
