WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,LandVisibility,Rainfall24Hr,AirTemperature,Rainfall,RelativeHumidity,VaporPressure,WindSpeed,WindDirection,MeanSeaLevelPressure
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,987.43,09-10-2019,01:00:00,25.0,10.00,9.70,26.0,0.00,94,31.65,3.7,270,1005.95
48331,NAN,น่าน,น่าน,18.77972,100.77778,982.93,09-10-2019,01:00:00,24.4,10.00,0.30,26.4,0.00,89,30.51,0.0,000,1005.73
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,975.98,09-10-2019,01:00:00,23.9,7.00,0.00,25.5,0.00,91,29.64,0.0,000,1005.91
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,970.95,09-10-2019,01:00:00,24.6,7.00,0.00,26.0,0.00,92,30.84,0.0,000,1006.45
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,975.21,09-10-2019,01:00:00,23.7,10.00,0.00,25.0,0.00,92,29.26,0.0,000,1004.99
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,999.25,09-10-2019,01:00:00,23.3,8.00,0.00,27.5,0.00,78,28.53,0.0,000,1006.54
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,984.95,09-10-2019,01:00:00,25.4,12.00,0.00,28.4,0.00,84,32.47,5.6,230,1004.70
48353,LOEI,เลย,เลย,17.45000,101.73333,976.36,09-10-2019,01:00:00,24.3,12.00,0.00,26.6,0.00,87,30.34,0.0,000,1004.95
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,984.74,09-10-2019,01:00:00,23.7,10.00,0.00,27.5,0.00,80,29.33,5.6,220,1004.82
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,983.46,09-10-2019,01:00:00,24.2,12.00,4.10,26.8,0.00,86,30.18,3.7,230,1005.15
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,985.11,09-10-2019,01:00:00,23.8,10.00,0.00,28.0,0.00,78,29.46,5.6,230,1004.48
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,989.47,09-10-2019,01:00:00,25.4,10.00,0.00,27.5,0.00,88,32.36,0.0,000,1006.17
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,988.88,09-10-2019,01:00:00,25.0,10.00,0.00,26.7,0.00,90,31.63,0.0,000,1006.28
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,979.48,09-10-2019,01:00:00,26.0,10.00,0.00,27.4,0.00,92,33.58,0.0,000,1005.15
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1001.67,09-10-2019,01:00:00,23.9,10.00,0.00,27.4,0.00,81,29.69,0.0,000,1007.45
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1001.25,09-10-2019,01:00:00,24.1,12.00,0.00,27.0,0.00,84,30.02,5.6,260,1007.44
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,989.75,09-10-2019,01:00:00,24.1,10.00,0.00,27.0,0.00,84,30.02,0.0,000,1006.17
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,985.15,09-10-2019,01:00:00,21.7,8.00,18.10,23.4,0.90,90,26.00,0.0,000,1007.75
48376,TAK,ตาก,ตาก,16.87833,99.14333,993.66,09-10-2019,01:00:00,22.5,6.00,2.00,25.9,2.00,82,27.22,7.4,270,1008.11
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,990.27,09-10-2019,01:00:00,21.9,8.00,0.00,27.0,0.00,74,26.32,0.0,000,1006.64
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1001.70,09-10-2019,01:00:00,24.3,10.00,0.00,27.6,0.00,82,30.34,0.0,000,1006.91
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,992.35,09-10-2019,01:00:00,25.1,10.00,0.00,27.2,0.00,88,31.77,0.0,000,1005.52
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,997.92,09-10-2019,01:00:00,23.7,10.00,0.00,26.3,0.00,86,29.25,0.0,000,1007.27
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,984.12,09-10-2019,01:00:00,24.3,8.00,0.90,27.0,0.00,85,30.29,0.0,000,1005.78
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,990.13,09-10-2019,01:00:00,23.5,7.00,23.40,26.7,0.00,83,28.92,0.0,000,1007.66
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,989.31,09-10-2019,01:00:00,24.8,10.00,0.00,27.0,0.00,88,31.38,0.0,000,1005.11
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,985.99,09-10-2019,01:00:00,24.2,8.00,0.00,27.8,0.00,81,30.17,9.3,200,1004.77
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,959.03,09-10-2019,01:00:00,21.2,6.00,16.70,22.9,0.00,90,25.20,0.0,000,1010.92
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1002.79,09-10-2019,01:00:00,24.6,6.00,0.00,27.5,0.00,84,30.97,7.4,230,1006.74
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,913.21,09-10-2019,01:00:00,19.5,.60,4.60,20.0,0.70,97,22.68,18.5,180,1008.94
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,989.82,09-10-2019,01:00:00,26.0,7.00,0.00,27.7,0.00,91,33.62,7.4,180,1005.75
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1003.20,09-10-2019,01:00:00,23.1,10.00,0.00,26.6,0.00,81,28.21,0.0,000,1007.24
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,997.60,09-10-2019,01:00:00,24.6,7.00,0.00,26.0,0.00,92,30.84,0.0,000,1008.32
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1005.88,09-10-2019,01:00:00,23.8,7.00,0.00,26.0,0.00,88,29.50,0.0,000,1007.82
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,986.24,09-10-2019,01:00:00,23.4,10.00,0.00,26.9,0.00,81,28.76,0.0,000,1007.11
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,987.84,09-10-2019,01:00:00,25.7,10.00,0.01,28.0,0.00,88,33.08,7.4,200,1005.42
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,989.61,09-10-2019,01:00:00,25.5,10.00,3.10,28.3,0.00,85,32.55,11.1,210,1005.68
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,993.55,09-10-2019,01:00:00,24.1,10.00,4.00,25.4,4.00,92,29.99,5.6,210,1007.67
