WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindSpeed,RelativeHumidity,StationPressure,VaporPressure,Rainfall24Hr,WindDirection,AirTemperature,DewPoint,MeanSeaLevelPressure,MaximumTemperature,Rainfall
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,09-24-2019,19:00:00,0.0,88,1010.61,32.76,4.50,000,27.7,25.6,1011.02,32.5,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.00,09-24-2019,19:00:00,0.0,93,1008.80,31.00,7.10,000,25.8,24.6,1013.05,31.8,2.40
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,8.00,09-24-2019,19:00:00,0.0,92,1009.01,30.84,0.00,000,26.0,24.6,1010.63,33.0,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10.00,09-24-2019,19:00:00,0.0,92,1007.44,30.84,0.30,000,26.0,24.6,1010.94,33.5,0.30
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,8.00,09-24-2019,19:00:00,9.3,82,1008.90,31.82,0.00,100,28.5,25.1,1010.26,32.0,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,09-24-2019,19:00:00,0.0,93,1009.68,31.00,14.80,000,25.8,24.6,1010.58,32.5,14.80
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,8.00,09-24-2019,19:00:00,0.0,90,1007.18,29.56,2.60,000,25.6,23.8,1010.77,33.5,0.20
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,8.00,09-24-2019,19:00:00,0.0,84,1009.40,30.02,0.10,000,27.0,24.1,1009.84,34.0,0.10
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,8.00,09-24-2019,19:00:00,0.0,95,1008.86,30.23,11.90,000,25.1,24.2,1009.86,33.3,11.90
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,8.00,09-24-2019,19:00:00,0.0,72,1009.20,29.41,0.00,000,29.4,23.8,1010.01,33.2,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,8.00,09-24-2019,19:00:00,14.8,84,1007.98,30.97,0.00,060,27.5,24.6,1009.79,32.6,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,8.00,09-24-2019,19:00:00,1.9,86,1010.38,32.92,2.70,090,28.2,25.6,1011.14,32.6,0.90
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,09-24-2019,19:00:00,9.3,80,1006.67,31.06,4.20,060,28.4,24.7,1010.66,33.4,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,8.00,09-24-2019,19:00:00,0.0,72,1008.81,28.64,0.00,000,29.0,23.3,1009.49,33.5,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,09-24-2019,19:00:00,0.0,79,1009.40,31.29,0.00,000,28.8,24.8,1010.51,31.8,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,7.00,09-24-2019,19:00:00,9.3,83,1007.53,31.39,1.00,070,28.0,24.8,1010.45,32.0,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,6.00,09-24-2019,19:00:00,0.0,89,1009.43,33.25,10.00,000,27.8,25.8,1010.12,33.8,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,7.00,09-24-2019,19:00:00,3.7,89,1007.09,29.11,5.40,020,25.5,23.6,1011.25,32.2,0.40
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,09-24-2019,19:00:00,9.3,74,1010.10,28.78,12.50,120,28.5,23.4,1010.69,31.5,0.00
