WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,RelativeHumidity,WindSpeed,DewPoint,MeanSeaLevelPressure,Rainfall,AirTemperature,StationPressure,VaporPressure,WindDirection,Rainfall24Hr
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,8.00,08-28-2019,22:00:00,89,9.3,24.0,1009.82,0.00,26.0,1009.13,29.76,270,0.90
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,8.00,08-28-2019,22:00:00,84,0.0,24.1,1009.98,0.00,27.0,1008.45,30.02,000,1.80
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,08-28-2019,22:00:00,92,0.0,23.9,1010.67,0.00,25.4,1009.74,29.72,000,12.80
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,08-28-2019,22:00:00,89,9.3,24.7,1009.74,0.00,26.7,1009.05,31.08,270,1.10
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,8.00,08-28-2019,22:00:00,97,5.6,24.4,1010.43,0.00,25.0,1009.62,30.58,190,1.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,08-28-2019,22:00:00,84,5.6,22.8,1009.54,0.20,25.8,1008.90,27.82,320,7.80
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,08-28-2019,22:00:00,97,0.0,23.4,1009.83,0.20,24.0,1009.42,28.78,000,13.90
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.00,08-28-2019,22:00:00,89,0.0,24.6,1011.82,0.00,26.5,1007.58,30.97,000,0.70
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,08-28-2019,22:00:00,98,0.0,23.5,1010.97,0.01,23.8,1009.34,28.95,000,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,6.00,08-28-2019,22:00:00,97,0.0,23.7,1010.76,0.80,24.1,1007.24,29.22,000,17.20
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,6.00,08-28-2019,22:00:00,92,9.3,23.1,1009.98,2.60,24.4,1008.61,28.20,300,10.60
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,08-28-2019,22:00:00,97,0.0,23.6,1010.18,0.00,24.0,1009.29,29.04,000,29.60
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,08-28-2019,22:00:00,96,0.0,23.0,1010.56,1.00,23.6,1006.95,28.09,000,26.70
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,08-28-2019,22:00:00,92,0.0,24.4,1010.30,0.00,25.9,1009.86,30.65,000,14.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,9.00,08-28-2019,22:00:00,97,0.0,24.3,1009.81,1.00,24.9,1008.81,30.40,000,8.70
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,08-28-2019,22:00:00,90,9.3,23.8,1010.38,0.01,25.6,1009.56,29.56,270,3.80
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,9.00,08-28-2019,22:00:00,95,0.0,23.9,1010.73,1.20,24.8,1008.90,29.69,000,3.80
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,08-28-2019,22:00:00,77,5.6,23.4,1010.25,0.00,27.8,1009.50,28.82,280,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,08-28-2019,22:00:00,77,3.7,23.0,1010.38,0.00,27.4,1006.38,28.08,990,0.80
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,08-28-2019,22:00:00,92,0.0,23.9,1010.80,5.40,25.4,1010.11,29.72,000,27.40
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,08-28-2019,22:00:00,70,0.0,23.1,1009.96,0.00,29.1,1008.85,28.29,000,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,08-28-2019,22:00:00,79,0.0,23.7,1010.60,0.00,27.8,1007.68,29.36,000,0.01
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,10.00,08-28-2019,22:00:00,83,0.0,25.1,1009.69,0.00,28.2,1009.00,31.79,000,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,7.00,08-28-2019,22:00:00,84,0.0,24.1,1010.80,0.00,27.1,1006.67,29.93,000,0.10
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,08-28-2019,22:00:00,71,0.0,23.0,1009.80,0.00,28.7,1009.21,28.08,000,0.00
