WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MinimumTemperature,AirTemperature,WindSpeed,VaporPressure,MeanSeaLevelPressure,Rainfall,StationPressure,DewPoint,RelativeHumidity,Rainfall24Hr,WindDirection
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,6.00,09-03-2019,07:00:00,24.0,25.7,0.0,31.08,1006.91,0.80,1006.63,24.7,94,8.60,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,09-03-2019,07:00:00,24.0,26.0,5.6,30.84,1006.73,0.00,1003.58,24.6,92,9.10,260
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,12.00,09-03-2019,07:00:00,24.5,25.5,11.1,29.91,1007.18,0.20,1000.20,24.0,92,8.40,240
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10.00,09-03-2019,07:00:00,24.0,24.5,0.0,29.67,1006.23,0.20,1000.59,23.9,97,26.90,000
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,8.00,09-03-2019,07:00:00,25.0,25.1,11.1,29.97,1007.41,10.50,998.04,24.1,94,10.50,210
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,6.00,09-03-2019,07:00:00,24.6,24.8,0.0,30.48,1007.39,0.80,1006.12,24.4,97,1.00,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,8.00,09-03-2019,07:00:00,24.5,25.3,7.4,30.60,1006.65,0.20,1006.22,24.4,95,5.90,230
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10.00,09-03-2019,07:00:00,23.5,24.0,0.0,28.53,1007.10,0.01,994.72,23.3,96,0.40,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,09-03-2019,07:00:00,24.7,25.1,0.0,31.31,1006.93,0.20,1006.21,24.8,98,1.90,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,7.00,09-03-2019,07:00:00,24.5,25.1,0.0,30.23,1007.03,3.10,1004.58,24.2,95,20.10,000
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,7.00,09-03-2019,07:00:00,24.8,25.0,0.0,30.05,1006.68,3.80,1006.16,24.1,95,8.80,000
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,8.00,09-03-2019,07:00:00,24.3,24.5,0.0,28.89,1006.56,0.80,1001.36,23.5,94,11.90,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,09-03-2019,07:00:00,24.5,25.0,0.0,30.32,1007.15,0.80,1006.74,24.3,96,10.70,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,09-03-2019,07:00:00,24.5,24.8,0.0,29.16,1007.48,2.40,1004.69,23.6,93,29.60,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,6.00,09-03-2019,07:00:00,23.8,26.0,3.7,28.97,1007.90,0.30,1007.11,23.5,86,3.90,240
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.00,09-03-2019,07:00:00,25.0,25.4,5.6,31.33,1007.60,9.10,1007.14,24.8,97,20.90,330
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,8.00,09-03-2019,07:00:00,24.9,25.2,0.0,30.96,1008.25,0.10,1007.56,24.6,97,2.70,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,8.00,09-03-2019,07:00:00,25.2,26.0,0.0,29.50,1008.17,0.00,1006.64,23.8,88,1.00,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,09-03-2019,07:00:00,23.6,26.0,0.0,30.30,1008.88,0.00,1007.96,24.3,90,0.00,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,09-03-2019,07:00:00,26.0,27.3,0.0,28.43,1007.99,0.00,1007.30,23.2,78,0.01,000
