WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,WindSpeed,StationPressure,Rainfall,AirTemperature,LandVisibility,DewPoint,WindDirection,Rainfall24Hr,RelativeHumidity,VaporPressure
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-09-2019,10:00:00,1006.95,5.6,985.52,0.00,31.0,12.00,24.6,210,0.00,69,30.90
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-09-2019,10:00:00,1006.58,3.7,987.37,0.00,31.0,15.00,24.9,140,0.00,70,31.47
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-09-2019,10:00:00,1007.54,0.0,991.00,0.00,30.7,11.00,25.0,000,0.01,72,31.72
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-09-2019,10:00:00,1007.55,3.7,990.30,0.00,29.7,12.00,24.4,280,0.40,73,30.55
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-09-2019,10:00:00,1007.14,3.7,981.51,0.00,28.6,12.00,24.7,240,28.40,80,31.18
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-09-2019,10:00:00,1008.37,0.0,1002.63,0.00,30.0,10.00,25.0,000,0.00,75,31.72
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-09-2019,10:00:00,1008.93,5.6,1002.78,0.00,29.5,12.00,23.7,250,0.00,71,29.33
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-09-2019,10:00:00,1008.97,0.0,992.66,0.00,29.8,12.00,24.4,000,0.00,73,30.47
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-09-2019,10:00:00,1009.71,0.0,987.16,10.30,24.7,8.00,23.7,000,28.20,94,29.25
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-09-2019,10:00:00,1009.37,13.0,995.05,0.00,29.0,8.00,22.4,250,0.00,68,27.03
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-09-2019,10:00:00,1008.62,0.0,992.35,0.00,29.5,10.00,24.0,000,0.00,72,29.88
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-09-2019,10:00:00,1009.26,5.6,1004.09,0.00,30.6,10.00,24.0,210,0.00,68,29.81
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-09-2019,10:00:00,1007.07,0.0,993.98,0.00,29.5,12.00,25.2,000,5.10,78,32.13
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-09-2019,10:00:00,1008.67,1.9,999.43,0.00,30.1,10.00,24.4,300,0.00,72,30.50
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-09-2019,10:00:00,1007.69,7.4,986.11,0.00,28.7,9.00,24.8,190,28.00,80,31.38
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-09-2019,10:00:00,1007.85,9.3,990.50,0.00,29.8,10.00,25.1,210,2.70,76,31.89
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-09-2019,10:00:00,1006.27,11.1,990.63,0.00,30.5,12.00,23.2,240,0.00,65,28.50
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-09-2019,10:00:00,1006.69,5.6,987.94,0.00,28.9,10.00,24.6,190,9.80,78,30.93
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-09-2019,10:00:00,1012.08,0.0,960.45,4.10,24.8,8.00,23.3,000,10.50,92,28.64
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-09-2019,10:00:00,1008.34,0.0,1004.43,0.00,31.6,8.00,25.4,000,4.30,70,32.43
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-09-2019,10:00:00,1010.72,11.1,915.16,2.80,21.1,.80,20.3,250,8.30,95,23.83
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-09-2019,10:00:00,1007.40,0.0,991.55,0.00,29.7,8.00,25.6,000,0.50,79,32.83
