WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,StationPressure,VaporPressure,DewPoint,RelativeHumidity,MeanSeaLevelPressure,AirTemperature,LandVisibility,Rainfall24Hr,WindDirection,Rainfall
48353,LOEI,เลย,เลย,17.45000,101.73333,16.7,08-30-2019,16:00:00,967.72,28.07,23.0,86,996.16,25.5,14.00,16.20,120,10.90
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,13.0,08-30-2019,16:00:00,975.34,27.36,22.6,87,995.40,24.8,8.00,15.30,030,0.90
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,11.1,08-30-2019,16:00:00,974.70,27.07,22.4,96,996.46,23.0,6.00,27.20,120,9.20
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,14.8,08-30-2019,16:00:00,977.01,28.33,23.1,99,996.52,23.3,6.00,37.30,160,11.80
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,11.1,08-30-2019,16:00:00,982.91,26.94,22.3,85,999.63,25.0,9.00,46.50,120,3.20
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,3.7,08-30-2019,16:00:00,982.18,28.36,23.2,94,999.61,24.2,9.00,60.80,100,4.40
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,11.1,08-30-2019,16:00:00,968.85,28.83,23.4,90,994.44,25.2,12.00,20.20,010,5.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,18.5,08-30-2019,16:00:00,992.37,35.53,26.9,84,998.05,30.0,10.00,0.01,270,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,9.3,08-30-2019,16:00:00,990.70,35.97,27.1,84,996.76,30.2,10.00,0.20,280,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,08-30-2019,16:00:00,981.40,29.87,24.0,95,997.80,24.9,4.00,93.10,000,29.40
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,11.1,08-30-2019,16:00:00,976.16,31.05,24.7,85,998.25,27.4,10.00,0.70,240,0.70
48376,TAK,ตาก,ตาก,16.87833,99.14333,16.7,08-30-2019,16:00:00,983.78,28.17,23.1,67,997.89,29.9,7.00,1.00,260,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-30-2019,16:00:00,981.23,31.52,24.9,66,997.19,32.0,12.00,0.50,000,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,5.6,08-30-2019,16:00:00,992.36,32.59,25.5,83,997.51,28.6,10.00,11.00,310,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,08-30-2019,16:00:00,982.96,31.60,25.0,92,996.03,26.4,6.00,20.60,000,5.10
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,7.4,08-30-2019,16:00:00,988.16,33.70,26.0,88,997.36,28.3,10.00,4.20,220,2.30
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,14.8,08-30-2019,16:00:00,973.07,29.04,23.6,97,994.70,24.0,4.00,24.60,310,4.70
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,7.4,08-30-2019,16:00:00,977.81,29.82,24.0,100,995.28,24.0,4.00,189.40,220,7.40
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,9.3,08-30-2019,16:00:00,989.30,27.25,22.5,91,1005.26,24.0,7.00,222.20,130,4.60
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,08-30-2019,16:00:00,975.09,29.26,23.7,92,993.85,25.0,8.00,41.20,000,5.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-30-2019,16:00:00,950.57,28.59,23.3,88,1001.55,25.5,10.00,2.90,000,1.50
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,7.4,08-30-2019,16:00:00,993.15,30.71,24.5,94,997.09,25.5,6.00,52.40,210,0.01
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,18.5,08-30-2019,16:00:00,905.76,25.77,21.6,98,1000.08,21.9,.40,3.90,220,0.30
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,14.8,08-30-2019,16:00:00,978.85,29.20,23.6,99,994.80,23.8,5.00,211.50,210,12.50
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,08-30-2019,16:00:00,993.92,30.92,24.6,93,997.94,25.9,5.00,28.60,000,10.90
