WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,WindSpeed,Rainfall24Hr,RelativeHumidity,DewPoint,LandVisibility,StationPressure,Rainfall,AirTemperature,VaporPressure,MeanSeaLevelPressure
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,060,10-13-2019,04:00:00,5.6,0.00,90,23.6,10.00,982.95,0.00,25.4,29.19,1008.89
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,10-13-2019,04:00:00,0.0,0.00,93,25.1,8.00,1002.82,0.00,26.3,31.96,1008.63
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,10-13-2019,04:00:00,0.0,0.00,94,25.3,6.00,1002.30,0.00,26.3,32.23,1008.52
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,10-13-2019,04:00:00,0.0,0.00,92,23.7,8.00,994.12,0.00,25.0,29.26,1010.73
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,10-13-2019,04:00:00,0.0,0.00,89,22.6,10.00,985.53,0.00,24.5,27.35,1008.05
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,10-13-2019,04:00:00,0.0,0.00,93,24.8,6.00,994.17,0.00,26.0,31.38,1008.62
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,10-13-2019,04:00:00,0.0,0.00,93,23.6,{'@attributes': {'Unit': 'km'}},992.99,0.00,24.8,29.16,1009.53
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,070,10-13-2019,04:00:00,5.6,0.00,87,23.8,10.00,1003.66,0.00,26.1,29.41,1008.92
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,10-13-2019,04:00:00,0.0,22.10,95,23.9,10.00,995.15,0.00,24.8,29.69,1008.46
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,000,10-13-2019,04:00:00,0.0,0.00,93,25.1,11.00,999.44,0.00,26.3,31.96,1008.80
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,000,10-13-2019,04:00:00,0.0,0.00,94,23.5,8.00,987.98,0.00,24.5,28.89,1009.91
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,10-13-2019,04:00:00,0.0,0.00,91,24.0,10.00,992.12,0.00,25.6,29.82,1009.75
