WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,WindSpeed,LandVisibility,Rainfall,DewPoint,WindDirection,StationPressure,RelativeHumidity,VaporPressure,Rainfall24Hr
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.96,09-01-2019,13:00:00,30.6,9.3,10.00,0.00,25.1,270,1003.87,72,31.80,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1007.21,09-01-2019,13:00:00,30.0,13.0,12.00,0.00,24.9,240,1000.34,74,31.44,2.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1007.06,09-01-2019,13:00:00,32.6,5.6,10.00,0.00,24.7,280,1001.56,63,31.02,1.20
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1007.99,09-01-2019,13:00:00,30.8,18.5,10.00,0.00,25.4,230,998.78,73,32.51,0.01
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.53,09-01-2019,13:00:00,32.5,3.7,14.00,0.00,25.2,230,1006.29,65,31.98,1.90
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1007.19,09-01-2019,13:00:00,31.4,0.0,11.00,0.00,27.3,000,1006.76,79,36.20,4.60
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1007.31,09-01-2019,13:00:00,30.8,7.4,10.00,0.00,24.5,230,995.20,69,30.78,2.40
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.25,09-01-2019,13:00:00,29.6,9.3,10.00,0.00,24.7,250,1006.54,75,31.20,6.80
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.54,09-01-2019,13:00:00,31.5,11.1,10.00,0.01,24.2,240,1005.14,65,30.20,9.20
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.09,09-01-2019,13:00:00,30.5,14.8,12.00,0.00,24.8,260,1007.58,72,31.31,0.50
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1007.00,09-01-2019,13:00:00,30.3,7.4,12.00,2.30,24.3,220,1001.90,70,30.34,8.40
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.97,09-01-2019,13:00:00,30.1,7.4,8.00,3.30,27.5,220,1007.56,86,36.66,33.40
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1008.22,09-01-2019,13:00:00,27.5,7.4,8.00,11.20,26.8,040,1005.45,96,35.23,14.20
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.28,09-01-2019,13:00:00,27.6,0.0,8.00,1.00,26.8,000,1007.50,95,35.14,2.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.73,09-01-2019,13:00:00,28.0,13.0,3.00,7.50,25.7,230,1008.27,88,33.08,25.80
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.95,09-01-2019,13:00:00,25.4,13.0,7.00,4.80,22.7,280,1009.26,85,27.63,9.60
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.03,09-01-2019,13:00:00,25.8,18.5,8.00,11.40,23.2,270,1008.49,85,28.34,12.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.59,09-01-2019,13:00:00,24.0,3.7,7.00,65.20,23.3,070,1008.66,96,28.53,74.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.50,09-01-2019,13:00:00,30.3,0.0,12.00,0.00,23.0,000,1008.81,65,28.12,0.90
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.33,09-01-2019,13:00:00,27.8,7.4,8.00,0.20,24.5,240,1009.54,82,30.72,4.60
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.57,09-01-2019,13:00:00,29.0,5.6,10.00,0.00,23.2,300,1008.94,71,28.37,9.90
