WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,DewPoint,StationPressure,VaporPressure,LandVisibility,RelativeHumidity,WindSpeed,AirTemperature,Rainfall,Rainfall24Hr
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.97,07-26-2019,04:00:00,110,23.5,1007.13,28.87,6.00,87,3.7,25.8,0.20,0.70
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.61,07-26-2019,04:00:00,000,24.4,1007.84,30.54,5.00,93,0.0,25.7,0.01,0.10
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1008.67,07-26-2019,04:00:00,020,25.1,1007.97,31.93,10.00,95,3.7,26.0,0.00,2.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1008.82,07-26-2019,04:00:00,000,24.6,1008.11,30.98,7.00,95,0.0,25.5,0.20,23.80
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1008.52,07-26-2019,04:00:00,290,24.0,987.27,29.76,10.00,89,3.7,26.0,0.00,0.20
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1008.89,07-26-2019,04:00:00,000,24.0,992.03,29.79,5.00,94,0.0,25.0,0.20,0.70
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1009.32,07-26-2019,04:00:00,180,23.4,992.76,28.75,4.00,89,1.9,25.3,0.60,1.50
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1008.64,07-26-2019,04:00:00,000,22.0,986.68,26.37,10.00,78,0.0,26.0,0.00,1.10
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1008.94,07-26-2019,04:00:00,240,21.0,965.32,24.86,10.00,79,7.4,24.8,0.00,0.01
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1008.76,07-26-2019,04:00:00,210,22.4,988.07,27.13,10.00,82,3.7,25.7,0.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1010.33,07-26-2019,04:00:00,000,23.7,989.28,29.33,7.00,95,0.0,24.6,0.00,0.80
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.06,07-26-2019,04:00:00,000,24.3,1008.63,30.39,10.00,84,0.0,27.2,0.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.72,07-26-2019,04:00:00,000,24.1,1007.29,29.95,6.00,96,0.0,24.8,0.50,11.10
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1009.21,07-26-2019,04:00:00,000,23.8,1004.22,29.49,7.00,97,0.0,24.4,0.00,11.30
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1009.10,07-26-2019,04:00:00,000,22.6,1005.80,27.36,10.00,77,0.0,27.0,0.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1008.94,07-26-2019,04:00:00,000,24.0,1007.82,29.84,5.00,89,0.0,25.9,0.01,0.01
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.11,07-26-2019,04:00:00,000,25.4,1008.81,32.46,8.00,93,0.0,26.7,0.00,1.10
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.51,07-26-2019,04:00:00,000,24.5,1009.02,30.81,10.00,93,0.0,25.7,0.00,11.70
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1009.39,07-26-2019,04:00:00,000,24.9,1007.97,31.57,10.00,93,0.0,26.1,0.00,0.01
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1011.06,07-26-2019,04:00:00,000,24.4,1002.97,30.48,8.00,97,0.0,24.8,1.50,13.80
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.68,07-26-2019,04:00:00,000,26.5,1008.40,34.52,8.00,99,0.0,26.6,0.00,7.90
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1008.66,07-26-2019,04:00:00,180,23.2,1005.54,28.37,10.00,71,5.6,29.0,0.00,2.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1008.81,07-26-2019,04:00:00,240,22.8,1001.90,27.71,10.00,71,5.6,28.5,0.00,0.01
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1009.27,07-26-2019,04:00:00,000,24.0,1003.63,29.79,8.00,94,0.0,25.0,0.00,10.40
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.88,07-26-2019,04:00:00,000,24.6,1008.61,30.87,10.00,96,0.0,25.3,0.00,5.90
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1008.95,07-26-2019,04:00:00,230,21.2,1008.51,25.14,11.00,69,7.4,27.5,0.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1009.42,07-26-2019,04:00:00,240,23.2,997.02,28.36,9.00,94,3.7,24.2,1.20,1.70
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1009.14,07-26-2019,04:00:00,000,24.4,1008.42,30.51,10.00,89,0.0,26.4,0.00,12.20
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1009.73,07-26-2019,04:00:00,000,22.6,1007.30,27.42,10.00,72,0.0,28.2,0.00,0.01
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.40,07-26-2019,04:00:00,270,23.8,1008.89,29.49,7.00,72,7.4,29.3,0.00,0.90
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1008.95,07-26-2019,04:00:00,000,23.6,1003.79,29.10,10.00,83,0.0,26.8,0.00,0.10
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.31,07-26-2019,04:00:00,000,24.4,1008.89,30.48,7.00,97,0.0,24.8,0.00,21.50
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1008.57,07-26-2019,04:00:00,000,24.6,1005.78,30.96,8.00,97,0.0,25.2,0.00,91.50
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.37,07-26-2019,04:00:00,000,21.7,1008.58,25.96,10.00,75,0.0,26.5,0.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.70,07-26-2019,04:00:00,080,23.0,1008.24,28.11,6.00,91,9.3,24.5,0.00,10.50
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.25,07-26-2019,04:00:00,000,24.2,1008.56,30.13,7.00,96,0.0,24.9,0.00,4.10
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.35,07-26-2019,04:00:00,000,24.3,1007.81,30.42,6.00,95,0.0,25.2,0.00,4.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.82,07-26-2019,04:00:00,000,24.3,1008.90,30.46,10.00,92,0.0,25.8,0.00,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.77,07-26-2019,04:00:00,000,24.6,1009.08,30.97,10.00,84,0.0,27.5,0.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1009.84,07-26-2019,04:00:00,000,24.3,1009.04,30.32,6.00,96,0.0,25.0,0.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.45,07-26-2019,04:00:00,000,24.0,1008.81,29.91,10.00,92,0.0,25.5,0.00,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.56,07-26-2019,04:00:00,000,24.8,1009.15,31.25,8.00,96,0.0,25.5,0.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1011.30,07-26-2019,04:00:00,000,24.5,1007.05,30.69,6.00,96,0.0,25.2,0.00,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.00,07-26-2019,04:00:00,000,24.6,1008.37,30.93,10.00,98,0.0,24.9,0.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1010.15,07-26-2019,04:00:00,000,23.5,1006.64,29.00,10.00,92,0.0,25.0,0.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.32,07-26-2019,04:00:00,000,24.1,1007.95,30.05,7.00,95,0.0,25.0,0.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.64,07-26-2019,04:00:00,000,24.5,1008.75,30.71,10.00,94,0.0,25.5,0.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1009.83,07-26-2019,04:00:00,000,23.9,1006.24,29.59,10.00,96,0.0,24.6,0.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.39,07-26-2019,04:00:00,000,24.3,1008.95,30.43,10.00,88,0.0,26.5,0.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.33,07-26-2019,04:00:00,000,24.8,1008.33,31.31,10.00,98,0.0,25.1,0.00,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.76,07-26-2019,04:00:00,280,24.0,1008.94,29.85,10.00,97,9.3,24.6,0.00,3.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.72,07-26-2019,04:00:00,000,24.0,1007.89,29.77,8.00,96,0.0,24.7,0.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1009.51,07-26-2019,04:00:00,270,23.4,1008.76,28.70,10.00,85,3.7,26.0,0.00,0.01
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1009.80,07-26-2019,04:00:00,000,23.6,1005.76,29.15,8.00,95,0.0,24.5,0.00,0.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.85,07-26-2019,04:00:00,000,23.6,1009.16,29.16,10.00,93,0.0,24.8,0.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.57,07-26-2019,04:00:00,000,23.8,1008.44,29.49,10.00,97,0.0,24.4,0.00,21.20
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1009.80,07-26-2019,04:00:00,000,23.7,1006.85,29.31,10.00,97,0.0,24.3,0.00,0.00
