WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,StationPressure,Rainfall,LandVisibility,Rainfall24Hr,WindDirection,RelativeHumidity,WindSpeed,AirTemperature,DewPoint
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1010.03,09-13-2019,01:00:00,34.07,1008.92,0.00,8.00,0.00,220,93,5.6,27.5,26.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1012.26,09-13-2019,01:00:00,30.89,997.53,0.00,8.00,0.00,080,84,3.7,27.6,24.6
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1011.95,09-13-2019,01:00:00,22.62,876.42,0.00,8.00,0.20,280,98,1.9,19.8,19.5
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1010.13,09-13-2019,01:00:00,32.26,1004.22,0.00,10.00,0.30,000,93,0.0,26.6,25.3
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1011.01,09-13-2019,01:00:00,28.37,1010.21,0.00,8.00,0.00,240,71,7.4,29.0,23.2
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1011.03,09-13-2019,01:00:00,33.12,1010.58,0.00,10.00,0.00,000,83,0.0,29.0,25.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1012.34,09-13-2019,01:00:00,29.41,1000.89,0.00,4.00,0.00,000,96,0.0,24.5,23.8
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1010.25,09-13-2019,01:00:00,31.20,1008.43,0.00,8.00,0.00,000,83,0.0,27.9,24.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1010.30,09-13-2019,01:00:00,25.24,1009.53,0.00,8.00,0.00,000,67,0.0,28.0,21.3
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1010.99,09-13-2019,01:00:00,26.37,1010.29,0.00,10.00,0.00,270,69,13.0,28.2,22.0
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1010.19,09-13-2019,01:00:00,33.45,1009.49,0.00,7.00,1.60,000,89,0.0,27.9,25.9
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1009.71,09-13-2019,01:00:00,29.48,988.50,0.00,10.00,3.90,260,83,3.7,27.0,23.8
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1009.04,09-13-2019,01:00:00,29.79,992.18,2.20,6.00,10.30,000,94,0.0,25.0,24.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1010.44,09-13-2019,01:00:00,29.67,993.81,0.10,6.00,11.40,000,97,0.0,24.5,23.9
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1009.44,09-13-2019,01:00:00,27.69,987.51,0.00,10.00,0.00,000,80,0.0,26.6,22.8
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1010.78,09-13-2019,01:00:00,27.76,966.95,0.00,12.00,0.00,000,93,0.0,24.0,22.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1009.71,09-13-2019,01:00:00,29.33,989.04,0.00,10.00,4.80,000,86,0.0,26.2,23.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1010.80,09-13-2019,01:00:00,32.04,989.78,0.00,8.00,1.20,220,100,9.3,25.2,25.2
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1010.88,09-13-2019,01:00:00,28.67,1010.45,0.00,10.00,2.40,310,80,3.7,27.0,23.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1009.88,09-13-2019,01:00:00,32.43,1008.45,0.00,6.00,0.50,000,94,0.0,26.4,25.4
