WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,DewPoint,VaporPressure,Rainfall,AirTemperature,LandVisibility,MeanSeaLevelPressure,WindDirection,WindSpeed,RelativeHumidity
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1002.60,07-10-2019,04:00:00,7.70,24.9,31.41,0.01,25.3,4.00,1006.58,140,3.7,97
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,912.20,07-10-2019,04:00:00,8.30,19.9,23.26,0.40,20.4,.40,1007.68,200,11.1,97
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,989.89,07-10-2019,04:00:00,0.00,23.9,29.72,0.00,26.7,6.00,1005.87,000,0.0,85
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1003.08,07-10-2019,04:00:00,0.01,25.7,33.02,0.00,26.7,10.00,1007.12,000,0.0,94
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,997.47,07-10-2019,04:00:00,0.30,23.3,28.59,0.00,25.5,6.00,1008.21,000,0.0,88
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1005.73,07-10-2019,04:00:00,0.00,22.9,27.85,0.00,26.4,7.00,1007.67,180,3.7,81
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,985.58,07-10-2019,04:00:00,0.00,22.0,26.47,0.00,26.5,10.00,1006.46,220,5.6,77
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,988.07,07-10-2019,04:00:00,0.00,23.7,29.35,0.00,26.5,10.00,1005.73,180,5.6,85
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,989.44,07-10-2019,04:00:00,0.00,24.5,30.83,0.00,27.0,10.00,1005.58,200,5.6,87
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,992.68,07-10-2019,04:00:00,7.00,24.4,30.48,7.00,26.1,10.00,1006.75,000,0.0,90
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,992.76,07-10-2019,04:00:00,47.60,24.2,30.22,47.60,24.8,8.00,1007.71,000,0.0,97
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,993.15,07-10-2019,04:00:00,6.40,23.8,29.50,0.00,26.0,6.00,1007.88,000,0.0,88
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1003.91,07-10-2019,04:00:00,0.00,24.5,30.72,0.00,26.8,10.00,1006.93,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,87
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,999.25,07-10-2019,04:00:00,3.40,23.9,29.70,0.00,26.4,7.00,1007.22,000,0.0,86
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.90,07-10-2019,04:00:00,0.00,23.9,29.66,0.00,25.8,8.00,1008.02,000,0.0,89
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,990.92,07-10-2019,04:00:00,1.30,24.6,30.84,0.00,26.0,8.00,1005.63,000,0.0,92
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},873.14,07-10-2019,04:00:00,0.20,18.1,20.72,0.00,18.4,8.00,1008.84,210,5.6,98
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1001.67,07-10-2019,04:00:00,0.00,22.2,26.71,0.00,25.9,10.00,1007.58,180,5.6,80
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1007.20,07-10-2019,04:00:00,11.10,25.8,33.15,0.00,26.2,8.00,1008.01,230,3.7,98
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1007.25,07-10-2019,04:00:00,17.00,24.2,30.12,0.00,27.2,9.00,1007.70,230,5.6,84
