WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,WindDirection,AirTemperature,VaporPressure,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,Rainfall,RelativeHumidity
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.8,10-13-2019,01:00:00,0.0,000,28.2,31.23,1009.00,1.10,1009.44,6.00,0.00,82
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.6,10-13-2019,01:00:00,0.0,000,26.2,30.94,998.63,0.00,1010.00,5.00,0.00,91
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,25.4,10-13-2019,01:00:00,0.0,000,27.0,32.49,1009.02,2.80,1010.03,7.00,0.00,91
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.8,10-13-2019,01:00:00,0.0,000,26.1,29.41,1008.07,0.40,1009.90,7.00,0.00,87
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.0,10-13-2019,01:00:00,0.0,000,26.6,31.71,1009.01,0.00,1009.78,8.00,0.00,91
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,25.1,10-13-2019,01:00:00,7.4,100,27.2,31.77,1009.41,1.80,1010.12,8.00,0.00,88
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.4,10-13-2019,01:00:00,0.0,000,26.0,30.57,1009.25,0.40,1009.96,7.00,0.00,91
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.5,10-13-2019,01:00:00,0.0,000,24.4,28.97,989.09,0.01,1010.50,10.00,0.00,95
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.1,10-13-2019,01:00:00,0.0,000,24.8,29.95,993.20,6.30,1010.09,7.00,0.00,96
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.2,10-13-2019,01:00:00,0.0,000,24.2,28.36,994.18,9.30,1010.83,7.00,0.00,94
