WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,WindDirection,DewPoint,MeanSeaLevelPressure,VaporPressure,Rainfall,Rainfall24Hr,AirTemperature,WindSpeed,RelativeHumidity
48353,LOEI,เลย,เลย,17.45000,101.73333,977.72,09-09-2019,22:00:00,12.00,140,24.3,1006.27,30.42,0.00,0.00,27.5,3.7,83
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,986.13,09-09-2019,22:00:00,12.00,180,25.2,1006.17,32.02,0.00,0.00,28.6,5.6,82
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,985.04,09-09-2019,22:00:00,12.00,000,25.9,1006.74,33.34,0.00,4.10,27.0,0.0,94
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,986.69,09-09-2019,22:00:00,12.00,180,25.5,1006.06,32.55,0.00,0.00,28.3,3.7,85
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,990.66,09-09-2019,22:00:00,11.00,140,25.7,1007.32,32.96,0.00,0.01,28.5,3.7,85
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,989.11,09-09-2019,22:00:00,10.00,000,25.4,1006.47,32.36,0.00,0.00,27.5,0.0,88
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,980.87,09-09-2019,22:00:00,10.00,000,27.1,1006.50,35.96,0.00,0.00,28.4,0.0,93
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1001.58,09-09-2019,22:00:00,10.00,000,23.9,1007.35,29.74,0.00,0.00,28.0,0.0,79
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1000.97,09-09-2019,22:00:00,12.00,000,24.2,1007.13,30.12,0.00,0.00,28.2,0.0,79
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,991.39,09-09-2019,22:00:00,10.00,000,23.4,1007.75,28.70,0.00,0.00,28.6,0.0,73
