WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,RelativeHumidity,WindSpeed,DewPoint,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure,LandVisibility,VaporPressure,StationPressure,Rainfall
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,340,09-25-2019,10:00:00,67,3.7,23.9,0.00,30.7,1014.73,10.00,29.73,1014.43,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,060,09-25-2019,10:00:00,65,3.7,23.7,0.00,31.2,1014.88,10.00,29.32,1014.20,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,000,09-25-2019,10:00:00,65,0.0,23.2,0.00,30.5,1014.85,10.00,28.50,1014.36,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,010,09-25-2019,10:00:00,68,11.1,22.7,0.00,29.3,1015.22,10.00,27.59,1013.81,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,040,09-25-2019,10:00:00,77,22.2,24.9,0.00,29.5,1014.92,8.00,31.56,1013.24,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,230,09-25-2019,10:00:00,69,3.7,23.2,0.00,29.6,1016.78,10.00,28.42,1008.77,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,050,09-25-2019,10:00:00,64,7.4,23.1,0.00,30.8,1014.45,10.00,28.26,1014.16,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,270,09-25-2019,10:00:00,67,9.3,23.9,0.00,30.8,1014.35,10.00,29.65,1011.23,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,100,09-25-2019,10:00:00,69,5.6,23.1,20.70,29.4,1014.24,10.00,28.31,1007.31,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,060,09-25-2019,10:00:00,66,9.3,23.0,0.00,30.1,1015.72,8.00,28.01,1010.13,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,000,09-25-2019,10:00:00,65,0.0,23.2,12.80,30.5,1015.53,8.00,28.50,1006.25,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,360,09-25-2019,10:00:00,71,14.8,23.8,0.20,29.6,1015.51,8.00,29.52,1014.25,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,350,09-25-2019,10:00:00,74,14.8,24.3,0.40,29.5,1015.03,11.00,30.44,1014.60,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,030,09-25-2019,10:00:00,71,11.1,23.7,2.50,29.5,1014.81,6.00,29.33,1002.56,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,010,09-25-2019,10:00:00,69,9.3,24.0,0.00,30.3,1014.46,7.00,29.78,1013.75,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,020,09-25-2019,10:00:00,63,11.1,23.6,6.30,31.4,1014.21,6.00,29.15,1011.79,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,070,09-25-2019,10:00:00,60,9.3,23.3,0.00,32.0,1014.11,12.00,28.66,1013.60,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,010,09-25-2019,10:00:00,61,9.3,21.8,17.20,30.1,1014.12,11.00,26.13,1008.98,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,09-25-2019,10:00:00,66,0.0,23.8,0.00,31.0,1014.34,9.00,29.48,1013.93,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,09-25-2019,10:00:00,66,0.0,23.8,0.00,31.0,1014.11,8.00,29.48,1011.36,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,020,09-25-2019,10:00:00,66,18.5,23.8,0.00,31.0,1014.14,10.00,29.48,1013.36,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,270,09-25-2019,10:00:00,79,7.4,26.8,0.00,31.0,1013.38,8.00,35.31,1012.93,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,040,09-25-2019,10:00:00,69,3.7,24.6,0.00,31.0,1013.40,8.00,30.90,1012.73,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,050,09-25-2019,10:00:00,66,11.1,22.8,0.00,29.8,1013.14,9.00,27.71,1011.62,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,020,09-25-2019,10:00:00,66,7.4,24.4,0.00,31.5,1012.96,9.00,30.49,1012.05,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,040,09-25-2019,10:00:00,79,13.0,26.7,4.70,30.7,1012.89,10.00,34.96,1012.20,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,09-25-2019,10:00:00,98,0.0,25.8,12.80,26.1,1013.74,5.00,33.23,1012.94,4.50
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,09-25-2019,10:00:00,88,0.0,25.7,17.10,28.0,1013.15,8.00,33.08,1012.51,2.40
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,340,09-25-2019,10:00:00,82,7.4,26.1,34.60,29.6,1013.40,10.00,33.79,1013.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,09-25-2019,10:00:00,93,0.0,24.9,7.70,26.2,1015.96,5.00,31.49,1011.71,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,09-25-2019,10:00:00,80,0.0,23.8,1.60,27.6,1013.46,8.00,29.52,1011.85,0.20
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,09-25-2019,10:00:00,85,0.0,25.1,2.90,28.0,1013.10,12.00,31.95,1009.62,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,100,09-25-2019,10:00:00,87,5.6,25.5,42.50,27.9,1013.41,8.00,32.60,1012.05,27.70
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,09-25-2019,10:00:00,75,0.0,24.5,14.80,29.5,1012.79,9.00,30.72,1011.91,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,020,09-25-2019,10:00:00,81,13.0,25.4,2.60,29.1,1012.97,10.00,32.46,1009.41,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,030,09-25-2019,10:00:00,66,5.6,24.6,0.10,31.7,1012.65,10.00,30.90,1012.21,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,050,09-25-2019,10:00:00,66,9.3,23.6,11.90,30.8,1012.56,10.00,29.09,1011.58,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,000,09-25-2019,10:00:00,80,0.0,25.7,0.00,29.5,1012.81,8.00,33.00,1012.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,09-25-2019,10:00:00,93,0.0,25.1,4.50,26.3,1013.19,10.00,31.96,1011.36,3.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,260,09-25-2019,10:00:00,73,1.9,25.5,2.30,31.0,1013.20,10.00,32.63,1012.45,0.01
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,110,09-25-2019,10:00:00,71,11.1,24.3,4.20,30.2,1013.39,10.00,30.42,1009.41,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,080,09-25-2019,10:00:00,65,9.3,24.0,0.00,31.5,1012.58,8.00,29.92,1011.90,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,060,09-25-2019,10:00:00,75,13.0,25.8,0.00,30.9,1014.02,10.00,33.30,1012.91,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,060,09-25-2019,10:00:00,84,13.0,26.4,1.00,29.5,1013.05,10.00,34.46,1010.13,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,100,09-25-2019,10:00:00,74,7.4,26.3,0.80,31.5,1012.68,8.00,34.30,1012.00,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,090,09-25-2019,10:00:00,80,7.4,26.1,6.00,30.0,1013.27,5.00,33.75,1009.16,0.01
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,110,09-25-2019,10:00:00,75,9.3,24.5,1.90,29.5,1012.72,10.00,30.72,1012.14,0.00
