WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,RelativeHumidity,StationPressure,LandVisibility,WindDirection,Rainfall24Hr,Rainfall,VaporPressure,MeanSeaLevelPressure,AirTemperature
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.0,10-17-2019,22:00:00,25.6,88,1011.31,9.00,000,0.10,0.10,32.88,1012.12,27.9
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,3.7,10-17-2019,22:00:00,24.7,78,1011.33,10.00,120,0.00,0.00,31.13,1011.77,29.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,10-17-2019,22:00:00,23.7,90,1001.66,6.00,000,0.00,0.00,29.38,1013.09,25.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,10-17-2019,22:00:00,23.9,74,1011.40,7.00,000,0.00,0.00,29.74,1012.41,29.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,10-17-2019,22:00:00,22.2,65,1010.58,8.00,000,0.00,0.00,26.70,1012.40,29.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,10-17-2019,22:00:00,26.8,95,1011.53,5.00,000,1.80,1.80,35.14,1012.29,27.6
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,7.4,10-17-2019,22:00:00,23.5,76,1010.86,10.00,030,0.01,0.00,29.03,1011.57,28.2
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,10-17-2019,22:00:00,23.2,70,1011.00,8.00,000,0.00,0.00,28.40,1011.70,29.3
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,10-17-2019,22:00:00,23.0,74,991.79,9.00,000,0.00,0.00,28.12,1013.00,28.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,10-17-2019,22:00:00,23.1,76,995.86,7.00,000,0.00,0.00,28.18,1012.64,27.6
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,7.4,10-17-2019,22:00:00,23.6,84,996.52,7.00,050,0.00,0.00,29.08,1013.08,26.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,10-17-2019,22:00:00,23.0,80,990.97,10.00,000,0.00,0.00,28.13,1012.97,26.7
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,11.1,10-17-2019,22:00:00,20.9,75,969.47,8.00,090,0.00,0.00,24.69,1013.17,25.6
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.0,10-17-2019,22:00:00,23.3,80,991.87,10.00,000,0.00,0.00,28.67,1012.54,27.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.3,10-17-2019,22:00:00,24.7,95,993.62,9.00,030,0.00,0.00,31.17,1014.69,25.6
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.0,10-17-2019,22:00:00,24.5,86,1011.59,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,0.00,30.75,1012.03,27.1
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,10-17-2019,22:00:00,25.7,94,1010.16,6.00,000,1.40,0.00,33.02,1011.59,26.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,10-17-2019,22:00:00,25.8,98,1007.33,7.00,000,7.30,0.00,33.23,1012.31,26.1
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,10-17-2019,22:00:00,26.0,88,1009.33,10.00,000,0.20,0.20,33.70,1012.63,28.3
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,10-17-2019,22:00:00,25.1,97,1011.32,10.00,000,5.20,5.20,31.79,1012.44,25.5
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,10-17-2019,22:00:00,23.8,71,1011.65,10.00,000,0.00,0.00,29.52,1011.95,29.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,10-17-2019,22:00:00,24.3,76,1011.35,10.00,000,0.00,0.00,30.29,1011.83,29.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,3.7,10-17-2019,22:00:00,24.3,79,1011.43,10.00,060,0.00,0.00,30.31,1012.84,28.3
