WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindDirection,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,VaporPressure,AirTemperature,WindSpeed,DewPoint,RelativeHumidity,LandVisibility
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-08-2019,01:00:00,000,992.86,0.00,1011.57,26.84,24.5,0.0,22.3,87,4.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-08-2019,01:00:00,000,989.21,0.00,1012.30,27.18,24.4,0.0,22.5,89,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-08-2019,01:00:00,000,982.28,0.00,1012.72,24.89,22.4,0.0,21.0,92,7.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-08-2019,01:00:00,000,976.27,0.60,1012.28,26.99,23.4,0.0,22.3,94,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-08-2019,01:00:00,000,981.52,0.00,1011.85,24.36,21.6,0.0,20.7,94,6.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-08-2019,01:00:00,000,1004.36,0.00,1011.71,29.17,26.4,0.0,23.6,85,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-08-2019,01:00:00,000,991.71,0.80,1011.72,29.35,26.5,0.0,23.7,85,6.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-08-2019,01:00:00,000,983.12,0.00,1012.32,24.57,22.5,0.0,20.8,90,7.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-08-2019,01:00:00,000,991.59,0.00,1011.95,28.41,25.4,0.0,23.2,88,10.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-08-2019,01:00:00,000,989.84,0.00,1011.91,26.42,23.5,0.0,22.0,91,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-08-2019,01:00:00,000,991.90,0.10,1011.61,26.60,24.8,0.0,22.1,85,11.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-08-2019,01:00:00,000,994.89,2.00,1011.90,27.33,23.6,0.0,22.6,94,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-08-2019,01:00:00,000,994.41,20.20,1012.25,23.69,21.0,0.0,20.2,95,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-08-2019,01:00:00,000,985.40,0.00,1011.42,30.07,25.3,0.0,24.1,93,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-08-2019,01:00:00,180,1005.48,0.00,1011.32,30.84,26.0,3.7,24.6,92,7.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-08-2019,01:00:00,000,1005.24,0.00,1011.47,30.84,26.0,0.0,24.6,92,6.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-08-2019,01:00:00,000,995.97,0.00,1012.61,26.52,24.9,0.0,22.1,84,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-08-2019,01:00:00,180,987.78,0.00,1010.39,26.01,24.0,5.6,21.7,87,8.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.20,10-08-2019,01:00:00,100,999.50,0.20,1014.12,27.34,24.2,7.4,22.6,91,5.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-08-2019,01:00:00,000,996.38,0.00,1012.97,29.00,25.0,0.0,23.5,92,7.00
