WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,RelativeHumidity,StationPressure,MaximumTemperature,AirTemperature,VaporPressure,Rainfall,MeanSeaLevelPressure,WindSpeed,WindDirection,DewPoint,Rainfall24Hr
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,7.00,10-05-2019,19:00:00,93,1006.91,31.7,26.6,32.54,0.00,1008.59,25.9,070,25.5,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,10-05-2019,19:00:00,96,1002.77,33.0,25.0,30.32,0.00,1010.86,0.0,000,24.3,1.20
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,2.00,10-05-2019,19:00:00,96,1008.34,33.2,25.3,30.87,9.10,1008.62,0.0,000,24.6,9.70
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,10-05-2019,19:00:00,92,1005.64,31.8,25.0,29.00,10.80,1008.80,0.0,000,23.5,10.80
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,10-05-2019,19:00:00,83,1001.94,30.7,27.9,31.20,0.00,1008.87,0.0,000,24.7,0.50
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,8.00,10-05-2019,19:00:00,86,1003.70,31.1,27.3,31.14,0.00,1009.30,5.6,030,24.7,22.10
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,8.00,10-05-2019,19:00:00,94,999.63,32.0,26.0,31.65,8.20,1008.99,0.0,000,25.0,8.20
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,4.00,10-05-2019,19:00:00,95,1008.70,32.8,26.0,31.93,0.01,1009.97,7.4,320,25.1,0.01
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,10-05-2019,19:00:00,78,1008.66,33.7,30.0,33.17,0.00,1009.09,0.0,000,25.8,0.10
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10.00,10-05-2019,19:00:00,82,997.49,32.5,26.4,28.11,0.00,1009.81,3.7,190,23.0,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,10-05-2019,19:00:00,77,1008.57,31.6,29.4,31.36,0.00,1009.28,0.0,000,24.8,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,8.00,10-05-2019,19:00:00,82,1006.23,33.8,26.5,28.29,0.30,1008.68,3.7,180,23.1,0.30
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,9.00,10-05-2019,19:00:00,85,1008.44,32.2,27.3,30.86,0.00,1008.96,5.6,070,24.6,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,7.00,10-05-2019,19:00:00,95,1003.85,32.5,24.6,29.33,37.10,1009.05,3.7,330,23.7,62.40
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,8.00,10-05-2019,19:00:00,85,1008.68,32.6,27.1,30.48,0.00,1009.10,0.0,000,24.4,3.70
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,10-05-2019,19:00:00,90,1006.39,31.2,27.0,32.21,0.00,1009.17,0.0,000,25.3,3.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,10-05-2019,19:00:00,74,1008.44,33.7,29.6,30.63,0.00,1009.22,5.6,120,24.4,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,8.00,10-05-2019,19:00:00,79,1009.09,33.4,26.9,27.96,0.00,1009.55,3.7,070,22.9,0.40
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,9.00,10-05-2019,19:00:00,82,1006.50,32.8,27.3,29.77,0.00,1007.18,0.0,000,24.0,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,8.00,10-05-2019,19:00:00,87,1008.12,35.5,27.2,31.49,0.00,1009.65,1.9,280,24.9,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,9.00,10-05-2019,19:00:00,88,1009.21,32.0,26.0,29.50,0.30,1010.14,5.6,020,23.8,0.60
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,10-05-2019,19:00:00,81,1008.86,31.7,29.3,32.87,0.00,1009.54,0.0,000,25.6,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,9.00,10-05-2019,19:00:00,88,1009.35,34.5,26.2,29.86,1.60,1010.15,3.7,270,24.0,50.70
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,10-05-2019,19:00:00,96,1008.60,32.9,25.0,30.32,0.20,1009.24,0.0,000,24.3,10.90
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,10-05-2019,19:00:00,95,1009.36,33.2,25.2,30.42,0.00,1009.77,0.0,000,24.3,2.70
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,6.00,10-05-2019,19:00:00,96,1007.18,32.3,25.5,31.25,0.00,1011.43,5.6,230,24.8,56.60
