WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,DewPoint,StationPressure,LandVisibility,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,WindDirection,WindSpeed,Rainfall
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,33.2,10-08-2019,13:00:00,66,25.9,1006.04,8.00,0.00,33.50,1011.74,330,3.7,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,32.7,10-08-2019,13:00:00,67,25.8,1005.19,12.00,0.00,33.31,1011.29,000,0.0,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,34.5,10-08-2019,13:00:00,44,20.3,994.52,12.00,0.00,23.85,1010.61,000,0.0,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,32.0,10-08-2019,13:00:00,54,21.7,987.05,10.00,0.00,25.91,1009.04,060,7.4,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,32.0,10-08-2019,13:00:00,63,24.0,997.96,10.00,0.60,29.79,1012.18,000,0.0,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,34.0,10-08-2019,13:00:00,51,22.4,994.79,12.00,0.00,27.01,1010.86,000,0.0,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,33.0,10-08-2019,13:00:00,61,24.5,1006.09,10.00,1.00,30.69,1011.23,270,9.3,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,35.4,10-08-2019,13:00:00,47,22.3,996.02,12.00,0.00,26.99,1008.88,120,5.6,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,32.0,10-08-2019,13:00:00,63,24.1,1002.17,12.00,10.00,30.08,1011.38,230,5.6,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,33.0,10-08-2019,13:00:00,54,22.4,989.21,9.00,0.00,27.00,1010.55,040,9.3,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,33.0,10-08-2019,13:00:00,56,23.2,994.02,10.00,0.00,28.40,1011.25,060,7.4,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,33.0,10-08-2019,13:00:00,55,22.9,993.97,12.00,0.60,27.84,1009.54,060,3.7,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,33.5,10-08-2019,13:00:00,56,23.4,991.17,10.00,0.00,28.84,1009.71,010,7.4,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,29.9,10-08-2019,13:00:00,53,19.4,958.67,11.00,0.00,22.54,1009.32,000,0.0,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,33.4,10-08-2019,13:00:00,56,23.3,1006.97,6.00,0.90,28.64,1010.86,270,3.7,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,26.0,10-08-2019,13:00:00,70,20.0,917.17,8.00,4.00,23.38,1011.31,090,14.8,0.00
