WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,Rainfall,StationPressure,WindSpeed,RelativeHumidity,LandVisibility,Rainfall24Hr,WindDirection,DewPoint,AirTemperature,MinimumTemperature
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1011.96,08-03-2019,07:00:00,30.03,0.00,1007.69,0.0,97,5.00,23.00,000,24.1,24.7,23.5
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.07,08-03-2019,07:00:00,28.95,0.00,1008.44,0.0,98,4.00,3.40,000,23.5,23.8,23.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1010.21,08-03-2019,07:00:00,28.77,0.00,1006.68,0.0,98,6.00,11.00,000,23.4,23.7,23.3
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.95,08-03-2019,07:00:00,29.33,0.00,1008.58,0.0,95,9.00,0.00,000,23.7,24.6,24.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.99,08-03-2019,07:00:00,31.13,0.00,1009.11,18.5,78,10.00,0.50,270,24.7,29.0,26.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1009.85,08-03-2019,07:00:00,29.15,0.00,1006.26,0.0,95,10.00,1.20,000,23.6,24.5,23.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.66,08-03-2019,07:00:00,31.54,0.00,1009.22,0.0,81,10.00,0.00,000,24.9,28.5,27.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.44,08-03-2019,07:00:00,31.00,0.00,1008.45,7.4,75,8.00,0.50,230,24.6,29.5,24.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.78,08-03-2019,07:00:00,30.49,0.00,1008.96,18.5,76,10.00,0.00,270,24.4,29.1,25.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.29,08-03-2019,07:00:00,30.13,0.00,1008.46,0.0,96,6.00,0.00,000,24.2,24.9,24.8
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.02,08-03-2019,07:00:00,29.02,0.00,1009.27,5.6,82,10.00,0.00,260,23.5,26.9,25.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.34,08-03-2019,07:00:00,28.88,0.00,1006.29,0.0,96,6.00,0.20,000,23.5,24.2,22.5
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.13,08-03-2019,07:00:00,29.26,0.00,1010.44,0.0,92,10.00,0.00,000,23.7,25.0,24.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.84,08-03-2019,07:00:00,29.25,0.00,1008.71,0.0,94,10.00,0.80,000,23.7,24.7,24.3
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.40,08-03-2019,07:00:00,28.77,0.00,1007.44,0.0,98,8.00,0.00,000,23.4,23.7,22.1
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1009.90,08-03-2019,07:00:00,29.51,0.00,1009.21,0.0,95,9.00,0.00,000,23.8,24.7,24.4
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1010.78,08-03-2019,07:00:00,27.86,0.00,1006.60,0.0,91,6.00,0.00,000,22.9,24.5,23.7
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.59,08-03-2019,07:00:00,28.18,0.00,1008.99,0.0,84,9.00,0.00,000,23.1,26.0,.0
