WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindSpeed,MeanSeaLevelPressure,StationPressure,Rainfall,WindDirection,DewPoint,RelativeHumidity,VaporPressure,LandVisibility,AirTemperature
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-26-2019,22:00:00,0.0,1012.74,1011.11,0.00,000,24.0,89,29.76,10.00,26.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-26-2019,22:00:00,0.0,1013.35,1009.83,0.00,000,24.5,94,30.71,7.00,25.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.01,09-26-2019,22:00:00,0.0,1013.41,1012.04,0.00,000,25.0,93,31.76,7.00,26.2
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-26-2019,22:00:00,0.0,1012.79,1011.90,0.00,000,25.3,92,32.18,10.00,26.7
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-26-2019,22:00:00,0.0,1013.53,1009.93,0.00,000,23.5,88,28.95,10.00,25.7
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,3.20,09-26-2019,22:00:00,0.0,1012.66,1012.23,0.00,000,25.1,85,31.95,10.00,28.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-26-2019,22:00:00,0.0,1012.59,1011.59,0.00,000,24.4,91,30.57,8.00,26.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-26-2019,22:00:00,5.6,1013.24,1012.42,0.00,100,22.7,82,27.66,10.00,26.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,2.40,09-26-2019,22:00:00,0.0,1013.22,1011.39,0.00,000,24.3,87,30.34,10.00,26.6
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,15.50,09-26-2019,22:00:00,1.9,1013.43,1012.67,0.00,200,24.1,85,30.10,10.00,26.9
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.60,09-26-2019,22:00:00,3.7,1013.90,1009.85,0.00,990,24.3,93,30.36,10.00,25.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.90,09-26-2019,22:00:00,0.0,1012.68,1011.99,0.00,000,24.6,92,30.84,10.00,26.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,7.00,09-26-2019,22:00:00,0.0,1013.39,1012.27,0.00,000,24.2,87,30.16,10.00,26.5
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,11.80,09-26-2019,22:00:00,0.0,1013.77,1010.82,0.00,000,25.0,97,31.60,10.00,25.4
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.80,09-26-2019,22:00:00,0.0,1013.62,1012.93,0.00,000,25.3,96,32.20,9.00,26.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,5.30,09-26-2019,22:00:00,0.0,1014.18,1010.02,0.00,000,24.5,90,30.67,7.00,26.2
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,14.80,09-26-2019,22:00:00,0.0,1013.09,1012.50,0.00,000,24.2,89,30.22,10.00,26.1
