WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,DewPoint,AirTemperature,LandVisibility,WindDirection,Rainfall24Hr,VaporPressure,WindSpeed,StationPressure,RelativeHumidity
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1009.85,09-17-2019,22:00:00,0.00,21.2,23.5,7.00,000,0.00,25.19,0.0,958.12,87
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1008.34,09-17-2019,22:00:00,0.10,24.3,26.5,5.00,190,0.10,30.43,1.9,1004.37,88
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1010.50,09-17-2019,22:00:00,0.00,19.6,20.9,5.00,000,0.00,22.85,0.0,914.89,93
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1007.92,09-17-2019,22:00:00,0.00,26.3,28.1,7.00,000,0.00,34.15,0.0,991.98,90
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1008.08,09-17-2019,22:00:00,0.00,25.4,28.5,8.00,000,0.00,32.39,0.0,1004.06,83
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1009.23,09-17-2019,22:00:00,0.00,25.5,26.9,8.00,000,0.00,32.58,0.0,998.53,92
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1009.09,09-17-2019,22:00:00,0.00,23.6,28.0,9.00,150,0.00,29.19,3.7,1007.17,77
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1008.30,09-17-2019,22:00:00,0.00,24.5,29.4,10.00,000,0.00,30.80,0.0,987.58,75
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1008.13,09-17-2019,22:00:00,0.00,26.7,28.1,10.00,000,0.00,35.02,0.0,990.51,92
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1007.41,09-17-2019,22:00:00,0.00,26.3,29.1,10.00,000,0.00,34.20,0.0,991.36,85
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1007.65,09-17-2019,22:00:00,0.00,24.2,29.1,10.00,000,0.00,30.21,0.0,993.71,75
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1008.15,09-17-2019,22:00:00,0.00,25.1,27.2,8.00,000,0.00,31.77,0.0,993.32,88
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1008.18,09-17-2019,22:00:00,0.00,27.7,28.8,8.00,220,0.00,37.13,3.7,993.59,94
