WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MeanSeaLevelPressure,Rainfall,LandVisibility,WindDirection,WindSpeed,Rainfall24Hr,DewPoint,AirTemperature,RelativeHumidity,MinimumTemperature,VaporPressure
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.82,08-12-2019,07:00:00,1006.10,0.00,10.00,000,0.0,0.01,24.7,27.3,86,25.5,31.14
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1003.04,08-12-2019,07:00:00,1006.17,0.00,10.00,250,7.4,6.80,24.6,27.5,84,25.8,30.97
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,999.76,08-12-2019,07:00:00,1006.70,0.00,10.00,210,5.6,5.00,24.1,27.0,84,25.5,30.02
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1002.15,08-12-2019,07:00:00,1007.75,0.00,7.00,000,0.0,2.70,24.1,27.1,84,25.4,29.93
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,997.19,08-12-2019,07:00:00,1006.48,0.00,10.00,220,9.3,6.50,24.3,27.5,83,25.5,30.42
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1005.75,08-12-2019,07:00:00,1007.02,0.00,9.00,180,3.7,3.80,24.8,25.5,96,25.2,31.25
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.04,08-12-2019,07:00:00,1006.47,0.00,11.00,210,11.1,18.00,24.8,26.8,89,24.9,31.27
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,994.41,08-12-2019,07:00:00,1006.80,0.00,10.00,000,0.0,10.60,23.4,23.8,97,23.3,28.69
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1005.51,08-12-2019,07:00:00,1006.23,0.00,10.00,000,0.0,11.60,23.3,25.5,88,24.8,28.59
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1004.55,08-12-2019,07:00:00,1006.99,0.00,10.00,200,3.7,11.00,24.6,26.3,90,25.5,30.86
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.66,08-12-2019,07:00:00,1007.18,0.00,10.00,220,14.8,0.01,25.1,28.2,83,27.0,31.79
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1001.69,08-12-2019,07:00:00,1006.84,0.00,10.00,000,0.0,1.30,24.1,27.0,84,25.4,30.02
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.84,08-12-2019,07:00:00,1007.25,0.00,7.00,000,0.0,4.50,25.7,26.6,95,26.0,33.10
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1004.87,08-12-2019,07:00:00,1007.65,0.00,8.00,000,0.0,8.20,25.3,26.0,96,25.5,32.20
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.69,08-12-2019,07:00:00,1007.49,0.00,10.00,000,0.0,8.90,23.1,25.3,88,24.4,28.23
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.53,08-12-2019,07:00:00,1007.99,0.20,8.00,110,5.6,46.90,25.2,25.6,97,23.9,31.98
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.45,08-12-2019,07:00:00,1008.14,0.10,7.00,000,0.0,16.20,23.5,23.9,97,23.9,28.86
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1006.52,08-12-2019,07:00:00,1008.06,0.00,7.00,000,0.0,20.20,23.6,24.2,97,24.0,29.13
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1007.47,08-12-2019,07:00:00,1008.39,1.90,8.00,000,0.0,92.80,24.3,25.0,96,24.6,30.32
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.88,08-12-2019,07:00:00,1008.57,0.00,10.00,000,0.0,7.40,23.7,26.2,86,24.9,29.33
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.03,08-12-2019,07:00:00,1008.84,0.00,8.00,210,3.7,5.20,24.0,24.0,100,23.5,29.82
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.59,08-12-2019,07:00:00,1008.23,0.00,10.00,000,0.0,0.00,23.5,25.1,91,24.5,28.92
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.59,08-12-2019,07:00:00,1009.00,0.00,10.00,210,7.4,7.30,23.8,24.7,95,24.2,29.51
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1005.96,08-12-2019,07:00:00,1010.22,0.00,5.00,000,0.0,0.01,23.3,24.3,94,23.8,28.54
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1006.69,08-12-2019,07:00:00,1008.31,1.40,5.00,000,0.0,32.20,23.5,24.4,95,22.0,28.97
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.75,08-12-2019,07:00:00,1009.28,0.00,8.00,000,0.0,16.00,22.8,23.4,96,23.2,27.75
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.29,08-12-2019,07:00:00,1008.65,0.01,8.00,000,0.0,0.01,24.3,25.0,96,24.5,30.32
