WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindDirection,Rainfall24Hr,AirTemperature,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,VaporPressure,Rainfall,StationPressure,LandVisibility
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.2,08-12-2019,10:00:00,210,0.80,28.8,3.7,1007.24,81,32.14,0.50,990.60,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.9,08-12-2019,10:00:00,000,2.20,28.5,0.0,1007.39,81,31.54,0.00,990.07,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.5,08-12-2019,10:00:00,000,15.00,27.9,0.0,1005.42,87,32.60,0.00,979.77,11.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.6,08-12-2019,10:00:00,000,2.70,29.3,0.0,1006.48,86,34.92,0.00,1000.74,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.3,08-12-2019,10:00:00,000,0.20,30.0,0.0,1006.16,71,30.31,0.00,1000.03,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.0,08-12-2019,10:00:00,000,0.60,29.3,0.0,1007.91,73,29.77,0.00,991.59,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.8,08-12-2019,10:00:00,000,0.00,26.0,0.0,1005.87,88,29.50,0.00,983.50,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,24.8,08-12-2019,10:00:00,130,3.00,28.2,3.7,1007.36,82,31.23,0.40,993.03,6.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,24.2,08-12-2019,10:00:00,000,1.40,26.8,0.0,1007.04,86,30.18,0.40,990.65,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.0,08-12-2019,10:00:00,170,16.00,29.8,11.1,1007.54,75,31.60,0.00,1002.36,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.7,08-12-2019,10:00:00,000,6.00,28.0,0.0,1006.32,82,31.11,0.00,993.18,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.9,08-12-2019,10:00:00,100,0.00,29.2,11.1,1006.91,78,31.53,0.00,997.65,12.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.8,08-12-2019,10:00:00,180,0.10,28.9,11.1,1007.27,74,29.54,0.00,985.72,9.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,25.2,08-12-2019,10:00:00,220,0.00,28.8,11.1,1007.71,81,32.14,0.00,990.30,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.9,08-12-2019,10:00:00,260,19.90,28.6,9.3,1006.73,80,31.46,0.00,990.98,12.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,23.8,08-12-2019,10:00:00,190,4.40,29.0,9.3,1006.15,74,29.46,0.00,987.41,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.4,08-12-2019,10:00:00,000,11.80,26.0,0.0,1008.41,85,28.70,0.70,957.18,9.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.3,08-12-2019,10:00:00,160,0.80,29.4,9.3,1007.03,79,32.22,0.00,1003.10,8.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.3,08-12-2019,10:00:00,250,1.50,24.6,18.5,1006.14,82,25.27,0.20,912.06,7.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.0,08-12-2019,10:00:00,230,4.30,28.4,9.3,1007.31,87,33.61,0.00,991.39,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.9,08-12-2019,10:00:00,180,0.01,29.2,5.6,1007.24,78,31.53,0.00,1003.24,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.2,08-12-2019,10:00:00,200,8.60,28.5,3.7,1008.56,83,32.10,0.00,997.92,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.7,08-12-2019,10:00:00,000,4.30,29.1,0.0,1008.00,77,31.05,0.00,1006.09,12.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.7,08-12-2019,10:00:00,000,0.01,28.6,0.0,1007.79,75,29.24,0.00,987.02,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.7,08-12-2019,10:00:00,210,9.10,28.4,11.1,1007.58,80,31.06,0.00,989.99,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.4,08-12-2019,10:00:00,170,5.70,28.7,13.0,1007.03,78,30.54,0.00,990.96,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.3,08-12-2019,10:00:00,220,5.70,31.0,5.6,1008.19,68,30.33,0.00,994.33,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.0,08-12-2019,10:00:00,160,1.80,29.3,7.4,1008.64,73,29.77,0.00,993.90,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.6,08-12-2019,10:00:00,180,0.30,31.2,3.7,1008.19,72,32.76,0.00,993.70,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,24.9,08-12-2019,10:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1.00,29.2,0.0,1007.65,78,31.53,0.01,1004.66,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,23.8,08-12-2019,10:00:00,130,2.20,29.3,5.6,1007.54,72,29.49,0.00,999.65,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.6,08-12-2019,10:00:00,140,13.60,30.0,11.1,1008.12,73,30.87,0.00,1007.02,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,22.8,08-12-2019,10:00:00,000,6.50,31.0,0.0,1007.90,62,27.76,0.00,993.39,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.7,08-12-2019,10:00:00,190,33.60,19.9,13.0,1009.81,99,22.99,5.20,874.62,.10
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,27.1,08-12-2019,10:00:00,180,21.00,28.5,11.1,1008.04,92,35.87,0.00,1002.18,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.6,08-12-2019,10:00:00,150,0.01,32.0,5.6,1008.18,65,30.94,0.00,1007.39,12.00
