WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,WindSpeed,DewPoint,RelativeHumidity,Rainfall,MeanSeaLevelPressure,VaporPressure,WindDirection,StationPressure,Rainfall24Hr
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.0,10-10-2019,01:00:00,8.00,0.0,25.8,99,0.00,1011.37,33.32,000,1005.54,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.2,10-10-2019,01:00:00,6.00,0.0,25.2,94,0.00,1011.43,32.04,000,1005.20,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,25.0,10-10-2019,01:00:00,8.00,0.0,23.5,92,0.00,1010.90,29.00,000,994.29,3.50
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.2,10-10-2019,01:00:00,7.00,0.0,23.4,90,0.00,1010.84,28.83,000,988.31,0.20
48376,TAK,ตาก,ตาก,16.87833,99.14333,26.0,10-10-2019,01:00:00,6.00,0.0,24.6,92,0.00,1012.01,30.84,000,997.51,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,24.6,10-10-2019,01:00:00,7.00,0.0,24.3,98,0.00,1011.82,30.38,000,995.23,4.50
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.2,10-10-2019,01:00:00,10.00,0.0,24.8,92,0.00,1011.39,31.22,000,1006.12,1.90
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.3,10-10-2019,01:00:00,10.00,0.0,23.4,95,0.00,1010.03,28.79,000,996.67,0.40
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.0,10-10-2019,01:00:00,10.00,0.0,24.3,90,0.00,1011.17,30.30,000,1001.78,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,27.2,10-10-2019,01:00:00,9.00,9.3,23.6,81,0.00,1011.04,29.04,090,989.28,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,25.0,10-10-2019,01:00:00,10.00,5.6,23.5,92,0.00,1010.79,29.00,050,993.11,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.6,10-10-2019,01:00:00,10.00,3.7,22.2,81,0.00,1010.74,26.70,050,994.78,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,27.0,10-10-2019,01:00:00,7.00,0.0,24.1,84,0.01,1010.42,30.02,000,991.47,0.01
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.0,10-10-2019,01:00:00,6.00,0.0,21.5,91,0.00,1013.66,25.60,000,961.65,0.50
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.7,10-10-2019,01:00:00,6.00,0.0,24.8,95,0.00,1010.87,31.36,000,1006.88,2.40
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,19.9,10-10-2019,01:00:00,4.00,0.0,19.1,95,0.00,1013.33,22.10,000,917.15,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.0,10-10-2019,01:00:00,7.00,0.0,23.8,88,0.00,1010.97,29.50,000,994.87,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.5,10-10-2019,01:00:00,5.00,0.0,24.5,94,0.00,1011.17,30.71,000,1007.09,0.20
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.0,10-10-2019,01:00:00,7.00,0.0,23.6,97,0.00,1011.58,29.04,000,1000.75,52.80
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.4,10-10-2019,01:00:00,9.00,1.9,23.3,88,0.00,1011.09,28.67,300,1009.14,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,26.0,10-10-2019,01:00:00,10.00,0.0,22.7,82,0.00,1010.85,27.66,000,989.85,0.00
