WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,RelativeHumidity,LandVisibility,Rainfall,StationPressure,WindDirection,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,DewPoint
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,09-05-2019,04:00:00,25.2,97,7.00,0.50,1001.62,000,2.80,31.22,1006.58,24.8
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,09-05-2019,04:00:00,26.0,84,10.00,0.00,1002.90,000,1.30,28.18,1006.20,23.1
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,09-05-2019,04:00:00,25.4,92,10.00,0.00,1005.38,000,0.30,29.99,1006.49,24.1
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,09-05-2019,04:00:00,27.3,82,10.00,0.00,1006.01,000,0.20,29.77,1006.31,24.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,09-05-2019,04:00:00,26.9,85,10.00,0.00,1005.72,000,0.30,30.10,1006.21,24.1
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,7.4,09-05-2019,04:00:00,27.0,80,10.00,0.00,1005.31,230,0.00,28.41,1006.72,23.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,3.7,09-05-2019,04:00:00,25.1,96,10.00,0.00,1000.79,210,1.50,30.50,1008.86,24.4
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,09-05-2019,04:00:00,27.5,81,10.00,0.00,1006.12,000,0.00,29.60,1006.40,23.9
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,5.6,09-05-2019,04:00:00,26.7,86,10.00,0.00,1003.31,270,0.70,30.26,1006.45,24.2
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,7.4,09-05-2019,04:00:00,26.9,84,10.00,0.00,999.67,240,3.60,29.83,1006.61,24.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,09-05-2019,04:00:00,25.5,89,10.00,0.00,1000.82,000,13.70,29.11,1006.44,23.6
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,09-05-2019,04:00:00,25.5,93,10.00,0.00,1006.18,000,0.01,30.44,1007.45,24.3
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.0,09-05-2019,04:00:00,26.5,85,11.00,0.00,1006.07,000,2.80,29.35,1006.50,23.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,09-05-2019,04:00:00,24.5,94,10.00,0.00,994.51,000,2.00,28.89,1006.87,23.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,09-05-2019,04:00:00,26.2,82,10.00,0.00,1005.94,000,0.10,28.01,1006.66,23.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,5.6,09-05-2019,04:00:00,27.3,79,10.00,0.01,1004.39,270,3.90,28.69,1006.82,23.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,9.3,09-05-2019,04:00:00,27.5,81,8.00,0.00,1007.73,270,2.10,29.60,1008.25,23.9
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.9,09-05-2019,04:00:00,26.3,86,8.00,0.00,1001.76,250,1.80,29.52,1006.92,23.8
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,09-05-2019,04:00:00,26.1,93,7.00,0.00,1006.87,000,26.20,31.57,1007.28,24.9
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,09-05-2019,04:00:00,25.0,96,8.00,0.00,1004.80,000,64.20,30.32,1007.59,24.3
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,09-05-2019,04:00:00,26.0,86,10.00,0.00,1006.44,000,4.60,28.97,1007.23,23.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.6,09-05-2019,04:00:00,26.5,88,6.00,0.00,1006.87,320,103.90,30.43,1007.33,24.3
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,09-05-2019,04:00:00,24.1,98,6.00,2.80,1008.39,000,49.90,29.48,1009.08,23.8
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,09-05-2019,04:00:00,24.5,94,7.00,1.80,1006.54,000,29.20,28.89,1008.08,23.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,09-05-2019,04:00:00,26.0,96,8.00,0.40,1007.07,000,65.80,32.20,1007.99,25.3
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,7.4,09-05-2019,04:00:00,27.0,86,10.00,0.00,1007.78,290,0.30,30.56,1008.47,24.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,09-05-2019,04:00:00,24.5,98,6.00,0.00,1008.47,000,0.90,30.20,1009.27,24.2
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,09-05-2019,04:00:00,25.0,97,10.00,0.00,1007.70,000,0.30,30.58,1008.34,24.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,7.4,09-05-2019,04:00:00,24.8,96,10.00,0.00,1008.53,180,1.00,29.95,1008.94,24.1
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,09-05-2019,04:00:00,23.8,97,5.00,0.00,1006.49,000,16.00,28.69,1010.76,23.4
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,09-05-2019,04:00:00,24.2,98,10.00,0.00,1007.56,000,0.00,29.66,1009.19,23.9
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,09-05-2019,04:00:00,25.2,95,10.00,0.00,1005.75,000,0.00,30.42,1009.26,24.3
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,09-05-2019,04:00:00,25.0,97,7.00,0.00,1007.37,000,0.00,30.58,1008.73,24.4
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,09-05-2019,04:00:00,27.0,90,10.00,0.00,1008.09,000,0.00,32.21,1008.97,25.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,09-05-2019,04:00:00,24.7,97,10.00,0.00,1005.52,000,0.00,30.03,1009.11,24.1
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,09-05-2019,04:00:00,26.5,92,10.00,0.00,1008.37,000,0.00,31.79,1008.81,25.1
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,09-05-2019,04:00:00,27.7,83,10.00,0.00,1007.75,000,0.00,30.81,1008.74,24.5
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,7.4,09-05-2019,04:00:00,25.1,94,10.00,0.00,1008.16,090,0.00,29.97,1008.98,24.1
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,09-05-2019,04:00:00,25.0,96,8.00,0.00,1007.01,000,0.00,30.32,1008.84,24.3
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,5.6,09-05-2019,04:00:00,26.7,88,8.00,0.00,1007.79,240,0.00,30.81,1008.55,24.5
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,5.6,09-05-2019,04:00:00,25.3,97,4.00,0.00,1004.90,240,0.00,31.41,1008.93,24.9
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,09-05-2019,04:00:00,26.3,93,8.00,0.00,1008.50,000,0.00,31.96,1009.18,25.1
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,09-05-2019,04:00:00,25.4,97,10.00,0.00,1007.73,000,0.00,31.33,1008.85,24.8
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,09-05-2019,04:00:00,25.2,95,10.00,0.00,1005.97,000,0.00,30.42,1008.91,24.3
